family,anchor,challenger,reference,samples,tail_fraction,tail_size,adam_loss_change_mean_on_adam_tail,challenger_loss_change_mean_on_adam_tail,challenger_minus_adam_on_adam_tail_loss_mean,adam_tail_challenger_win_fraction,adam_loss_change_mean_on_challenger_tail,challenger_loss_change_mean_on_challenger_tail,challenger_minus_adam_on_challenger_tail_loss_mean,challenger_tail_challenger_win_fraction,tail_intersection,tail_union,tail_jaccard,adam_tail_baseline_margin_percentile_median
dense,dense/muon-lr1e-3/checkpoint-2345,muon,adamw,224,0.05,12,0.14164153734842935,0.08188693722089131,-0.05975460012753805,0.75,0.08003925283749898,0.14653708537419638,0.06649783253669739,0.25,6,18,0.3333333333333333,0.15695067264573992
dense,dense/muon-lr1e-3/checkpoint-2345,normuon,adamw,224,0.05,12,0.14164153734842935,0.05637679994106293,-0.08526473740736644,0.75,0.07373178998629253,0.13047746817270914,0.056745678186416626,0.25,6,18,0.3333333333333333,0.15695067264573992
dense,dense/muon-lr1e-3/checkpoint-3907,muon,adamw,224,0.05,12,0.182862455646197,0.08023211608330409,-0.10263033956289291,0.8333333333333334,0.1537739783525467,0.13654693216085434,-0.017227046191692352,0.5,7,17,0.4117647058823529,0.12780269058295965
dense,dense/muon-lr1e-3/checkpoint-3907,normuon,adamw,224,0.05,12,0.182862455646197,0.07547507186730702,-0.10738738377888997,0.9166666666666666,0.10805611560742061,0.13508007923762003,0.027023963630199432,0.3333333333333333,5,19,0.2631578947368421,0.12780269058295965
dense,dense/normuon-lr1e-3/checkpoint-782,muon,adamw,224,0.05,12,0.16274860997994742,0.04789412518342336,-0.11485448479652405,0.9166666666666666,0.04773413141568502,0.14077572027842203,0.09304158886273702,0.08333333333333333,2,22,0.09090909090909091,0.2982062780269058
dense,dense/normuon-lr1e-3/checkpoint-782,normuon,adamw,224,0.05,12,0.16274860997994742,0.020319906373818714,-0.1424287036061287,1.0,0.07640116413434346,0.11811595658461253,0.041714792450269066,0.4166666666666667,2,22,0.09090909090909091,0.2982062780269058
dense,dense/normuon-lr1e-3/checkpoint-2345,muon,adamw,224,0.05,12,0.11401879539092381,0.06228952233990034,-0.05172927305102348,0.75,0.07122923682133357,0.09594313303629558,0.024713896214962006,0.25,6,18,0.3333333333333333,0.24663677130044842
dense,dense/normuon-lr1e-3/checkpoint-2345,normuon,adamw,224,0.05,12,0.11401879539092381,0.04980941489338875,-0.06420938049753507,0.8333333333333334,0.05487603694200516,0.09939539184172948,0.04451935489972433,0.25,5,19,0.2631578947368421,0.24663677130044842
dense,dense/normuon-lr1e-3/checkpoint-3907,muon,adamw,224,0.05,12,0.17916833609342575,0.0654458577434222,-0.11372247835000356,0.9166666666666666,0.08264065285523732,0.15448534488677979,0.07184469203154246,0.3333333333333333,5,19,0.2631578947368421,0.11883408071748879
dense,dense/normuon-lr1e-3/checkpoint-3907,normuon,adamw,224,0.05,12,0.17916833609342575,0.054404228925704956,-0.1247641071677208,0.9166666666666666,0.10248533884684245,0.1258570303519567,0.02337169150511424,0.3333333333333333,5,19,0.2631578947368421,0.11883408071748879
