family,seed,operator,run_id,stage,fraction,step,validation_samples,validation_loss_mean,validation_loss_p95,validation_loss_p99,validation_margin_mean,validation_margin_p05,unseen_samples,unseen_margin_mean,unseen_margin_p05,unseen_pretrained_top1_agreement,unseen_pretrained_score_drift_rms
dense,161803,normuon,normuon-scale-matched,1,0.2,79,4096,1.4481589214781252,3.8842772841453552,5.70948052406311,-0.00026237964630126953,-0.06640625,224,0.24793584644794464,-0.08154967427253723,0.9151785969734192,0.06408383697271347
dense,161803,normuon,normuon-scale-matched,2,0.4,157,4096,1.4507181354620116,3.7781964540481567,5.562693667411808,-0.0005500316619873047,-0.0625,224,0.246312215924263,-0.08156388252973557,0.9107142686843872,0.06742490082979202
dense,161803,normuon,normuon-scale-matched,3,0.6,235,4096,1.386185287209969,3.6964736580848694,5.39702858924866,0.0016379356384277344,-0.05859375,224,0.2519661784172058,-0.0788254663348198,0.9285714030265808,0.07206442207098007
dense,161803,normuon,normuon-scale-matched,4,0.8,313,4096,1.2862852967738263,3.593123197555542,5.343551158905033,0.005099296569824219,-0.05859375,224,0.24922522902488708,-0.07380291074514389,0.9196428656578064,0.07275274395942688
dense,161803,normuon,normuon-scale-matched,5,1.0,391,4096,1.2195256239014611,3.435497224330902,5.161961603164679,0.007353305816650391,-0.0546875,224,0.24966347217559814,-0.07734879851341248,0.9107142686843872,0.07034726440906525
dense,271828,adamw,adamw-scale-matched,1,0.2,79,4096,1.5470987062162749,3.952490746974945,5.63227643966675,-0.0027642250061035156,-0.06640625,224,0.2434432953596115,-0.07167062908411026,0.9151785969734192,0.06715850532054901
dense,271828,adamw,adamw-scale-matched,2,0.4,157,4096,1.2897582482253256,3.4794302582740784,4.946780776977545,0.004225254058837891,-0.05712890625,224,0.2489442527294159,-0.06904636323451996,0.9107142686843872,0.06807208806276321
dense,271828,adamw,adamw-scale-matched,3,0.6,235,4096,1.3438683589063203,3.6542009115219116,5.443319559097299,0.0030930042266845703,-0.05859375,224,0.25068163871765137,-0.07337190955877304,0.9107142686843872,0.07293938845396042
dense,271828,adamw,adamw-scale-matched,4,0.8,313,4096,1.2549886207486907,3.5101556181907654,5.254638624191285,0.005945444107055664,-0.05859375,224,0.25306713581085205,-0.0772566869854927,0.90625,0.06520213931798935
dense,271828,adamw,adamw-scale-matched,5,1.0,391,4096,1.2967869912293963,3.668727159500122,5.357410240173358,0.004654407501220703,-0.05859375,224,0.25720420479774475,-0.0754774808883667,0.9151785969734192,0.06676330417394638
dense,271828,muon,muon-scale-matched,1,0.2,79,4096,1.4473247495079704,3.5779508352279663,5.212084269523632,-0.0003561973571777344,-0.05859375,224,0.24273847043514252,-0.07011759281158447,0.9151785969734192,0.06976031512022018
dense,271828,muon,muon-scale-matched,2,0.4,157,4096,1.3244295366773713,3.432327687740326,4.969723725318916,0.00325775146484375,-0.0546875,224,0.24509069323539734,-0.07841392606496811,0.9017857313156128,0.07757889479398727
dense,271828,muon,muon-scale-matched,3,0.6,235,4096,1.2880636500569267,3.4665297269821167,5.2431667566299485,0.005006313323974609,-0.05517578125,224,0.2483515441417694,-0.06585020571947098,0.9107142686843872,0.07743825018405914
dense,271828,muon,muon-scale-matched,4,0.8,313,4096,1.2366216498949143,3.417184054851532,5.157991337776189,0.006850004196166992,-0.0546875,224,0.24808178842067719,-0.07863317430019379,0.9196428656578064,0.07183679193258286
dense,271828,muon,muon-scale-matched,5,1.0,391,4096,1.2389026727809096,3.4934924244880676,5.349386548995976,0.00676727294921875,-0.0546875,224,0.2542192339897156,-0.08174431324005127,0.9196428656578064,0.07411148399114609
dense,271828,normuon,normuon-scale-matched,1,0.2,79,4096,1.3959396493805798,3.4869481921195984,5.103388261795045,0.0013420581817626953,-0.0546875,224,0.244968444108963,-0.06720579415559769,0.9196428656578064,0.06714863330125809
dense,271828,normuon,normuon-scale-matched,2,0.4,157,4096,1.309619500007102,3.4510329961776733,5.053542375564582,0.0037899017333984375,-0.0546875,224,0.2496999204158783,-0.08306477963924408,0.8928571343421936,0.06823239475488663
dense,271828,normuon,normuon-scale-matched,3,0.6,235,4096,1.329091295150647,3.664638340473175,5.406594538688661,0.0037779808044433594,-0.05859375,224,0.25267282128334045,-0.06674028933048248,0.9017857313156128,0.07387566566467285
dense,271828,normuon,normuon-scale-matched,4,0.8,313,4096,1.2606737485584745,3.47871196269989,5.251229786872868,0.005869388580322266,-0.0546875,224,0.2519611418247223,-0.07119888812303543,0.9107142686843872,0.06999284774065018
dense,271828,normuon,normuon-scale-matched,5,1.0,391,4096,1.2817877593305411,3.597344756126404,5.370103430747995,0.0052852630615234375,-0.05859375,224,0.25642725825309753,-0.07947991788387299,0.9151785969734192,0.07276315242052078
dense,314159,adamw,adamw-scale-matched,1,0.2,79,4096,1.5502532514565246,4.106421232223511,6.072619390487682,-0.003264904022216797,-0.0703125,224,0.24420049786567688,-0.06983423978090286,0.9285714030265808,0.06435089558362961
dense,314159,adamw,adamw-scale-matched,2,0.4,157,4096,1.419250337597532,3.8677624464035034,5.766324472427373,0.000735357403755188,-0.06640625,224,0.253880113363266,-0.07925208657979965,0.9241071343421936,0.06647863984107971
dense,314159,adamw,adamw-scale-matched,3,0.6,235,4096,1.3290702662657168,3.766059696674347,5.8334444999694846,0.004040718078613281,-0.0625,224,0.255021870136261,-0.06832700967788696,0.9196428656578064,0.06226704642176628
