family,seed,stage,fraction,challenger,reference,delta_validation_loss_mean,delta_validation_loss_p95,delta_validation_loss_p99,delta_validation_margin_mean,delta_validation_margin_p05,delta_unseen_margin_mean,delta_unseen_margin_p05,delta_unseen_pretrained_top1_agreement,delta_unseen_pretrained_score_drift_rms
dense,271828,2,0.4,normuon,adamw,0.019861251781776446,-0.02839726209640503,0.10676159858703738,-0.0004353523254394531,0.00244140625,0.0007556676864624023,-0.014018416404724121,-0.017857134342193604,0.00016030669212341309
dense,271828,3,0.6,muon,adamw,-0.05580470884939359,-0.18767118453979492,-0.20015280246735045,0.001913309097290039,0.00341796875,-0.002330094575881958,0.007521703839302063,0.0,0.004498861730098724
dense,271828,3,0.6,normuon,adamw,-0.014777063755673225,0.010437428951263428,-0.03672502040863801,0.0006849765777587891,0.0,0.001991182565689087,0.006631620228290558,-0.008928537368774414,0.0009362772107124329
dense,271828,4,0.8,muon,adamw,-0.018366970853776365,-0.0929715633392334,-0.09664728641509601,0.0009045600891113281,0.00390625,-0.004985347390174866,-0.0013764873147010803,0.013392865657806396,0.006634652614593506
dense,271828,4,0.8,normuon,adamw,0.005685127809783808,-0.031443655490875244,-0.003408837318417568,-7.605552673339844e-05,0.00390625,-0.0011059939861297607,0.006057798862457275,0.004464268684387207,0.004790708422660828
dense,271828,5,1.0,muon,adamw,-0.05788431844848674,-0.17523473501205444,-0.008023691177382553,0.002112865447998047,0.00390625,-0.002984970808029175,-0.00626683235168457,0.004464268684387207,0.007348179817199707
dense,271828,5,1.0,normuon,adamw,-0.014999231898855214,-0.07138240337371826,0.012693190574636581,0.0006308555603027344,0.0,-0.0007769465446472168,-0.004002436995506287,0.0,0.005999848246574402
dense,314159,1,0.2,muon,adamw,-0.08268204684281955,-0.24276518821716309,-0.2558721303939908,0.002658843994140625,0.00390625,-0.0009381920099258423,-0.003275170922279358,0.004464328289031982,0.001438230276107788
dense,314159,1,0.2,normuon,adamw,-0.09577789667264369,-0.2072785496711731,-0.2979505300521845,0.003037869930267334,0.00390625,0.0016944855451583862,-0.0101018026471138,0.013392865657806396,-0.0007441192865371704
dense,314159,2,0.4,muon,adamw,0.058560959806527535,0.2445927858352661,0.36846551895142454,-0.0016256123781204224,-0.00390625,-0.002750605344772339,-0.0008342266082763672,-0.004464268684387207,0.008696869015693665
dense,314159,2,0.4,normuon,adamw,0.0451926888986236,0.24339234828948975,0.5411227226257411,-0.0012965947389602661,0.0,0.0007481873035430908,0.0022606253623962402,0.0,0.006251424551010132
dense,314159,3,0.6,muon,adamw,-0.0854106051144754,-0.21693634986877441,-0.37287173271178986,0.0028967857360839844,0.00390625,-0.003212839365005493,-0.004333905875682831,-0.004464268684387207,0.005716796964406967
dense,314159,3,0.6,normuon,adamw,-0.09627206080358519,-0.3084111213684082,-0.33504371643065145,0.0033170729875564575,0.0078125,-0.003127068281173706,-0.006315760314464569,-0.004464268684387207,0.003818865865468979
dense,314159,4,0.8,muon,adamw,-0.036811503822036684,-0.05277782678604126,-0.34656395912170535,0.0015919208526611328,0.00390625,-0.0013501346111297607,-0.00021947920322418213,-0.00892859697341919,0.00614544004201889
dense,314159,4,0.8,normuon,adamw,-0.05876759563579981,-0.13640087842941284,-0.3228626489639268,0.0021953582763671875,0.00390625,-0.0012965202331542969,-0.00547318160533905,0.004464268684387207,0.005236640572547913
dense,314159,5,1.0,muon,adamw,-0.08354755715993178,-0.2192787528038025,-0.2605925559997564,0.0032601356506347656,0.0078125,-0.0018431395292282104,-0.0006349682807922363,-0.017857134342193604,0.005607910454273224
dense,314159,5,1.0,normuon,adamw,-0.055171118303178446,-0.1900041699409485,-0.18153574466704825,0.002303680405020714,0.0078125,-0.0015940219163894653,0.0019785314798355103,-0.004464268684387207,0.005814447999000549
