centered_log10_learning_rate,cumulative_displacement_to_weight_ratio,cumulative_stable_rank_fraction,dose_index,learning_rate,log_saved_segment_to_weight_ratio,margin_degrading_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,mean_cumulative_subspace_overlap_to_adamw,mean_ndcg_at_10,mean_saved_segment_subspace_overlap_to_adamw,optimizer,progress_fraction,random_50pct_relative_shortlist_ndcg,run_id,saved_segment_row_norm_cv,saved_segment_sketch_effective_rank_fraction,saved_segment_stable_rank_fraction,saved_segment_top_1pct_row_energy,stage
0.2614393726401687,0.0028713388046387634,0.011993273511635216,3,1e-05,-5.852976875527191,0.105944056399947,0.3080751284054037,0.5220965703507441,0.6665681563251371,0.5820728571428572,0.6656881973359886,adamw,0.2,0.9928982378577119,verified-v3-adamw-1e-5,0.18382200731193638,0.07222323875323124,0.011993273511635216,0.03438737711316363,1
0.2614393726401687,0.003971109972467815,0.01350869513789122,3,1e-05,-6.148081358676883,0.10687014122561624,0.3059686629406381,0.5230383108775732,0.6541781970391086,0.585075,0.470809054064586,adamw,0.4,0.9910074448456273,verified-v3-adamw-1e-5,0.09904313739887215,0.0772085390626428,0.02178474408765315,0.020955110524088782,2
0.2614393726401687,0.004492242832394126,0.014055251369647907,3,1e-05,-6.5438102970730405,0.10928629454334224,0.3045742954129115,0.5128346850468616,0.6523066717938731,0.5896428571428572,0.4699962824490087,adamw,0.6,0.9899693506838434,verified-v3-adamw-1e-5,0.07712084663045757,0.07829643024958391,0.026446223026556553,0.017876485021496042,3
0.2614393726401687,0.0047272573881929295,0.014352941105338128,3,1e-05,-7.056384807969392,0.10777755669470654,0.30637339835748806,0.5185162289974389,0.6552314459347895,0.587965,0.48825175045207536,adamw,0.8,0.9901594873865489,verified-v3-adamw-1e-5,0.07346947356699941,0.0784492446458276,0.026694428454586527,0.01759537209303462,4
0.2614393726401687,0.0047927354641439535,0.014340699515878198,3,1e-05,-8.031071499018243,0.10646346601655514,0.307280422852562,0.5226700717907357,0.6574347853102785,0.58863,0.5085187189134897,adamw,1.0,0.9901697258352077,verified-v3-adamw-1e-5,0.07518085599802235,0.07818018707468335,0.025219196523415213,0.01797848187616085,5
0.7385606273598313,0.00636705766646761,0.0218998328707913,4,3e-05,-5.056617820902099,0.10715601529005807,0.3062158345790938,0.5219136073356988,0.5029669144919637,0.5857735714285714,0.5009620985789839,adamw,0.2,0.9893835182240944,verified-v3-adamw-3e-5,0.1020784922800759,0.0771927154770722,0.0218998328707913,0.021575027185288025,1
0.7385606273598313,0.008796199532367118,0.025774319784021844,4,3e-05,-5.19726523335678,0.10512249477320634,0.30875278622498936,0.5285870460676795,0.49552832337996106,0.5897585714285715,0.3606824362999137,adamw,0.4,0.9905026064860266,verified-v3-adamw-3e-5,0.06752636429061865,0.07965556067313315,0.03506453998333736,0.015827729075370146,2
0.7385606273598313,0.00985115131844061,0.027346889267604195,4,3e-05,-5.535848848556885,0.10822470711214154,0.30359164315525117,0.5145423657005442,0.4950691712903998,0.5879642857142857,0.372969614282091,adamw,0.6,0.9877758295895834,verified-v3-adamw-3e-5,0.06438917101903714,0.07976350479106852,0.03615041444021644,0.01551234119267945,3
0.7385606273598313,0.010276386995204721,0.02784683783795957,4,3e-05,-6.0236223779655305,0.10650710382352993,0.3068718360473276,0.5224975136326241,0.4979009654127234,0.58876,0.39969794209980125,adamw,0.8,0.9919681663338935,verified-v3-adamw-3e-5,0.06341532318489278,0.07961194160097211,0.03414033714568976,0.015700231784366987,4
0.7385606273598313,0.010367030700847723,0.027860727151208384,4,3e-05,-6.980889155367495,0.10623847316555254,0.3074573717601105,0.5220486286237033,0.5014869964909001,0.5892628571428571,0.42384423953339906,adamw,1.0,0.9927688994292065,verified-v3-adamw-3e-5,0.06571118119745491,0.07913643360775423,0.03041434952401541,0.01622768215845055,5
