seed,family,operator,stage,fraction,validation_contrastive_loss,validation_positive_margin,validation_reciprocal_rank,validation_top1_accuracy,unseen_margin_mean,unseen_top1_accuracy,unseen_mean_reciprocal_rank,pretrained_top_k_overlap,pretrained_top1_agreement,pretrained_score_drift_rms,query_geometry_role,query_entropy_effective_rank,query_normalized_effective_rank,query_mean_pairwise_cosine,late_token_evidence_entropy,late_document_token_coverage,late_repeated_token_dominance
271828,dense,adamw,5,1.0,1.2967869912293963,0.004654407501220703,0.7211838507864741,0.5732421875,0.25720420479774475,0.8883928656578064,0.9237084984779358,0.8273809523809524,0.9151785969734192,0.06676330417394638,queries,152.08619689941406,0.6820008829570138,0.06483450531959534,,,
271828,dense,muon,1,0.2,1.4473247495079704,-0.0003561973571777344,0.6782586976332823,0.52001953125,0.24273847043514252,0.8928571343421936,0.9263817667961121,0.8273809523809524,0.9151785969734192,0.06976031512022018,queries,151.20733642578125,0.6780598045999159,0.07748740911483765,,,
271828,dense,muon,2,0.4,1.3244295366773713,0.00325775146484375,0.7111200255203585,0.55908203125,0.24509069323539734,0.8973214030265808,0.9292888641357422,0.8035714285714286,0.9017857313156128,0.07757889479398727,queries,151.25990295410156,0.6782955289421595,0.08532154560089111,,,
271828,dense,muon,3,0.6,1.2880636500569267,0.005006313323974609,0.7223763614965719,0.576171875,0.2483515441417694,0.8839285969734192,0.9240805506706238,0.7976190476190476,0.9107142686843872,0.07743825018405914,queries,148.7959442138672,0.6672463866092699,0.07597509771585464,,,
271828,dense,muon,4,0.8,1.2366216498949143,0.006850004196166992,0.7396623896311212,0.603759765625,0.24808178842067719,0.8883928656578064,0.9230442047119141,0.8005952380952381,0.9196428656578064,0.07183679193258286,queries,150.8898468017578,0.6766360843128153,0.07341163605451584,,,
271828,dense,muon,5,1.0,1.2389026727809096,0.00676727294921875,0.7384509870644251,0.60107421875,0.2542192339897156,0.8839285969734192,0.9196162819862366,0.8035714285714286,0.9196428656578064,0.07411148399114609,queries,150.30746459960938,0.6740245049309838,0.07133720070123672,,,
271828,dense,normuon,1,0.2,1.3959396493805798,0.0013420581817626953,0.6899579743876529,0.535400390625,0.244968444108963,0.8839285969734192,0.9221407175064087,0.8318452380952381,0.9196428656578064,0.06714863330125809,queries,151.41534423828125,0.6789925750595571,0.07468891143798828,,,
271828,dense,normuon,2,0.4,1.309619500007102,0.0037899017333984375,0.7140415749599924,0.56396484375,0.2496999204158783,0.8883928656578064,0.925239086151123,0.8125,0.8928571343421936,0.06823239475488663,queries,151.91290283203125,0.6812237795158352,0.07951553165912628,,,
271828,dense,normuon,3,0.6,1.329091295150647,0.0037779808044433594,0.7125331346578605,0.56298828125,0.25267282128334045,0.8928571343421936,0.9272693991661072,0.8110119047619048,0.9017857313156128,0.07387566566467285,queries,149.143798828125,0.668806272771861,0.07515605539083481,,,
271828,dense,normuon,4,0.8,1.2606737485584745,0.005869388580322266,0.7306233736453578,0.589599609375,0.2519611418247223,0.8883928656578064,0.921290397644043,0.806547619047619,0.9107142686843872,0.06999284774065018,queries,150.96922302246094,0.6769920314908562,0.0707094818353653,,,
271828,dense,normuon,5,1.0,1.2817877593305411,0.0052852630615234375,0.7258922770342906,0.582763671875,0.25642725825309753,0.8883928656578064,0.9219546914100647,0.806547619047619,0.9151785969734192,0.07276315242052078,queries,150.466796875,0.6747389994394619,0.06966883689165115,,,
314159,dense,adamw,1,0.2,1.5502532514565246,-0.003264904022216797,0.6601847346573777,0.494140625,0.24420049786567688,0.8839285969734192,0.9207748770713806,0.8556547619047619,0.9285714030265808,0.06435089558362961,queries,150.66064453125,0.675608271440583,0.0776219367980957,,,
314159,dense,adamw,2,0.4,1.419250337597532,0.000735357403755188,0.6979704371406115,0.544677734375,0.253880113363266,0.875,0.9159225821495056,0.8288690476190476,0.9241071343421936,0.06647863984107971,queries,151.96774291992188,0.6814696991924748,0.0673786997795105,,,
314159,dense,adamw,3,0.6,1.3290702662657168,0.004040718078613281,0.7203209299077571,0.57470703125,0.255021870136261,0.8839285969734192,0.9219971895217896,0.8244047619047619,0.9196428656578064,0.06226704642176628,queries,153.08502197265625,0.6864799191598935,0.06368797272443771,,,
314159,dense,adamw,4,0.8,1.348647837369299,0.003506183624267578,0.7178867898001045,0.573974609375,0.25364527106285095,0.8839285969734192,0.921890914440155,0.8363095238095238,0.9151785969734192,0.06325206905603409,queries,153.0926055908203,0.6865139264162345,0.06730176508426666,,,
314159,dense,adamw,5,1.0,1.2924674637272346,0.005030155181884766,0.7317144496992114,0.591796875,0.2508964240550995,0.8839285969734192,0.921295702457428,0.8333333333333333,0.9107142686843872,0.06362113356590271,queries,152.99774169921875,0.6860885277991872,0.06517031788825989,,,
314159,dense,muon,1,0.2,1.467571204613705,-0.0006060600280761719,0.6779660195206816,0.51904296875,0.24326230585575104,0.8705357313156128,0.9132546782493591,0.8318452380952381,0.9330357313156128,0.0657891258597374,queries,151.05714416503906,0.677386296704211,0.07713153213262558,,,
314159,dense,muon,2,0.4,1.4778112974040596,-0.0008902549743652344,0.6817176470649429,0.525634765625,0.25112950801849365,0.8794642686843872,0.9186756014823914,0.806547619047619,0.9196428656578064,0.07517550885677338,queries,150.1555938720703,0.6733434702783422,0.07652881741523743,,,
314159,dense,muon,3,0.6,1.2436596611512414,0.006937503814697266,0.7387334925915638,0.60205078125,0.2518090307712555,0.8883928656578064,0.9241231083869934,0.806547619047619,0.9151785969734192,0.06798384338617325,queries,151.30419921875,0.6784941669002242,0.06972870975732803,,,
314159,dense,muon,4,0.8,1.3118363335472623,0.005098104476928711,0.7293552955889027,0.59228515625,0.2522951364517212,0.875,0.9168261289596558,0.806547619047619,0.90625,0.06939750909805298,queries,151.67303466796875,0.6801481375245235,0.07337213307619095,,,
314159,dense,muon,5,1.0,1.2089199065673029,0.008290290832519531,0.7546334413746081,0.624267578125,0.24905328452587128,0.8794642686843872,0.9210671782493591,0.8005952380952381,0.8928571343421936,0.06922904402017593,queries,151.7434844970703,0.6804640560406741,0.07133229821920395,,,
314159,dense,normuon,1,0.2,1.454475354783881,-0.0002270340919494629,0.6843223950563697,0.524658203125,0.24589498341083527,0.8705357313156128,0.9141103029251099,0.8422619047619048,0.9419642686843872,0.06360677629709244,queries,150.802734375,0.6762454456278026,0.07637004554271698,,,
314159,dense,normuon,2,0.4,1.4644430264961557,-0.0005612373352050781,0.6874110645258042,0.5302734375,0.2546283006668091,0.875,0.916629433631897,0.8154761904761905,0.9241071343421936,0.07273006439208984,queries,149.9019775390625,0.672206177305213,0.07519238442182541,,,
314159,dense,normuon,3,0.6,1.2327982054621316,0.007357791066169739,0.7493632009754947,0.616943359375,0.2518948018550873,0.8928571343421936,0.9254890084266663,0.8125,0.9151785969734192,0.06608591228723526,queries,150.8802032470703,0.676592839672961,0.06826236099004745,,,
314159,dense,normuon,4,0.8,1.2898802417334991,0.005701541900634766,0.7333513544908783,0.59765625,0.25234875082969666,0.8794642686843872,0.9190582633018494,0.818452380952381,0.9196428656578064,0.068488709628582,queries,151.35369873046875,0.6787161378047926,0.07136213034391403,,,
314159,dense,normuon,5,1.0,1.2372963454240562,0.007333835586905479,0.7483971016772557,0.615966796875,0.24930240213871002,0.8839285969734192,0.921332836151123,0.818452380952381,0.90625,0.06943558156490326,queries,151.47195434570312,0.6792464320435118,0.06930116564035416,,,
