family,seed,operator,stage,update_stable_rank_fraction,update_entropy_rank_fraction,update_head_energy_fraction,update_middle_energy_fraction,update_tail_energy_fraction,update_row_norm_cv,update_frobenius_norm,weight_frobenius_norm
dense,161803,normuon,3,0.4066503114081959,0.9461129180250321,0.4412127501346211,0.47090880461236373,0.08787844746926411,0.025284342420471704,14.409987335166422,1192.9358910012988
dense,161803,normuon,4,0.4082987327626682,0.9471485871363451,0.438790245569326,0.4721315656116302,0.08907819241982572,0.025219092633634966,8.800590094849376,1192.4099280035232
dense,161803,normuon,5,0.4247019675804332,0.9539657617635268,0.4247254064695083,0.47781636936460586,0.09745822231320136,0.024629743846960088,3.1887472735884543,1192.2281942647166
dense,271828,adamw,1,0.036390286337404966,0.7774127179926092,0.7560328417283328,0.22374543830513316,0.020221716848844513,0.06365637152510531,10.76713545602198,1195.9833819405392
dense,271828,adamw,2,0.034775685207709114,0.774376178967124,0.7583124690196094,0.22201204056886428,0.01967549401106323,0.06895802113760442,10.251239448716829,1195.9168344371346
dense,271828,adamw,3,0.035266986485311694,0.7683570751531876,0.7651318928455924,0.21602514362271458,0.018842963963737063,0.07143608166432795,6.988035698804482,1195.855652840944
dense,271828,adamw,4,0.03314044466491211,0.7635974136584582,0.7709505519764946,0.21081408515652234,0.018235366456559238,0.07182446307437942,4.384695983707501,1195.8155680550135
dense,271828,adamw,5,0.031246858855639707,0.7582408315676419,0.7762399279178782,0.20608125981640688,0.017678822560066528,0.07232382149998358,1.5625846652100104,1195.8001369243364
dense,271828,muon,1,0.4584179264020155,0.9480397039874989,0.4326385680366965,0.4794679043445995,0.08789352681188979,0.18145473662484934,19.23772507846326,1194.9369890910355
dense,271828,muon,2,0.43717876379502646,0.9424500817602331,0.44546998646807545,0.4728168417266346,0.08171317447972967,0.1827135825938082,19.957269203856598,1193.7791855684552
dense,271828,muon,3,0.443076237876785,0.9441820416539748,0.44134579654683403,0.47514980895952746,0.08350438676913952,0.18420648602718975,14.52854354019197,1192.9305733290614
dense,271828,muon,4,0.4400528992082983,0.9442397521778861,0.4417008579892908,0.47469557933310136,0.08360356243357142,0.18599086127338563,8.722087472564384,1192.406380065004
dense,271828,muon,5,0.47134604165579547,0.9525923330516102,0.4211427527952959,0.48552120919214853,0.09333604125973376,0.18507821680878334,3.2014925035660067,1192.2253635810296
