model_family,optimizer,baseline,treatment_run_id,baseline_run_id,stage,fraction,task,treatment_ndcg_at_10,baseline_ndcg_at_10,delta
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,DBPedia,0.27869,0.27603,0.0026599999999999957
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,FEVER,0.92249,0.91864,0.00385000000000002
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,FiQA2018,0.54575,0.5371,0.008649999999999936
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,HotpotQA,0.67644,0.67493,0.0015100000000000113
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,MSMARCO,0.56931,0.56732,0.0019899999999999363
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,NFCorpus,0.28844,0.28805,0.00039000000000000146
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,NQ,0.93964,0.92545,0.014190000000000036
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,QuoraRetrieval,0.91134,0.91179,-0.00044999999999995044
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,SCIDOCS,0.14689,0.14771,-0.0008200000000000152
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,SciFact,0.88071,0.88115,-0.00043999999999999595
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,TRECCOVID,0.83085,0.81964,0.011209999999999942
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,Touche2020,0.33722,0.32106,0.016160000000000008
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,ArguAna,0.56166,0.56,0.0016599999999999948
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,ClimateFEVER,0.41402,0.40586,0.00816
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,DBPedia,0.28106,0.27755,0.0035099999999999576
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,FEVER,0.92348,0.92053,0.002950000000000008
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,FiQA2018,0.54895,0.5421,0.006850000000000023
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,HotpotQA,0.67766,0.67496,0.0027000000000000357
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,MSMARCO,0.57072,0.56796,0.0027599999999999847
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,NFCorpus,0.28622,0.28744,-0.0012199999999999989
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,NQ,0.93964,0.92545,0.014190000000000036
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,QuoraRetrieval,0.91318,0.9118,0.0013799999999999368
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,SCIDOCS,0.14837,0.14774,0.0006299999999999917
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,SciFact,0.87919,0.8804,-0.0012099999999999334
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,TRECCOVID,0.82966,0.83044,-0.0007800000000000029
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,Touche2020,0.3342,0.32591,0.00829000000000002
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,ArguAna,0.42927,0.42929,-2.0000000000020002e-05
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,ClimateFEVER,0.37927,0.36915,0.010120000000000018
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,DBPedia,0.3065,0.30714,-0.0006400000000000294
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,FEVER,0.9318,0.93171,8.999999999992347e-05
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,FiQA2018,0.55361,0.55065,0.0029600000000000737
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,HotpotQA,0.75183,0.75126,0.0005699999999999594
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,MSMARCO,0.58169,0.5802,0.0014899999999999913
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,NFCorpus,0.26755,0.27115,-0.003599999999999992
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,NQ,0.96391,0.94971,0.01419999999999999
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,QuoraRetrieval,0.91751,0.91588,0.0016300000000000203
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,SCIDOCS,0.14438,0.14389,0.0004900000000000182
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,SciFact,0.88616,0.8855,0.0006599999999999939
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,TRECCOVID,0.81373,0.81572,-0.0019900000000000473
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,Touche2020,0.36509,0.39285,-0.02775999999999995
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,ArguAna,0.42469,0.43519,-0.01050000000000001
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,ClimateFEVER,0.3951,0.38884,0.006259999999999988
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,DBPedia,0.3094,0.30165,0.007750000000000035
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,FEVER,0.9385,0.93577,0.00273000000000001
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,FiQA2018,0.55735,0.54506,0.012290000000000023
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,HotpotQA,0.75513,0.75164,0.003489999999999993
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,MSMARCO,0.58791,0.58848,-0.0005699999999999594
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,NFCorpus,0.2669,0.27096,-0.0040599999999999525
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,NQ,0.96391,0.96391,0.0
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,QuoraRetrieval,0.91662,0.91479,0.0018299999999999983
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,SCIDOCS,0.14592,0.14177,0.004149999999999987
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,SciFact,0.90247,0.88381,0.01866000000000001
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,TRECCOVID,0.81155,0.80891,0.0026399999999999757
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,Touche2020,0.34898,0.36718,-0.018199999999999994
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,ArguAna,0.42439,0.43301,-0.008620000000000017
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,ClimateFEVER,0.41148,0.40801,0.0034700000000000286
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,DBPedia,0.30589,0.3029,0.0029899999999999927
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,FEVER,0.93978,0.93921,0.0005699999999999594
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,FiQA2018,0.54896,0.54888,7.999999999996898e-05
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,HotpotQA,0.749,0.74896,4.0000000000040004e-05
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,MSMARCO,0.59224,0.59034,0.0019000000000000128
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,NFCorpus,0.28047,0.2835,-0.003029999999999977
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,NQ,0.94971,0.96391,-0.01419999999999999
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,QuoraRetrieval,0.91687,0.91446,0.002409999999999912
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,SCIDOCS,0.1502,0.14833,0.0018700000000000105
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,SciFact,0.90742,0.89543,0.011990000000000056
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,TRECCOVID,0.80086,0.81278,-0.01191999999999993
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,Touche2020,0.34972,0.34308,0.006639999999999979
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,ArguAna,0.42688,0.43286,-0.005980000000000041
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,ClimateFEVER,0.41701,0.41289,0.0041200000000000125
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,DBPedia,0.30582,0.30342,0.0023999999999999577
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,FEVER,0.93858,0.93751,0.0010700000000000154
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,FiQA2018,0.56804,0.5518,0.016240000000000032
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,HotpotQA,0.74924,0.74741,0.0018299999999999983
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,MSMARCO,0.59395,0.59185,0.0020999999999999908
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,NFCorpus,0.27532,0.27896,-0.0036399999999999766
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,NQ,0.94971,0.94971,0.0
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,QuoraRetrieval,0.91592,0.91444,0.0014799999999999258
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,SCIDOCS,0.14883,0.14673,0.0020999999999999908
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,SciFact,0.89646,0.88531,0.011149999999999993
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,TRECCOVID,0.79961,0.80826,-0.008649999999999936
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,Touche2020,0.35107,0.35062,0.00045000000000000595
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,ArguAna,0.42781,0.43451,-0.006699999999999984
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,ClimateFEVER,0.41413,0.4088,0.005330000000000001
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,DBPedia,0.30886,0.3037,0.005159999999999998
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,FEVER,0.9392,0.93885,0.0003500000000000725
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,FiQA2018,0.56411,0.55837,0.005739999999999967
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,HotpotQA,0.74889,0.75079,-0.0019000000000000128
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,MSMARCO,0.59459,0.59282,0.0017699999999999383
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,NFCorpus,0.28023,0.27758,0.0026499999999999857
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,NQ,0.96391,0.96391,0.0
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,QuoraRetrieval,0.91616,0.91527,0.0008899999999999464
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,SCIDOCS,0.15111,0.14781,0.0032999999999999974
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,SciFact,0.89646,0.89646,0.0
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,TRECCOVID,0.80093,0.80649,-0.005560000000000009
late,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,Touche2020,0.35485,0.34622,0.008629999999999971
late,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,ArguAna,0.42459,0.42929,-0.004699999999999982
late,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,ClimateFEVER,0.37341,0.36915,0.0042600000000000415
late,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,DBPedia,0.30467,0.30714,-0.0024700000000000277
late,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,FEVER,0.93145,0.93171,-0.000260000000000038
late,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,FiQA2018,0.556,0.55065,0.005350000000000077
