run_id,optimizer,learning_rate,step,task,removed_fraction,draw,shortlist_ndcg,relative_shortlist_ndcg,margin,relative_margin
pretrained,pretrained,,0,ClimateFEVER,0.1,7,0.7195575277179698,1.0,0.00041863584717498695,-0.2320515724195795
pretrained,pretrained,,0,DBPedia,0.1,7,1.0,1.0,0.2530858641185786,1.009873259449015
pretrained,pretrained,,0,FEVER,0.1,7,1.0,1.0,0.3272851914164754,1.0079900911452537
pretrained,pretrained,,0,FiQA2018,0.1,7,0.9769331095982161,1.0,0.1939677021303911,0.9906959706835186
pretrained,pretrained,,0,HotpotQA,0.1,7,1.0,1.0,0.23277173928886574,0.9743838244471903
pretrained,pretrained,,0,MSMARCO,0.1,7,1.0,1.0,0.3145405521538327,1.0012559118746016
pretrained,pretrained,,0,NFCorpus,0.1,7,0.6837929595329726,1.0128779701117168,0.002670065490032167,0.7300868992404607
pretrained,pretrained,,0,NQ,0.1,7,1.0,1.0,0.3317164336669414,0.9890730711266864
pretrained,pretrained,,0,QuoraRetrieval,0.1,7,1.0,1.0,0.45327010746705854,1.014892504525079
pretrained,pretrained,,0,SCIDOCS,0.1,7,0.8755000588751274,1.0,0.09629614701623462,0.9393093456809258
pretrained,pretrained,,0,SciFact,0.1,7,0.9769331095982161,1.0,0.2523687509409314,0.9961743582062333
pretrained,pretrained,,0,TRECCOVID,0.1,7,0.8211831684733434,0.957220847005341,0.049233602663491645,1.0410065293720148
pretrained,pretrained,,0,Touche2020,0.1,7,1.0,1.0,0.24267566030156684,0.9859694958981836
pretrained,pretrained,,0,ArguAna,0.1,8,1.0,1.0,0.1945045994073836,1.0223878907822925
pretrained,pretrained,,0,ClimateFEVER,0.1,8,0.7863902428383827,1.0928802945504141,0.005285785703256704,-2.929932761828088
pretrained,pretrained,,0,DBPedia,0.1,8,1.0,1.0,0.2518722886188703,1.0050308023258323
pretrained,pretrained,,0,FEVER,0.1,8,1.0,1.0,0.32111787757058885,0.9889956746281745
pretrained,pretrained,,0,FiQA2018,0.1,8,0.9538662191964322,0.9763884649059846,0.19300036937788778,0.9857552890664779
pretrained,pretrained,,0,HotpotQA,0.1,8,1.0,1.0,0.23787283482288907,0.9957370393627859
pretrained,pretrained,,0,MSMARCO,0.1,8,1.0,1.0,0.3147054236080267,1.001780736152682
pretrained,pretrained,,0,NFCorpus,0.1,8,0.6693367231105976,0.9914644659233276,0.0046485256814696695,1.2710653403422527
