family,anchor,metric,condition,interpolation_lambda,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,adamw-native,0.0,-0.017857142857142856,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,adam-basis__spectrum-lambda-0.25,0.25,-0.004464285714285714,0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,adam-basis__spectrum-lambda-0.50,0.5,0.004464285714285714,0.02232142857142857
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,adam-basis__spectrum-lambda-0.75,0.75,0.0,0.017857142857142856
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,adam-basis__muon-spectrum,1.0,0.013392857142857142,0.03125
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,adamw-native,0.0,-0.016917004871434722,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.25,0.25,-0.013846650667541585,0.0030703542038931376
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.50,0.5,-0.008996243611363752,0.00792076126007097
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.75,0.75,-0.007040247395837339,0.009876757475597384
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__muon-spectrum,1.0,-0.004759238816404832,0.01215776605502989
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,adamw-native,0.0,-0.0023018973214285715,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.25,0.25,-0.0023978097098214285,-9.591238839285702e-05
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0023193359375,-1.743861607142851e-05
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.75,0.75,-0.002162388392857143,0.0001395089285714285
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,adam-basis__muon-spectrum,1.0,-0.0018136160714285715,0.00048828125
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,adamw-native,0.0,-0.003627232142857143,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,-0.0035487583705357145,7.847377232142851e-05
