family,anchor,condition,category,basis_source,spectrum_operation,interpolation_lambda,band,samples,contrastive_loss,delta_contrastive_loss,positive_score,delta_positive_score,hardest_negative_score,delta_hardest_negative_score,positive_margin,delta_positive_margin,reciprocal_rank,delta_reciprocal_rank,top1_accuracy,delta_top1_accuracy
dense,dense/muon-lr1e-3/checkpoint-782,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,224,0.6147166731051195,-0.0013968466461977056,0.67041015625,-0.0006103515625,0.6385236467633929,-0.0006016322544642857,0.031886509486607144,-8.719308035714285e-06,0.8779017861400332,0.0016369045312915529,0.7857142857142857,0.0
dense,dense/muon-lr1e-3/checkpoint-782,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,224,0.6111025625381704,-0.005010957213146737,0.6697126116071429,-0.0013078962053571428,0.63751220703125,-0.0016130719866071428,0.032200404575892856,0.00030517578125,0.8803571433361087,0.004092261727367129,0.7901785714285714,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-782,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,224,0.6137800701595292,-0.0023334495917879394,0.6722063337053571,0.0011858258928571428,0.6402849469866071,0.00115966796875,0.03192138671875,2.6157924107142856e-05,0.8783907318221671,0.0021258502134255002,0.7857142857142857,0.0
dense,dense/muon-lr1e-3/checkpoint-782,adam-basis__muon-tail-spectrum,transformed,adamw,band_transplant,,tail,224,0.609638378647365,-0.00647514110395215,0.6729213169642857,0.0019008091517857143,0.6405814034598214,0.0014561244419642857,0.03233991350446429,0.00044468470982142856,0.8751488100471241,-0.0011160715616175107,0.78125,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,adamw-native,native,adamw,native,0.0,,224,0.5699494899645288,-0.016917004871434722,0.6539393833705357,-0.0023018973214285715,0.6169172014508929,-0.003627232142857143,0.037022181919642856,0.0013253348214285715,0.8857249156571925,-0.000744047574698925,0.8080357142857143,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,muon-native,native,muon,native,1.0,,224,0.5785693344775739,-0.008297160358389582,0.6547415597098214,-0.0014997209821428572,0.6185564313616071,-0.001988002232142857,0.03618512834821429,0.00048828125,0.8909332489461771,0.004464285714285714,0.8169642857142857,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-2345,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,224,0.5730198441684219,-0.013846650667541585,0.6538434709821429,-0.0023978097098214285,0.6169956752232143,-0.0035487583705357145,0.03684779575892857,0.0011509486607142857,0.8823767013714782,-0.004092261860413211,0.8035714285714286,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,224,0.5778702512245998,-0.008996243611363752,0.6539219447544643,-0.0023193359375,0.6171875,-0.00335693359375,0.03673444475446429,0.00103759765625,0.8857249156571925,-0.000744047574698925,0.8080357142857143,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,224,0.5798262474401261,-0.007040247395837339,0.6540788922991071,-0.002162388392857143,0.61761474609375,-0.0029296875,0.036464146205357144,0.0007672991071428571,0.8827487252253506,-0.003720238006540707,0.8035714285714286,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,224,0.5821072560195587,-0.004759238816404832,0.6544276646205357,-0.0018136160714285715,0.6181815011160714,-0.0023629324776785715,0.03624616350446429,0.00054931640625,0.8838647966539221,-0.0026041665779692785,0.8035714285714286,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,224,0.5845679072149973,-0.002298587620966178,0.6553257533482143,-0.00091552734375,0.6195068359375,-0.00103759765625,0.03581891741071429,0.0001220703125,0.8842368205077946,-0.002232142724096775,0.8080357142857143,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,224,0.5734030988192639,-0.013463396016699594,0.65411376953125,-0.0021275111607142855,0.6175362723214286,-0.0030081612723214285,0.03657749720982143,0.0008806501116071429,0.885352891936366,-0.0011160712955253465,0.8080357142857143,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,224,0.5707721124954332,-0.01609438234053024,0.6540788922991071,-0.002162388392857143,0.61712646484375,-0.00341796875,0.036952427455357144,0.0012555803571428572,0.8879570585143354,0.0014880952824439322,0.8125,0.004464285714285714
