family,anchor,metric,band,condition,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.005654761700757912,-0.001860119003270354
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,0.004538690272186484,-0.002976190431841782
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,head,adam-basis__muon-head-spectrum,0.004464285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.004464285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,tail,adam-basis__muon-tail-spectrum,0.004464285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.0025304772109068707,-0.007679413524653813
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.001106514616952024,-0.006255450930698967
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,tail,adam-basis__muon-tail-spectrum,0.00560116315630564,0.0004522268425586973
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,head,adam-basis__muon-head-spectrum,-0.0012642996651785715,0.00027029854910714276
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,middle,adam-basis__muon-middle-spectrum,-0.0010201590401785715,0.0005144391741071428
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,tail,adam-basis__muon-tail-spectrum,-0.0013166155133928572,0.00021798270089285702
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.0010637555803571428,-8.719308035714276e-05
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,-0.0009504045758928571,2.6157924107142873e-05
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,-0.0008632114955357143,0.00011335100446428575
