run_id,stage,original_feature,exact_feature,original_value,exact_value,exact_minus_original,relationship,defined
verified-v3-adamw-3e-6,5,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.07595138543961096,0.7285912749579371,0.6526398895183261,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-3e-6,5,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.008644303744376608,0.008644303479722538,-2.646540694928312e-10,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,5,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.4880178050335609,0.4996922337068413,0.01167442867328039,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,5,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6717392751771073,0.6816739262902712,0.00993465111316394,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,1,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.011993273511635216,0.011993272269125638,-1.2425095778645368e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,1,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.07222323875323124,0.6915974218388166,0.6193741830855853,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-1e-5,1,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.011993273511635216,0.011993272269125638,-1.2425095778645368e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,1,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.6656881973359886,0.6775247758792177,0.01183657854322906,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,1,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6665681563251371,0.6775247758792177,0.01095661955408056,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,2,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.02178474408765315,0.02178462839886202,-1.1568879113021957e-07,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,2,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.0772085390626428,0.7427711429422456,0.6655626038796028,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-1e-5,2,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.01350869513789122,0.013508694252922365,-8.849688551415547e-10,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,2,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.470809054064586,0.4830961712960389,0.012287117231452871,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,2,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6541781970391086,0.6655906059822699,0.011412408943161312,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,3,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.026446223026556553,0.026445023835807813,-1.1991907487400588e-06,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,3,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.07829643024958391,0.7551106855750226,0.6768142553254387,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-1e-5,3,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.014055251369647907,0.014055250100945126,-1.268702781720421e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,3,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.4699962824490087,0.48450451214055373,0.014508229691545027,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,3,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6523066717938731,0.664356367976164,0.012049696182290903,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,4,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.026694428454586527,0.02669390073086433,-5.277237221969211e-07,exact_rank_and_nonzero_denominator,True
