all_nonzero_pair_subspaces_resolved,defined_parameter_fraction,defined_parameters,defined_tensors,displacement_kind,first_learning_rate,first_optimizer,first_run_id,left_subspace_overlap,mean_subspace_overlap,progress_fraction,resolved_only_mean_subspace_overlap,right_subspace_overlap,second_learning_rate,second_optimizer,second_run_id,stage,step,undefined_boundary_parameters,undefined_signal_rank_parameters,undefined_zero_parameters
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.10239454259749742,0.10510520621218945,0.2,0.10510520621218945,0.1078158698268815,0.001,muon,verified-v3-muon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.030084667715449067,0.03255332111971124,0.2,0.03255332111971124,0.035021974523973404,0.003,muon,verified-v3-muon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.2911232822632714,0.2994713119515227,0.2,0.2994713119515227,0.30781934163977404,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.317037783384516,0.3058940965238003,0.2,0.3058940965238003,0.2947504096630847,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.11840448731588683,0.11378127796414407,0.2,0.11378127796414407,0.1091580686124013,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.042083230448152216,0.03898332260810168,0.2,0.03898332260810168,0.035883414768051146,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,muon,verified-v3-muon-1e-4,0.4904706350624727,0.5029212676318892,0.2,0.5029212676318892,0.5153719002013057,0.0003,muon,verified-v3-muon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,muon,verified-v3-muon-1e-4,0.10436738523368148,0.10849281675087726,0.2,0.10849281675087726,0.11261824826807304,0.001,muon,verified-v3-muon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,muon,verified-v3-muon-1e-4,0.03138828952268743,0.033194972305276904,0.2,0.033194972305276904,0.03500165508786639,0.003,muon,verified-v3-muon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,muon,verified-v3-muon-1e-4,0.8190875440607108,0.8330727146760124,0.2,0.8330727146760124,0.8470578852913139,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,muon,verified-v3-muon-1e-4,0.45661045313005705,0.47701224611976856,0.2,0.47701224611976856,0.4974140391094801,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,muon,verified-v3-muon-1e-4,0.09197482245076564,0.0996667642801954,0.2,0.0996667642801954,0.10735870610962517,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,muon,verified-v3-muon-1e-4,0.028392045462543737,0.031893549084226494,0.2,0.031893549084226494,0.03539505270590925,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,verified-v3-muon-3e-4,0.2289965127509497,0.23500190340300534,0.2,0.23500190340300534,0.241007294055061,0.001,muon,verified-v3-muon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,verified-v3-muon-3e-4,0.046779963604496336,0.04944436291296572,0.2,0.04944436291296572,0.052108762221435116,0.003,muon,verified-v3-muon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,verified-v3-muon-3e-4,0.41033316914758117,0.42946113980822875,0.2,0.42946113980822875,0.44858911046887645,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,verified-v3-muon-3e-4,0.6544001876767769,0.6677605675226425,0.2,0.6677605675226425,0.6811209473685081,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,verified-v3-muon-3e-4,0.19401170464807335,0.20419608603241857,0.2,0.20419608603241857,0.21438046741676384,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,verified-v3-muon-3e-4,0.04132539493927353,0.04629055543443174,0.2,0.04629055543443174,0.05125571592958993,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.001,muon,verified-v3-muon-1e-3,0.07642328595806525,0.08034597355930367,0.2,0.08034597355930367,0.08426866116054213,0.003,muon,verified-v3-muon-3e-3,1,782,0,0,0
