state,learning_rate,optimizer,run_id,step,stage,baseline_margin,baseline_shortlist_ndcg,helpful_mass,degrading_mass,helpful_share,first_order_half_l1,first_order_helpful_mass,first_order_degrading_mass,direct_sum,renormalization_sum,switching_sum,fixed_negative_sum,actual_sum,first_order_sum,finite_vs_first_order_l1,finite_vs_first_order_relative_l1,switching_fraction,queries_with_any_switch_fraction,baseline_negative_tie_queries,max_coordinate_energy,switching_to_total_mass,beir_ndcg_at_10
verified-v3-adamw-1e-6/checkpoint-782,1e-06,adamw,verified-v3-adamw-1e-6,782,1,0.22021281647447452,0.9374344988942097,0.11543087280743117,0.10597265842670744,0.5217750659853505,0.11041475357738842,0.11041475357738843,0.11041475357738842,-0.22021281647447452,0.2201267167891782,-0.009372114695427402,-8.609968529633051e-05,-0.009458214380723733,-1.5953260538000993e-18,0.010114360534515577,0.04650577502477101,0.009015764508928572,0.18303571428571427,0.0,0.030416074354969288,0.04316022505137436,0.5425692857142858
verified-v3-adamw-3e-5/checkpoint-1563,3e-05,adamw,verified-v3-adamw-3e-5,1563,2,0.25840092397486647,0.9446755603018734,0.11800599492976603,0.10512249477320634,0.5285870460676795,0.11148360520721932,0.11148360520721931,0.11148360520721932,-0.2584009239748664,0.2583201968733291,-0.012802773055022285,-8.072710153738786e-05,-0.012883500156559674,2.3852447794681098e-18,0.013473422331176581,0.05982778565650209,0.012590680803571426,0.19642857142857142,0.0,0.027381799973361785,0.05681471598741394,0.5897585714285715
verified-v3-adamw-3e-5/checkpoint-2345,3e-05,adamw,verified-v3-adamw-3e-5,2345,3,0.2615900030975995,0.9458222304354261,0.11466458917495716,0.10822470711214154,0.5145423657005442,0.11117129384227796,0.11117129384227796,0.11117129384227796,-0.26159000309759944,0.26150077310473907,-0.00635065206995522,-8.92299928604046e-05,-0.006439882062815622,7.635881014790767e-18,0.007115232385085181,0.032109128752957024,0.005865187872023809,0.14732142857142858,0.0,0.02707334375182834,0.028685356595301036,0.5879642857142857
verified-v3-adamw-3e-5/checkpoint-3126,3e-05,adamw,verified-v3-adamw-3e-5,3126,4,0.26378435494174446,0.9441745954067272,0.11638663219159788,0.10650710382352993,0.5224975136326241,0.11116609620146316,0.11116609620146316,0.11116609620146316,-0.26378435494174446,0.26369700825730946,-0.009792181683632887,-8.734668443508046e-05,-0.009879528368067965,8.255425113353912e-18,0.010525547416225052,0.04788865263103152,0.00937034970238095,0.14285714285714285,0.0,0.026591749020125847,0.04460506947318628,0.58876
verified-v3-adamw-3e-5/checkpoint-3907,3e-05,adamw,verified-v3-adamw-3e-5,3907,5,0.2649333591112629,0.9424248449593914,0.11600590235356965,0.10623847316555254,0.5220486286237033,0.11085780110075517,0.11085780110075517,0.11085780110075517,-0.2649333591112629,0.26484857797873607,-0.00968264805549022,-8.478113252689107e-05,-0.009767429188017112,2.346523273307913e-18,0.010387427628506576,0.046891925929632504,0.009504045758928572,0.13839285714285715,0.0,0.02696859704127715,0.04371693904182937,0.5892628571428571
verified-v3-adamw-3e-5/checkpoint-782,3e-05,adamw,verified-v3-adamw-3e-5,782,1,0.2521350890351993,0.9453972623975856,0.11682966807885956,0.10715601529005807,0.5219136073356988,0.11160201427102098,0.11160201427102098,0.11160201427102098,-0.25213508903519927,0.25205397893781106,-0.009592542691413184,-8.111009738828379e-05,-0.00967365278880147,-4.662069341687669e-18,0.010324980453511462,0.04673570073170292,0.00955054873511905,0.14732142857142858,0.0,0.02741044194062266,0.0434698403059778,0.5857735714285714
verified-v3-adamw-3e-6/checkpoint-1563,3e-06,adamw,verified-v3-adamw-3e-6,1563,2,0.23901514389836023,0.9422742777243777,0.120006824751677,0.10247950230091164,0.5395360254061831,0.11072855506241086,0.11072855506241086,0.11072855506241089,-0.23901514389836026,0.2389296523094321,-0.017441830861837267,-8.54915889280762e-05,-0.017527322450765343,4.4916947145828045e-19,0.018069615692054126,0.0815082005023595,0.018019903273809527,0.16964285714285715,0.0,0.02886548181172461,0.07868711317327977,0.5754778571428572
verified-v3-adamw-3e-6/checkpoint-2345,3e-06,adamw,verified-v3-adamw-3e-6,2345,3,0.24362114151388306,0.9455695477817753,0.11692788341802106,0.10518367929675722,0.5263821994826365,0.11094151678140593,0.11094151678140593,0.11094151678140594,-0.24362114151388306,0.24353380340226297,-0.011656866009643854,-8.733811161999127e-05,-0.011744204121263842,6.040554960990668e-18,0.012340022011545729,0.0554537598055746,0.012125651041666668,0.17410714285714285,0.0,0.02856605268633025,0.05237257668451225,0.5815735714285715
verified-v3-adamw-3e-6/checkpoint-3126,3e-06,adamw,verified-v3-adamw-3e-6,3126,4,0.24484837704887324,0.9457063585859115,0.11596609853173066,0.106326657468428,0.521621686746404,0.1111647813973344,0.1111647813973344,0.1111647813973344,-0.24484837704887322,0.24476025347660926,-0.009551317491038719,-8.812357226394627e-05,-0.009639441063302667,7.992118871464575e-18,0.01026263523431802,0.046048161731727315,0.00988188244047619,0.17410714285714285,0.0,0.028530269252781987,0.04284884797305213,0.5840192857142857
verified-v3-adamw-3e-6/checkpoint-3907,3e-06,adamw,verified-v3-adamw-3e-6,3907,5,0.24526240587975026,0.9455695477817753,0.11595591774866529,0.10642315003513837,0.5209935368865225,0.11131057639327897,0.11131057639327897,0.11131057639327899,-0.24526240587975026,0.2451757366593407,-0.009446098493117411,-8.666922040950232e-05,-0.009532767713526916,2.0135183203302226e-19,0.01016546117187864,0.04484140441378609,0.009358723958333334,0.17857142857142858,0.0,0.02808065362110698,0.041598915386518207,0.5834164285714286
