family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,samples,candidates_per_sample,positive_score_mean,hardest_negative_score_mean,margin_mean,margin_median,margin_std,top1_accuracy,mean_reciprocal_rank,mean_candidate_score_std,reference_top_k,reference_mean_top_k_overlap,reference_top1_agreement,reference_score_drift_rms,token_evidence_entropy_mean,token_evidence_entropy_median,token_evidence_gini_mean,token_evidence_gini_median,document_token_coverage_mean,document_token_coverage_median,repeated_token_dominance_mean,repeated_token_dominance_median
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed314159/adamw-scale-matched/checkpoint-157,cosine,224,8,0.45560938119888306,0.20172929763793945,0.253880113363266,0.26870429515838623,0.20249485969543457,0.875,0.9159225821495056,0.13760796189308167,3,0.8288690476190476,0.9241071343421936,0.06647863984107971,,,,,,,,
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed314159/adamw-scale-matched/checkpoint-235,cosine,224,8,0.44854065775871277,0.19351878762245178,0.255021870136261,0.26289859414100647,0.20021076500415802,0.8839285969734192,0.9219971895217896,0.13651329278945923,3,0.8244047619047619,0.9196428656578064,0.06226704642176628,,,,,,,,
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed314159/adamw-scale-matched/checkpoint-313,cosine,224,8,0.44718238711357117,0.19353710114955902,0.25364527106285095,0.2660326361656189,0.20054201781749725,0.8839285969734192,0.921890914440155,0.13704730570316315,3,0.8363095238095238,0.9151785969734192,0.06325206905603409,,,,,,,,
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed314159/adamw-scale-matched/checkpoint-391,cosine,224,8,0.444622278213501,0.1937258392572403,0.2508964240550995,0.26377856731414795,0.19916307926177979,0.8839285969734192,0.921295702457428,0.13598637282848358,3,0.8333333333333333,0.9107142686843872,0.06362113356590271,,,,,,,,
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed314159/muon-scale-matched/checkpoint-79,cosine,224,8,0.4458240866661072,0.20256173610687256,0.24326230585575104,0.2542840242385864,0.1949278712272644,0.8705357313156128,0.9132546782493591,0.13266538083553314,3,0.8318452380952381,0.9330357313156128,0.0657891258597374,,,,,,,,
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed314159/muon-scale-matched/checkpoint-157,cosine,224,8,0.4607956111431122,0.20966608822345734,0.25112950801849365,0.26259106397628784,0.20085497200489044,0.8794642686843872,0.9186756014823914,0.13762995600700378,3,0.806547619047619,0.9196428656578064,0.07517550885677338,,,,,,,,
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed314159/muon-scale-matched/checkpoint-235,cosine,224,8,0.4507606327533722,0.1989515870809555,0.2518090307712555,0.25646013021469116,0.19873692095279694,0.8883928656578064,0.9241231083869934,0.13585089147090912,3,0.806547619047619,0.9151785969734192,0.06798384338617325,,,,,,,,
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed314159/muon-scale-matched/checkpoint-313,cosine,224,8,0.450320303440094,0.1980251967906952,0.2522951364517212,0.259966105222702,0.20095044374465942,0.875,0.9168261289596558,0.13659654557704926,3,0.806547619047619,0.90625,0.06939750909805298,,,,,,,,
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed314159/muon-scale-matched/checkpoint-391,cosine,224,8,0.44699782133102417,0.1979445070028305,0.24905328452587128,0.25666236877441406,0.19850987195968628,0.8794642686843872,0.9210671782493591,0.13547688722610474,3,0.8005952380952381,0.8928571343421936,0.06922904402017593,,,,,,,,
dense,checkpoint,314159,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed314159/normuon-scale-matched/checkpoint-79,cosine,224,8,0.44493982195854187,0.1990448385477066,0.24589498341083527,0.25759685039520264,0.19629277288913727,0.8705357313156128,0.9141103029251099,0.13348998129367828,3,0.8422619047619048,0.9419642686843872,0.06360677629709244,,,,,,,,
