family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,representation_role,original_vectors,analyzed_vectors,sampled,dimension,mean_norm,norm_cv,mean_pairwise_cosine,covariance_trace,entropy_effective_rank,normalized_effective_rank,stable_rank,leading_variance_fraction
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed161803/adamw-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,0.9998952150344849,0.0017027095891535282,0.047965411096811295,0.951839804649353,164.01344299316406,0.21355917056401572,27.845718383789062,0.0359121635556221
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed161803/adamw-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,1.0000061988830566,0.0017667636275291443,0.06550674140453339,0.9345071315765381,151.9989013671875,0.6816094231712444,31.349302291870117,0.03189863637089729
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed161803/muon-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,0.9998151063919067,0.0017549876356497407,0.07356143742799759,0.9261041879653931,161.9752197265625,0.21090523401896158,25.55889892578125,0.039125315845012665
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed161803/muon-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,1.0000016689300537,0.0017155481036752462,0.08292486518621445,0.9170833826065063,150.24368286132812,0.6737384881673907,28.47395133972168,0.03511981666088104
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed161803/muon-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,1.0001046657562256,0.0016841248143464327,0.07280677556991577,0.9273911118507385,160.72398376464844,0.209276020526886,26.794593811035156,0.03732096031308174
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed161803/muon-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,1.0000054836273193,0.0018517195712774992,0.08295384794473648,0.9170572757720947,151.46055603027344,0.6791953185214056,30.30535316467285,0.03299747034907341
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed161803/muon-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,0.9998850226402283,0.0017633241368457675,0.06460175663232803,0.9351920485496521,157.9031982421875,0.20560312271118164,24.822620391845703,0.04028583690524101
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed161803/muon-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,0.9998608231544495,0.001696478808298707,0.07644321024417877,0.9233012199401855,151.07818603515625,0.6774806548661715,30.66973114013672,0.03260543942451477
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed161803/muon-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,1.0002925395965576,0.0016995638143271208,0.0567021481692791,0.9438576102256775,157.45664978027344,0.2050216794013977,25.834943771362305,0.03870726376771927
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed161803/muon-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.9998355507850647,0.0017317848978564143,0.07690563797950745,0.9228000044822693,149.62091064453125,0.6709457876436379,30.49513816833496,0.0327921137213707
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed161803/muon-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,1.0002093315124512,0.0017034029588103294,0.05107606202363968,0.9493290781974792,158.8255157470703,0.20680405696233115,26.18364715576172,0.0381917767226696
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed161803/muon-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,0.9998728632926941,0.0017262791516259313,0.0738624706864357,0.9259065389633179,150.5808563232422,0.6752504767858394,30.787303924560547,0.03248092159628868
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed161803/normuon-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,0.9999316334724426,0.0017528713215142488,0.06975167244672775,0.9301259517669678,163.472900390625,0.21285533905029297,25.90342140197754,0.03860493749380112
