family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,group,samples,candidates_per_sample,positive_score_mean,hardest_negative_score_mean,margin_mean,margin_median,margin_std,top1_accuracy,mean_reciprocal_rank,mean_candidate_score_std,reference_top_k,reference_mean_top_k_overlap,reference_top1_agreement,reference_score_drift_rms
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed161803/normuon-scale-matched/checkpoint-313,cosine,SCIDOCS,16,8,0.2961791157722473,0.2147854119539261,0.08139369636774063,0.10594641417264938,0.16642819344997406,0.75,0.809374988079071,0.09677588194608688,3,0.8333333333333333,1.0,0.07884422689676285
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed161803/normuon-scale-matched/checkpoint-313,cosine,SciFact,16,8,0.4921155273914337,0.22916461527347565,0.2629508972167969,0.24093998968601227,0.11043146997690201,1.0,1.0,0.13545548915863037,3,0.8125,0.9375,0.09578897804021835
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed161803/normuon-scale-matched/checkpoint-313,cosine,TRECCOVID,16,8,0.44107863306999207,0.35503995418548584,0.08603866398334503,0.07955501973628998,0.11714677512645721,0.6875,0.8098958134651184,0.08065751940011978,3,0.7916666666666666,0.8125,0.09170748293399811
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed161803/normuon-scale-matched/checkpoint-313,cosine,Touche2020,16,8,0.5291340351104736,0.218522846698761,0.31061115860939026,0.33419835567474365,0.10814163833856583,1.0,1.0,0.13566695153713226,3,0.8125,1.0,0.08302189409732819
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,ArguAna,16,8,0.5298079252243042,0.2859615683555603,0.24384643137454987,0.21213655173778534,0.11746229231357574,1.0,1.0,0.14016547799110413,3,0.8541666666666666,1.0,0.05107320845127106
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,ClimateFEVER,16,8,0.2942781150341034,0.2842525243759155,0.010025601834058762,-0.004714608192443848,0.11503366380929947,0.5,0.6895833611488342,0.08948030322790146,3,0.875,0.5,0.06891579180955887
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,DBPedia,16,8,0.4081140160560608,0.11886928975582123,0.28924471139907837,0.2825988531112671,0.15123270452022552,0.9375,0.96875,0.13712173700332642,3,0.75,0.9375,0.04818089306354523
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,FEVER,16,8,0.5894861221313477,0.19179239869117737,0.3976936638355255,0.410774827003479,0.07337416708469391,1.0,1.0,0.1695985049009323,3,0.75,1.0,0.10056742280721664
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,FiQA2018,16,8,0.4594470262527466,0.24861383438110352,0.21083317697048187,0.22469349205493927,0.10118427872657776,0.9375,0.96875,0.12356539815664291,3,0.8125,1.0,0.04331306368112564
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,HotpotQA,16,8,0.4445946216583252,0.1659916490316391,0.2786029875278473,0.2592684030532837,0.17823605239391327,1.0,1.0,0.14246691763401031,3,0.8958333333333334,1.0,0.0452604815363884
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,MSMARCO,16,8,0.5531893968582153,0.11775969713926315,0.4354296624660492,0.4363830089569092,0.14095522463321686,1.0,1.0,0.20350588858127594,3,0.7916666666666666,1.0,0.07490260154008865
