baseline,conditioned_on_displacement,feature,fold,status,baseline_mse_exact,feature_mse_exact,baseline_rmse,feature_rmse,improves,training_residual_energy_exact,train_rows,test_rows
B0_original,True,margin_helpful_attribution_participation_ratio,3,resolved,6036915602491626958235070865622284949568123640487928320266954260344201614988909353345157102446626942517006287956028617261922857521637712375003575021661396587753/174722236919382434292778949069456208236977297811123149710021363846377549655680317643728908512651429730151081726164199923587136003903933061047042771394447748848680960,6172470687083107042774092535270207296656759318661211229673929526877962266203684465335332483050162835387430735819369717094721892834596812623027592605910072923036614223739941083114481101299642112766761902842345623757967762633/210257053288031741669871318525085453122569205585702469313737162992258781740771603915304830740070949136075598626160143425112086603185351035903471251918569198442626282441000343564662522232750277747965699148703002276653663518720000,0.005878052512254087,0.005418190011208518,True,21771638807429405006979889958112401962541049797550205971535182595949409027902682755088579860621/40988022683070958681211607621586717355957906334835879000803949611767264371340280904011871527370752,45,15
B0_original,True,margin_helpful_attribution_participation_ratio,4,resolved,5989911663761218660682828850736310509828666472817018191085316334050369785865568419072051918316377080621683013729234073528331288348252003596823434051907902256921/27924246730468570189694086548126012626538624148025560252046491459979407074382899111496648222743548804095896034620428960890765614458164675933140728921966260015595520,4088042713059586405424863106143228394049515452183183256694031242831106841344731518755108888870697886625700261539593176724087944550139701332494550770076985968081684390225254411075766774197663745085019988806434322634420021/20394452491047849859162810290944236986176950131233998656257937082861118283780206276130447290388582108363677709595745150272480258651151544647761769745988479730372417834609405565976713681503464318548447329763733132263282442240,0.014646015031075292,0.014157992796197068,True,1027424885203120046483443516924332683365413092226314571941057834453160211217077084483557916987/5068112083750720228432065360555533854073920194719092507125113951813547666745927146455653920276480,45,15
B0_original,True,margin_degrading_attribution_mass,1,resolved,69682787800618894825907287091494408204152917372226275759536956682311969669286901131158303202194910151775776780744424145832497126004563146566027772635123316473923/575358028046048808579659657857295307168179603633927044743088230358398200818664194041725389005917960835200452337537460491950442327683474106431224906658185167429959680,319210624642497898748149686986133085730568334229748345049968399783960331666870127929938289467844095023541591658490402274822488751728271293558572415204182289153446615014676125370929171126280753518841782417468556455563029342711/2800283142952287341464483713767104823114630503599306805258839548113552955741329811653002225424294133189442727114975156798813491985969126327920913996974408432693448044884438680925865383800666143325660433494327980072497827125657600,0.01100509180899501,0.01067671613063056,True,516070105189548107663982149424721350170132104615191229787705219927290708297932107991124016523073/1932430361473697607161518117802169289740070149174560555477578422863128933891538210738379833695272960,45,15
B0_original,True,margin_degrading_attribution_mass,2,resolved,69399758086815819947563430217775992373263434195305476788987416231143800428028920887933829302097269555134952785801292072793827530815101638399473226577835576144639/2101955077115671276936358045244096334565580409912613471008463797111843299973494369785210753356909343691822096635763606506030502669609851042901817595429466304067665920,225105694862031513222481851182272414145608511359798607569277945642850536554768797192049291300613138774053322798461974275631763166658709391691129940630491277300228921833358525273226206636933204351943263620793022332338631993/5739386640570548509149188017573593950816126039368761756069931487138795633306792689402355057298635658398608345931291737944639641331552785361250391080348440550037574701493163180214834451349028704517827064721905732715237133516800,0.0057460217195798085,0.006262684015137843,False,99123521565506588336079900183153847921044335600270753156019577881861821555940862491656528299139/369357122980067749413233990523222281143448723945116211187773308129257644885149960317780267632689152,45,15
B0_original,True,margin_degrading_attribution_mass,3,resolved,6036915602491626958235070865622284949568123640487928320266954260344201614988909353345157102446626942517006287956028617261922857521637712375003575021661396587753/174722236919382434292778949069456208236977297811123149710021363846377549655680317643728908512651429730151081726164199923587136003903933061047042771394447748848680960,3088195607174716896749502868108382344511220028963854719847326942308195943579885462491958942968308464466677430247798551853468243615357384521581021483244908280432361129805018209971602613705117954849616936875943389140470743733/211039146339450128420636765672840898359027908097240129805902526376885755747841505216838432848229889198490550065175023617761481642483437912062896389019316387336682476858735273054971053066192641097198897542737533648113465347276800,0.005878052512254087,0.003825347469086482,True,109060465997795365956038266755081185875942860017672552312483419816471116948017899168752065973199/409880226830709586812116076215867173559579063348358790008039496117672643713402809040118715273707520,45,15
B0_original,True,margin_degrading_attribution_mass,4,resolved,5989911663761218660682828850736310509828666472817018191085316334050369785865568419072051918316377080621683013729234073528331288348252003596823434051907902256921/27924246730468570189694086548126012626538624148025560252046491459979407074382899111496648222743548804095896034620428960890765614458164675933140728921966260015595520,87083821809832432331833005851238322177303827425980861674540349417664441390975385976033436750525719876378665449449604164916023314781119461632415084346094151610134606633504578868768195044679091612722956316826073705167739483/540656091722936030255187736418282376777871878392145697044578228859329998863999892286874657204360703667580017556967046533985063663747021456072150755471226075030480684520714410933205508007905407947641559931024124765619387105280,0.014646015031075292,0.012691360775274657,True,18325052541540035228651703154643905067486667097558999000772123431800012121047525671210913785771/243269380020034570964739137306665624995548169346516440342005469687050288003804503029871388173271040,45,15
B0_original,True,random_50pct_relative_shortlist_ndcg,1,resolved,69682787800618894825907287091494408204152917372226275759536956682311969669286901131158303202194910151775776780744424145832497126004563146566027772635123316473923/575358028046048808579659657857295307168179603633927044743088230358398200818664194041725389005917960835200452337537460491950442327683474106431224906658185167429959680,2562229194897550034685692854664996877553688422703875069986783279950732991096711223111041168840715621977268832818630808682238856299254746169513884626945633080080668116362276443742529140150407812591519899218075197220459129/20821880897963954477611256534444968126179781687714104641754170791942637766555930847599186178119338128307084928590018562548760678211862648403347798349301646006648752105118765926121831241058342938234251289329457487315520716800,0.01100509180899501,0.011092999890635903,False,19499268631567110980560115090368953818725816119475587250588454141655872192342825834993169316493/120776897592106100447594882362635580608754384323410034717348651428945558368221138171148739605954560,45,15
B0_original,True,random_50pct_relative_shortlist_ndcg,2,resolved,69399758086815819947563430217775992373263434195305476788987416231143800428028920887933829302097269555134952785801292072793827530815101638399473226577835576144639/2101955077115671276936358045244096334565580409912613471008463797111843299973494369785210753356909343691822096635763606506030502669609851042901817595429466304067665920,8478982535138738747089665103470816669372040160221741689677228594007041820415723375509834547173793890453420583899134096250587577792593145556173502660537413916893690695353019009882323478366696967421936356671495668466567869/276620318150691237163659725477410202602304584223156754581519531324498861907570522442839505614151439695976572467396286996209417634352102951152726793765623999391881391168365287838063490702273457054841121174955711251628592988160,0.0057460217195798085,0.00553643024020522,True,79461249177927132164197989822323440446954767601383527122181263102959890442155705039335144810331/461696403725084686766542488154027851429310904931395263984716635161572056106437450397225334540861440,45,15
B0_original,True,random_50pct_relative_shortlist_ndcg,3,resolved,6036915602491626958235070865622284949568123640487928320266954260344201614988909353345157102446626942517006287956028617261922857521637712375003575021661396587753/174722236919382434292778949069456208236977297811123149710021363846377549655680317643728908512651429730151081726164199923587136003903933061047042771394447748848680960,8774728062098410354720931091662738679103343282556157860100196140561431877108229292725113031827094754150723631557937461426052279541734108166348792536606721878614407813294686854260823230384804313135638662410123618644746493/206554684525245113025421235470391545590144071905440142973379682119441693915173549896974203857104192547619529376007405122752469636774721213641644730863783232518372068448953808201247490127322183824961068286217404067373813596160,0.005878052512254087,0.00651777416662702,False,847707168058662746563802172045782127213403444796622958865716523198540235532570912280116123401/5692780928204299816834945502998155188327486990949427639000548557189897829352816792223871045468160,45,15
B0_original,True,random_50pct_relative_shortlist_ndcg,4,resolved,5989911663761218660682828850736310509828666472817018191085316334050369785865568419072051918316377080621683013729234073528331288348252003596823434051907902256921/27924246730468570189694086548126012626538624148025560252046491459979407074382899111496648222743548804095896034620428960890765614458164675933140728921966260015595520,163447675268218501373125035236789670110415072175487523847054763339634706215048639729117738042645029481911526095369819288921300382641569679345220891770190616519116151405059353693036896693113640194687060347392095772496089/794188976405181457552546969031333729309862476693306854868778906173987805535713760056768284657583039858278760611558693727684887992844626023023339688507517245859650548275581975498248040536673689456340699811498997128083013632,0.014646015031075292,0.014345888354653504,True,1586751907224255966284415634344743724154432333600205265449527621046831206943537225063171301451/8869196146563760399756114380972184244629360340758411887468949415673708416805372506297394360483840,45,15
