cumulative_displacement_frobenius_norm,cumulative_displacement_to_weight_ratio,cumulative_nonzero_parameter_fraction,cumulative_nonzero_parameters,cumulative_parameter_mass_in_nonzero_matrices,cumulative_sketch_captured_energy_parameter_weighted,cumulative_sketch_effective_rank_fraction_parameter_weighted,cumulative_sketch_effective_rank_parameter_weighted,cumulative_stable_rank_fraction_parameter_weighted,cumulative_stable_rank_parameter_weighted,hidden_parameters,hidden_tensors,learning_rate,optimizer,progress_fraction,run_id,saved_segment_frobenius_norm,saved_segment_nonzero_parameter_fraction,saved_segment_nonzero_parameters,saved_segment_parameter_mass_in_nonzero_matrices,saved_segment_row_cv_parameter_weighted,saved_segment_sketch_captured_energy_parameter_weighted,saved_segment_sketch_effective_rank_fraction_parameter_weighted,saved_segment_sketch_effective_rank_parameter_weighted,saved_segment_stable_rank_fraction_parameter_weighted,saved_segment_stable_rank_parameter_weighted,saved_segment_to_weight_ratio,saved_segment_top_1pct_row_energy_parameter_weighted,stage,step,weight_frobenius_norm
3.4346766578343932,0.0028713388046387634,0.9999901629315907,110296003,1.0,0.6636100428149024,0.07222323875323124,55.46744736248159,0.011993273511635216,9.210834056935846,110297088,88,1e-05,adamw,0.2,verified-v3-adamw-1e-5,3.4346766578343932,0.9999901629315907,110296003,1.0,0.18382200731193638,0.6636100428149024,0.07222323875323124,55.46744736248159,0.011993273511635216,9.210834056935846,0.0028713388046387634,0.03438737711316363,1,782,1196.1934454706407
4.749885007225646,0.003971109972467815,0.9999930460539448,110296321,1.0,0.6429773296583146,0.07360217914171185,56.5264735808347,0.01350869513789122,10.374677865900457,110297088,88,1e-05,adamw,0.4,verified-v3-adamw-1e-5,2.5567800744250526,0.9999870803479417,110295663,1.0,0.09904313739887215,0.5392670528614585,0.0772085390626428,59.29615800010967,0.02178474408765315,16.73068345931762,0.0021375790857064833,0.020955110524088782,2,1563,1196.1101657111417
5.372907200693587,0.004492242832394126,0.9999938982976595,110296415,1.0,0.6368748293840949,0.07408324019475417,56.8959284695712,0.014055251369647907,10.794433051889593,110297088,88,1e-05,adamw,0.6,verified-v3-adamw-1e-5,1.7210972574724674,0.9999814863652611,110295046,1.0,0.07712084663045757,0.5061162934902518,0.07829643024958391,60.13165843168044,0.026446223026556553,20.310699284395433,0.0014389950412201074,0.017876485021496042,3,2345,1196.0411316033228
5.6539266538560735,0.0047272573881929295,0.999993907364082,110296416,1.0,0.6364265753623636,0.07425344270552756,57.02664399784516,0.014352941105338128,11.023058768899682,110297088,88,1e-05,adamw,0.8,verified-v3-adamw-1e-5,1.0308416008320551,0.9999690381671726,110293673,1.0,0.07346947356699941,0.5007613534755248,0.0784492446458276,60.249019887995594,0.026694428454586527,20.501321053122453,0.0008618883604134579,0.01759537209303462,4,3126,1196.0268268822524
5.73223754849479,0.0047927354641439535,0.9999939889618845,110296425,1.0,0.6375101099517894,0.07426612504132078,57.036384031734364,0.014340699515878198,11.013657228194456,110297088,88,1e-05,adamw,1.0,verified-v3-adamw-1e-5,0.3889472320028687,0.9999199888214637,110288263,1.0,0.07518085599802235,0.5056163555479305,0.07818018707468335,60.04238367335682,0.025219196523415213,19.368342929982884,0.0003251995711500596,0.01797848187616085,5,3907,1196.026275887656
7.615388754877682,0.00636705766646761,0.999995457722329,110296587,1.0,0.5327012193075475,0.0771927154770722,59.28400548639144,0.0218998328707913,16.81907164476772,110297088,88,3e-05,adamw,0.2,verified-v3-adamw-3e-5,7.615388754877682,0.999995457722329,110296587,1.0,0.1020784922800759,0.5327012193075475,0.0771927154770722,59.28400548639144,0.0218998328707913,16.81907164476772,0.00636705766646761,0.021575027185288025,1,782,1196.0609050212413
10.518946335240653,0.008796199532367118,0.9999967179550561,110296726,1.0,0.5108227736969045,0.07806333309826366,59.95263981946649,0.025774319784021844,19.79467759412878,110297088,88,3e-05,adamw,0.4,verified-v3-adamw-3e-5,6.615056460759479,0.9999948412055992,110296519,1.0,0.06752636429061865,0.46257645090952276,0.07965556067313315,61.17547059696626,0.03506453998333736,26.929566707203094,0.005531671584992776,0.015827729075370146,2,1563,1195.8512646893005
11.778983839106825,0.00985115131844061,0.9999973616710534,110296797,1.0,0.5035265173344688,0.07835165650289964,60.17407219422692,0.027346889267604195,21.00241095752002,110297088,88,3e-05,adamw,0.6,verified-v3-adamw-3e-5,4.7144629630056505,0.9999931457845922,110296332,1.0,0.06438917101903714,0.4594348721644458,0.07976350479106852,61.25837167954062,0.03615041444021644,27.763518290086225,0.003942860323787846,0.01551234119267945,3,2345,1195.6961636613437
12.28647245223915,0.010276386995204721,0.9999974251360109,110296804,1.0,0.502180293361771,0.07841788760906022,60.22493768375825,0.02784683783795957,21.386371459552947,110297088,88,3e-05,adamw,0.8,verified-v3-adamw-3e-5,2.89441500241,0.9999886125733437,110295832,1.0,0.06341532318489278,0.46423167364801315,0.07961194160097211,61.14197114954658,0.03414033714568976,26.219778927889738,0.0024208843347930057,0.015700231784366987,4,3126,1195.6023510960026
12.394563505230419,0.010367030700847723,0.9999976245973058,110296826,1.0,0.5025507805341067,0.07841201535626954,60.220427793615,0.027860727151208384,21.397038452128037,110297088,88,3e-05,adamw,1.0,verified-v3-adamw-3e-5,1.1112588005869566,0.999972528739834,110294058,1.0,0.06571118119745491,0.47925154474329823,0.07913643360775423,60.77678101075524,0.03041434952401541,23.358220434443837,0.0009294763867570364,0.01622768215845055,5,3907,1195.5750747624295
