run_id,optimizer,learning_rate,step,tasks,baseline_shortlist_ndcg,baseline_margin,ndcg_degrading_coordinate_fraction,ndcg_degrading_attribution_mass,ndcg_helpful_attribution_mass,ndcg_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_helpful_attribution_participation_ratio,margin_degrading_coordinate_fraction,margin_degrading_attribution_mass,margin_helpful_attribution_mass,margin_helpful_mass_share,margin_absolute_attribution_participation_ratio,margin_helpful_attribution_participation_ratio
adamw-lr3e-6,adamw,3e-06,1563,14,0.9422742777243777,0.23863547536620203,0.025855654761904764,0.13040772608869272,0.050556288970264505,0.0445268153646628,0.027760489990690196,0.019915888748078737,0.4839099702380952,0.10537768145349051,0.11631023343791068,0.5249394504470585,0.5727478763491176,0.305306910796633
adamw-lr3e-6,adamw,3e-06,2345,14,0.9454674323631382,0.24279918913277157,0.053013392857142856,0.061967335673240594,0.26666237441023904,0.15369734170811558,0.03237388882188045,0.015347717143935688,0.4827008928571429,0.10574908589231295,0.11628857267389445,0.5235863477688838,0.5721964620080432,0.30622726742718115
adamw-lr3e-6,adamw,3e-06,3126,14,0.9438197973344395,0.2441871748851035,0.07840401785714286,0.4994936270037864,0.002521310928138455,0.0023973612781729536,0.05578084338563132,0.00033194402016112047,0.48623511904761907,0.10649066550418729,0.11571385825575821,0.520521040903542,0.5701732601603744,0.30571061759143153
adamw-lr3e-6,adamw,3e-06,3907,14,0.9440016826483782,0.2444135031121666,0.024274553571428575,0.3436085031055252,0.09809613565352296,0.0643234754862701,0.03923958460917915,0.027709442895669647,0.4834449404761905,0.10568079179775561,0.116334106733409,0.5238604423807959,0.5707517976560771,0.3064332755521291
adamw-lr3e-6,adamw,3e-06,782,14,0.9386244535057192,0.229891402351921,0.023158482142857144,0.15604980900141086,0.09384119283390173,0.14738795150262465,0.026815216781885087,0.01206573693300654,0.49014136904761907,0.10635093436570218,0.11424101507168104,0.5177312997152173,0.5730444802558284,0.2986949277442674
muon-lr1e-3,muon,0.001,1563,14,0.9366200373985821,0.2526248215836116,0.002046130952380952,0.014586457508547852,0.037486122225220506,0.11750072108501122,0.00691526672931165,0.008348605990007243,0.4861421130952381,0.104920242735617,0.11366192621988727,0.5196327091063907,0.5742013137199083,0.306158857709066
muon-lr1e-3,muon,0.001,2345,14,0.9426961000983811,0.2604208559984242,0.013206845238095236,0.03648667210573093,0.11482953743176909,0.20643632822708943,0.022568384944850247,0.01454872664395825,0.48158482142857145,0.10194011437423613,0.11313321167819723,0.525610303385638,0.5735264473868754,0.3060884293511067
muon-lr1e-3,muon,0.001,3126,14,0.94143733115331,0.26203007198817774,0.031529017857142856,0.06097209644943345,0.19822748374658564,0.23610801660870737,0.021581033137691476,0.013419135540827623,0.48790922619047616,0.10640815489754023,0.11276499644153257,0.5145036817693168,0.57115912785175,0.3007765988413275
muon-lr1e-3,muon,0.001,3907,14,0.9429481553778726,0.2648616068401636,0.019624255952380952,0.12108672558383386,0.06714206848463812,0.10407231401694525,0.029609066837810533,0.01285910642479078,0.4859561011904762,0.10503759756443114,0.11257520107478948,0.5168287526079308,0.5737295740908558,0.3038180957093925
muon-lr1e-3,muon,0.001,782,14,0.9358524938668028,0.2468784902016765,0.0646391369047619,0.6447538343698477,0.09347622179949637,0.08842909230933522,0.06333983935791666,0.01156586187223638,0.4762834821428571,0.10347121732121659,0.11567586597010683,0.5276981155655134,0.5687750892826052,0.30916508004661386
muon-lr1e-4,muon,0.0001,1563,14,0.947080372006338,0.2502739652544698,0.018787202380952384,0.22379071218321034,0.09041967820370497,0.14062538704216035,0.02728405201750189,0.00907472089113227,0.4841889880952381,0.10625138824198932,0.11739269548121743,0.5246954807912819,0.5711602220279046,0.3089870391742498
muon-lr1e-4,muon,0.0001,2345,14,0.9472171828104742,0.25479473395742486,0.005301339285714286,0.048279776304940285,0.06309413911194965,0.15965126958956646,0.017798911045801943,0.01607581504800473,0.48409598214285715,0.10546608024348643,0.11755090173358186,0.5270111675270841,0.5762411973641962,0.31047667910919385
muon-lr1e-4,muon,0.0001,3126,14,0.9454674323631383,0.2563066713462124,0.021763392857142856,0.04505603857413278,0.10471323663070042,0.14821734456915125,0.027582698773175755,0.021417467055399424,0.4850260416666667,0.1058910625788173,0.1170183587890973,0.5248262129301238,0.5772562109498631,0.31004595990969586
muon-lr1e-4,muon,0.0001,3907,14,0.945330621559002,0.25692331481261604,0.01050967261904762,0.07934792727022928,0.017053808654534878,0.04897055055658883,0.008500939594252743,0.0012197171411113211,0.4884672619047619,0.1070498752816381,0.11584422905389806,0.5197689036859903,0.5755719733996242,0.3089752490973517
muon-lr1e-4,muon,0.0001,782,14,0.9461540556102194,0.24134464454891336,0.002883184523809524,0.014383024623376258,0.03471164757704576,0.11938392606967166,0.004135943115849256,0.0022088753940670684,0.4853050595238094,0.10520474050216111,0.11623265143371882,0.5245020242543984,0.5747977377790817,0.30701660245818213
muon-lr3e-3,muon,0.003,1563,14,0.9252370397914831,0.16314417894853261,0.05217633928571429,0.2672508508333282,0.09391519663583447,0.13982417695706256,0.04507067091319381,0.005301339285714287,0.4559151785714285,0.09486374904275786,0.09934574890883996,0.5119418755959657,0.2396369791189152,0.3228329689534242
muon-lr3e-3,muon,0.003,2345,14,0.9196797153667308,0.17353338315457326,0.014601934523809524,0.24846397817983273,0.02130335162394126,0.07187015926414986,0.014102092213834258,0.0025111607142857145,0.4634486607142857,0.09501314098468916,0.10076605139654508,0.514728243495451,0.2739010454302372,0.32076363176235256
muon-lr3e-3,muon,0.003,3126,14,0.9236860767528005,0.19508726114870262,0.03720238095238095,0.13090839147364022,0.6721956898542839,0.09008033131226571,0.050961447011292835,0.04023888010273075,0.4770275297619047,0.10178588717574785,0.10753520768885806,0.5135750617747081,0.3858499910097489,0.31146421972625266
muon-lr3e-3,muon,0.003,3907,14,0.9203646881340714,0.20756847555017574,0.04482886904761905,0.4510212398532513,0.1063068537147395,0.0922719963365471,0.052617509365556224,0.014506073571262709,0.47619047619047616,0.10161434170506847,0.10785197637537833,0.5150349852638557,0.3925233837227499,0.3070716888628145
muon-lr3e-3,muon,0.003,782,14,0.9265768456484643,0.1645345826374485,0.024739583333333336,0.03327296194006138,0.39703439072458774,0.20016051371448257,0.02730478258088,0.023342453009059176,0.46419270833333337,0.09265035767253897,0.09604811562444755,0.5086313599593214,0.2959828387093518,0.31435455501702386
muon-lr3e-4,muon,0.0003,1563,14,0.9425933573055849,0.25824924994646076,0.05515252976190477,0.12491383074332514,0.23642466586698405,0.17597835514150056,0.07277905032819924,0.03753712055013491,0.48763020833333337,0.10748663366666569,0.11521384978481213,0.5173029514742067,0.5736830894493414,0.3059670764903345
muon-lr3e-4,muon,0.0003,2345,14,0.9433374049246324,0.26388967018579795,0.040643601190476185,0.2511460691557786,0.32746587962354384,0.16999262240481663,0.041587016770996896,0.02099546102596254,0.4858630952380952,0.10679080397000705,0.11592306263120178,0.520723427764548,0.5769611262416025,0.30750543859743995
muon-lr3e-4,muon,0.0003,3126,14,0.9422742777243778,0.26640738846407563,0.060732886904761904,0.3289895325383334,0.029010410531659255,0.02847181280176895,0.04257342726336881,0.005035323769756984,0.4892113095238096,0.10619858990089541,0.1152972823097368,0.5202648752197129,0.5771790173827206,0.30609620145453376
muon-lr3e-4,muon,0.0003,3907,14,0.9421721623057407,0.2671304158519929,0.032924107142857144,0.38893156797683304,0.05051497538982652,0.19871194127105427,0.03876380453961988,0.015947401146734656,0.4837239583333333,0.10555973533546137,0.11714638458103124,0.5253287940008634,0.5776757529938819,0.3087193904460874
muon-lr3e-4,muon,0.0003,782,14,0.9434171748199344,0.25351248302823753,0.016741071428571428,0.16642172688671208,0.017082976804735524,0.10043004334701626,0.0210063306323456,0.009866862725109064,0.4840029761904763,0.10671304765373077,0.116825197917489,0.5229169834928341,0.575492018740853,0.30793305850285024
normuon-lr1e-3,normuon,0.001,1563,14,0.9384629307089651,0.253435914199569,0.009579613095238094,0.053709867558106375,0.1438699995431638,0.19400237343264365,0.015445819249480852,0.013822558407835459,0.484281994047619,0.10580227754928122,0.11425656728427278,0.5192468515887713,0.5754508026184617,0.3053520179654031
normuon-lr1e-3,normuon,0.001,2345,14,0.9428552564258527,0.26124606392725064,0.03236607142857143,0.17733974928635082,0.08318066694406702,0.1365660092856054,0.043473323998442,0.023375810290178385,0.4760974702380953,0.10137784091921723,0.11496631211828244,0.5309960339057677,0.5748983583191096,0.30756985311681334
normuon-lr1e-3,normuon,0.001,3126,14,0.9402242640922008,0.26274406911445475,0.008556547619047618,0.04317085080291373,0.5310371326626583,0.15793738318521716,0.04345094311132882,0.03533910657267506,0.48316592261904756,0.10539991827466869,0.11502814867340837,0.5217044239387725,0.5758443644104893,0.3068938721932993
normuon-lr1e-3,normuon,0.001,3907,14,0.9413438048271308,0.2660742238428309,0.004836309523809525,0.032558596301433596,0.0335746494673058,0.18781850438077516,0.011205070128505981,0.009253175376015896,0.48316592261904756,0.10577314941322098,0.11277853823845198,0.5159532319464976,0.572370064529316,0.3043414765255862
normuon-lr1e-3,normuon,0.001,782,14,0.9412434794403393,0.24786019958937192,0.023344494047619048,0.07894356752063839,0.1937201268265964,0.15558101819641743,0.029283618567584057,0.015654766765088948,0.48800223214285715,0.10611170257006011,0.11241401989738223,0.5143542234485825,0.5701245801044753,0.30316069571273235
normuon-lr1e-4,normuon,0.0001,1563,14,0.9467708923548798,0.24907920990061266,0.0193452380952381,0.11360515509631385,0.5225029274220685,0.14115010864831706,0.04987008513879795,0.03357974462559611,0.48018973214285715,0.10588745948197187,0.11764099070892763,0.525811924291195,0.5702288737138442,0.3093753280704603
normuon-lr1e-4,normuon,0.0001,2345,14,0.9458445759587611,0.253727063674056,0.011160714285714286,0.0688778224681693,0.1624451375819084,0.06833085802098346,0.02987051959167306,0.022433104111199035,0.4865141369047619,0.10720295190875699,0.11598933379220444,0.5195321208459528,0.574789513929506,0.307748712576388
normuon-lr1e-4,normuon,0.0001,3126,14,0.9458445759587614,0.25546669084425744,0.021856398809523808,0.07485380210923773,0.15882914463204084,0.1616188175469183,0.058256579710727285,0.053094958320282735,0.4861421130952381,0.10668391336232055,0.11648320704710231,0.521736569116331,0.572130353304762,0.3087156395033115
normuon-lr1e-4,normuon,0.0001,3907,14,0.9454327369776391,0.25603438739895423,0.043340773809523815,0.18665706082333935,0.08942156723148484,0.034412846242971654,0.05448770775210362,0.015507948889953787,0.48958333333333337,0.10812634263706689,0.11506903503586277,0.5151207244943606,0.5737068682006438,0.30564549498504656
normuon-lr1e-4,normuon,0.0001,782,14,0.9455695477817753,0.23977502259489913,0.0031622023809523806,0.008940683340435438,0.025537895815447707,0.11677412212973208,0.0044976511353108355,0.0019137874367376702,0.4889322916666667,0.10632040234837185,0.11405360608490327,0.5172227145117325,0.5743314851449682,0.30259332567487685
normuon-lr3e-3,normuon,0.003,1563,14,0.9229171775890297,0.18047238892457482,0.021856398809523808,0.18440310163298942,0.08054797501810072,0.28199284414420794,0.04705942187997677,0.026460733586589163,0.4646577380952381,0.09636955736812818,0.10052761378769004,0.5111575708248939,0.29589483625490776,0.3173690075025216
normuon-lr3e-3,normuon,0.003,2345,14,0.91920109599492,0.1877994815727983,0.011067708333333332,0.04871256148533395,0.4538776554776689,0.26992084719524406,0.04951668243078174,0.0445070757044053,0.46707589285714285,0.09617156227812108,0.10329699833255998,0.5180041064604436,0.3287377984861806,0.3101777333927897
normuon-lr3e-3,normuon,0.003,3126,14,0.9303866618253572,0.21219728382992162,0.02855282738095238,0.313081288100587,0.23846883653791856,0.32281857550812304,0.03572029066718822,0.020251687918944994,0.47377232142857145,0.10242290978940884,0.10951450479352123,0.5155909586106423,0.45311593143976253,0.307575241094814
normuon-lr3e-3,normuon,0.003,3907,14,0.9304754042762488,0.22097838292929395,0.021670386904761908,0.08599074124513185,0.32749932217947597,0.18802556190405603,0.057229628318672406,0.048538358164836086,0.4810267857142857,0.10291339648343399,0.10949494103883238,0.5143444758335723,0.4608977602846639,0.308613128920472
normuon-lr3e-3,normuon,0.003,782,14,0.9208212181618638,0.18147295672283695,0.02418154761904762,0.13110011616262632,0.1392518056240031,0.10580185958998,0.04502098849731096,0.029225216675028063,0.4770275297619048,0.09508945300503927,0.09816309114506051,0.5082479047833902,0.41736737814157737,0.3061102530037619
normuon-lr3e-4,normuon,0.0003,1563,14,0.9426507816775516,0.25740879668915506,0.025483630952380952,0.07044447242918257,0.10904106983700446,0.22330866998890242,0.049889024868281236,0.04108133521018753,0.48763020833333337,0.10654672142795778,0.11472070279101934,0.5187592613512677,0.572815342072843,0.3067389741280306
normuon-lr3e-4,normuon,0.0003,2345,14,0.9415876544772966,0.26368750884919034,0.06519717261904763,0.9378942224726495,0.1613271474274231,0.09700758139836582,0.06857607585139795,0.015086146388294638,0.4870721726190476,0.10689462147686676,0.1154086314380515,0.5191647887794417,0.5754571447858193,0.3044258896566313
normuon-lr3e-4,normuon,0.0003,3126,14,0.9432352895059954,0.26555528896110364,0.02845982142857143,0.12370837572444938,0.29943787192399685,0.12162926550242169,0.02731065213676766,0.017246660112916503,0.4833519345238096,0.10530506287445206,0.117459281253539,0.5276162876825308,0.5783613135801311,0.3105641448168314
normuon-lr3e-4,normuon,0.0003,3907,14,0.9447808091160574,0.26629849649418397,0.022228422619047616,0.027202595980991357,0.2146029861432593,0.2670147246328454,0.024685201727930293,0.012369791666666668,0.48456101190476186,0.10668837362776586,0.11637819966255115,0.5216709856622267,0.5764976134838863,0.3078626791844989
normuon-lr3e-4,normuon,0.0003,782,14,0.9464294672503375,0.252689415881236,0.013392857142857142,0.08204922810541282,0.18169207910374757,0.20455994533360372,0.030576604402795637,0.025158889006980118,0.47712053571428564,0.10492385405589534,0.11876141619656368,0.5313788769314022,0.5773897582525792,0.3131694672005511
