model_family,optimizer,learning_rate,run_id,stage,fraction,step,previous_stage,previous_fraction,previous_step,delta_mean_training_loss,delta_weight_frobenius_norm,delta_reference_displacement_frobenius_norm,delta_previous_checkpoint_displacement_frobenius_norm,delta_reference_displacement_to_weight_ratio,delta_weight_row_cv_parameter_weighted,delta_reference_delta_row_cv_parameter_weighted,delta_weight_top_1pct_row_energy_parameter_weighted,delta_reference_delta_top_1pct_row_energy_parameter_weighted,delta_training_margin_mean,delta_training_margin_median,delta_training_top1_accuracy,delta_training_mean_reciprocal_rank,delta_training_reference_mean_top_k_overlap,delta_training_reference_top1_agreement,delta_training_reference_score_drift_rms,delta_training_query_normalized_effective_rank,delta_training_document_normalized_effective_rank,delta_training_token_evidence_entropy_mean,delta_training_token_evidence_gini_mean,delta_training_document_token_coverage_mean,delta_training_repeated_token_dominance_mean,delta_unseen_margin_mean,delta_unseen_margin_median,delta_unseen_top1_accuracy,delta_unseen_mean_reciprocal_rank,delta_unseen_reference_mean_top_k_overlap,delta_unseen_reference_top1_agreement,delta_unseen_reference_score_drift_rms,delta_unseen_query_normalized_effective_rank,delta_unseen_document_normalized_effective_rank,delta_unseen_token_evidence_entropy_mean,delta_unseen_token_evidence_gini_mean,delta_unseen_document_token_coverage_mean,delta_unseen_repeated_token_dominance_mean,delta_mean_beir_ndcg_at_10
dense,normuon,0.001,normuon-lr1e-3,3,0.6,2345,2,0.4,1563,-0.03290383338928221,-4.7606904805297745,7.423388651548599,-10.960694591543156,0.006493063539718846,-6.318344351124994e-05,0.0023830017961442088,-7.37600506627023e-06,0.00034357666381619814,0.00851084291934967,0.007539838552474976,0.0107421875,0.007877647876739502,0.0016276041666666297,0.005859375,0.003983005881309509,0.0031778017679850445,0.008178313573201534,,,,,0.007810145616531372,0.003595888614654541,0.008928537368774414,0.00576096773147583,-0.01636904761904756,0.0,-0.0036379992961883545,0.0061213061413958325,0.001962204774220766,,,,,-0.006623571428571395
dense,normuon,0.001,normuon-lr1e-3,4,0.8,3126,3,0.6,2345,-0.038395764827728274,-2.9008242051436355,2.9005966142214277,-10.943182748179144,0.0026020263422391887,-1.2206351932358972e-05,0.002022448538697978,-1.6785221781945303e-07,0.000267697926511103,0.00933266431093216,0.003980532288551331,0.015625,0.008138000965118408,-0.0006510416666666297,0.0029296875,-0.0007544681429862976,0.006812334060668945,0.014760335286458315,,,,,0.0014980137348175049,0.0031901001930236816,-0.008928537368774414,-0.003640413284301758,0.0029761904761904656,-0.00892859697341919,9.579956531524658e-05,0.004215941835411963,0.003020425637563079,,,,,0.0029842857142857726
dense,normuon,0.001,normuon-lr1e-3,5,1.0,3907,4,0.8,3126,0.001025688648223888,-0.9835340489937607,0.5604911760013636,-10.72710718862087,0.0005250910438759845,5.881775190508254e-06,0.0008689079702617689,6.407997346809247e-07,0.00011251355835141877,0.000491604208946228,-0.0009139329195022583,0.0068359375,0.003743469715118408,0.01171875,0.0,-0.0015007779002189636,0.00244096914927161,0.0015120903650919781,,,,,0.003330141305923462,0.0021361708641052246,0.004464268684387207,0.0016367435455322266,0.0,0.00892859697341919,0.00018890947103500366,0.00016353590071471746,-0.0006286700566609793,,,,,0.002682142857142855
dense,normuon,0.0001,normuon-lr1e-4,2,0.4,1563,1,0.2,782,-0.0904542374610901,-0.7280667735294628,2.2621781832822556,,0.0018957795115254082,5.33342042710605e-06,0.0029502703663818325,1.2477829972705468e-06,0.0005870368580687471,0.008801020681858063,0.004423916339874268,0.033203125,0.019838154315948486,-0.0205078125,-0.0068359375,0.00960955023765564,-0.0017702976862589148,-0.007687807083129883,,,,,0.00930418074131012,0.015879511833190918,0.004464328289031982,0.0017113089561462402,-0.017857142857142794,-0.02232140302658081,0.008118856698274612,3.263875507986125e-05,-0.000848193963368743,,,,,0.008750714285714278
dense,normuon,0.0001,normuon-lr1e-4,3,0.6,2345,2,0.4,1563,-0.033769531249999984,-0.5198911033041895,1.0833653982531137,-1.3375685780698188,0.0009096950649751662,4.254968807015924e-06,0.0013464239430937552,5.615277484764813e-07,0.0001555439458293395,0.004194155335426331,0.003513738512992859,0.0078125,0.005126953125,-0.00618489583333337,0.0009765625,0.0041981041431427,-0.0010168155034383508,-0.002029021581013979,,,,,0.004647880792617798,0.004645287990570068,-0.004464328289031982,-0.0013393759727478027,0.004464285714285698,0.0,0.003278568387031555,0.001057988325042003,-0.00016375382741290467,,,,,0.0011685714285714077
dense,normuon,0.0001,normuon-lr1e-4,4,0.8,3126,3,0.6,2345,-0.02630631923675536,-0.3103974975888377,0.48946653889942127,-1.2063690567230143,0.0004117205364056655,2.8847393026831814e-06,0.0018808895293722788,4.1265060557460487e-07,0.0002439213458468592,0.0019022077322006226,0.001420438289642334,0.0107421875,0.005403637886047363,-0.0009765625,0.0,0.000890776515007019,0.0013044277826945172,0.0019528468449910297,,,,,0.001739591360092163,0.0013665854930877686,0.0,0.0,-0.0014880952380953438,-0.004464268684387207,0.0005665943026542664,0.0012345934128012992,0.0007636149724324359,,,,,0.0005892857142857366
dense,normuon,0.0001,normuon-lr1e-4,5,1.0,3907,4,0.8,3126,0.008975517749786333,-0.11069757766563271,0.13039362164843027,-1.136688901928381,0.00010989101265597868,1.2972078380912855e-06,0.000985431300605688,1.9688258834013594e-07,0.00012500035292643125,0.00021141767501831055,-0.0003847777843475342,-0.001953125,-0.0005533695220947266,-0.0026041666666666297,0.0,0.00012720376253128052,1.430511474609375e-06,-0.000728686650594057,,,,,0.000567704439163208,0.0021116435527801514,0.0,-0.0005208253860473633,0.0,0.0,0.00040800124406814575,-9.298966069926085e-05,-0.00045321385065713593,,,,,0.00022500000000003073
dense,normuon,0.003,normuon-lr3e-3,2,0.4,1563,1,0.2,782,-0.038460116386413556,-15.975503311996363,47.728707931441136,,0.04232506106298853,-0.0015898536352868808,0.0031976994117074477,-0.00013685690607616666,0.00038463404192962646,0.006407611072063446,0.005930587649345398,0.0390625,0.024427950382232666,0.0026041666666666297,0.0166015625,0.011308223009109497,0.009732246398925781,-0.009917279084523556,,,,,-0.0010005682706832886,-0.0021071135997772217,0.004464328289031982,0.0027475357055664062,0.005952380952381042,-0.03571426868438721,0.01593354344367981,0.0007836722472323032,-0.006311039129892976,,,,,-0.005685000000000051
dense,normuon,0.003,normuon-lr3e-3,3,0.6,2345,2,0.4,1563,-0.06654466629028322,-12.076375075888564,20.17334497347713,-31.969240607242497,0.0189755170968125,-0.0007652467425494358,0.0032340843967575417,-7.53758654476501e-05,0.00043653488846466006,0.010093554854393005,0.008261337876319885,0.029296875,0.01602262258529663,0.00390625,0.0068359375,-0.019149772822856903,0.006748159726460756,-0.002070188522338867,,,,,0.007327079772949219,0.0010608881711959839,-0.01785719394683838,-0.005649447441101074,0.004464285714285698,0.013392806053161621,-0.04034155607223511,0.017374218312079637,0.004360536734263093,,,,,0.002607142857142808
dense,normuon,0.003,normuon-lr3e-3,4,0.8,3126,3,0.6,2345,-0.08403711795806884,-7.711504843791317,7.409207883432089,-31.905020001446843,0.00754715942233572,-0.0002329056176113009,0.0023886789891490318,-2.2412636342214465e-05,0.0003061978529919594,0.022342711687088013,0.020063772797584534,0.0244140625,0.01581096649169922,0.005533854166666741,0.009765625,-0.016461290419101715,-0.0025034745534260883,0.028549214204152462,,,,,0.024397820234298706,0.02706889808177948,0.022321462631225586,0.015040397644042969,0.0014880952380953438,0.03125,-0.04092542082071304,0.0012010651319015464,0.010418017705281585,,,,,0.012039285714285808
