model_family,scope,optimizer,analysis,bridge,predictor,outcome,observations,spearman_rho
dense,optimizer,normuon,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,16,0.24411764705882352
dense,optimizer,normuon,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,16,0.4323529411764706
dense,optimizer,normuon,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,16,0.3
dense,optimizer,normuon,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,16,0.3352941176470588
dense,optimizer,normuon,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,16,-0.4852941176470588
dense,optimizer,normuon,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,16,0.3911764705882353
dense,optimizer,normuon,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,-0.43823529411764706
dense,optimizer,normuon,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,16,0.5558823529411765
dense,optimizer,normuon,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,-0.17352941176470588
dense,optimizer,normuon,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,16,-0.058823529411764705
late,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,60,0.07135315365379272
late,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,60,-0.8629619338705196
late,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,60,-0.2135037510419561
late,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,60,0.6085023617671576
late,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,60,-0.124256737982773
late,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,60,0.7344818005001389
late,all_optimizers,all,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,60,-0.8526257293692693
late,all_optimizers,all,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,60,0.656849124756877
late,all_optimizers,all,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,60,0.16721311475409836
late,all_optimizers,all,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,60,0.8868018894137261
late,all_optimizers,all,checkpoint_levels,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,60,-0.021116976938038344
late,all_optimizers,all,checkpoint_levels,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,60,-0.39166435120866905
late,all_optimizers,all,checkpoint_levels,token-utilization-to-retrieval,unseen_token_evidence_entropy_mean,mean_beir_ndcg_at_10,60,-0.48424562378438457
late,all_optimizers,all,checkpoint_levels,token-utilization-to-retrieval,unseen_document_token_coverage_mean,mean_beir_ndcg_at_10,60,0.23078632953598222
late,all_optimizers,all,checkpoint_levels,token-utilization-to-retrieval,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10,60,-0.22761878299527646
late,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,48,0.7435953104646114
late,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,48,-0.11951801997394702
late,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,48,-0.439209726443769
late,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,48,0.048306556665219276
late,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,48,-0.2785497177594442
late,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,48,0.14937038645245332
late,all_optimizers,all,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,48,-0.4957663916630482
late,all_optimizers,all,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,48,0.27702996092053844
late,all_optimizers,all,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,48,-0.25987841945288753
late,all_optimizers,all,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,48,0.18823273990447242
late,all_optimizers,all,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,48,-0.21927920104211898
late,all_optimizers,all,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,48,-0.07674772036474165
late,all_optimizers,all,within_run_first_differences,token-utilization-to-retrieval,unseen_token_evidence_entropy_mean,mean_beir_ndcg_at_10,48,-0.16456795484151107
late,all_optimizers,all,within_run_first_differences,token-utilization-to-retrieval,unseen_document_token_coverage_mean,mean_beir_ndcg_at_10,48,0.30481980026052974
late,all_optimizers,all,within_run_first_differences,token-utilization-to-retrieval,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10,48,-0.29222752930959617
late,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,20,0.6526315789473685
late,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,20,-0.9443609022556391
late,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,20,-0.7804511278195488
late,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,20,0.9338345864661655
late,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,20,-0.7699248120300752
late,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,20,0.9413533834586466
late,optimizer,adamw,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,20,-0.9744360902255639
late,optimizer,adamw,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,20,0.9172932330827067
late,optimizer,adamw,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,-0.9142857142857143
late,optimizer,adamw,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,20,0.643609022556391
late,optimizer,adamw,checkpoint_levels,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,-0.9323308270676691
late,optimizer,adamw,checkpoint_levels,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,20,-0.26766917293233083
