model_family,optimizer,learning_rate,run_id,stage,fraction,step,mean_training_loss,weight_frobenius_norm,reference_displacement_frobenius_norm,previous_checkpoint_displacement_frobenius_norm,reference_displacement_to_weight_ratio,weight_row_cv_parameter_weighted,reference_delta_row_cv_parameter_weighted,weight_top_1pct_row_energy_parameter_weighted,reference_delta_top_1pct_row_energy_parameter_weighted,training_margin_mean,training_margin_median,training_top1_accuracy,training_mean_reciprocal_rank,training_reference_mean_top_k_overlap,training_reference_top1_agreement,training_reference_score_drift_rms,training_query_normalized_effective_rank,training_document_normalized_effective_rank,training_token_evidence_entropy_mean,training_token_evidence_gini_mean,training_document_token_coverage_mean,training_repeated_token_dominance_mean,unseen_margin_mean,unseen_margin_median,unseen_top1_accuracy,unseen_mean_reciprocal_rank,unseen_reference_mean_top_k_overlap,unseen_reference_top1_agreement,unseen_reference_score_drift_rms,unseen_query_normalized_effective_rank,unseen_document_normalized_effective_rank,unseen_token_evidence_entropy_mean,unseen_token_evidence_gini_mean,unseen_document_token_coverage_mean,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10
dense,muon,0.001,muon-lr1e-3,5,1.0,3907,0.2464103889465332,1174.7774064728083,67.66152058869916,6.586815016032457,0.057595183747913926,0.1785218375411263,0.15594676727638207,0.02813858487070563,0.020161881609595714,0.1316094696521759,0.11441729962825775,0.99609375,0.998046875,0.66015625,0.7119140625,0.09987850487232208,0.42221633593241376,0.4515405098597209,,,,,0.2648616135120392,0.2833373546600342,0.8928571343421936,0.9251222014427185,0.8035714285714286,0.90625,0.08000412583351135,0.6746444360023122,0.20314780871073404,,,,,0.58915
dense,muon,0.0001,muon-lr1e-4,1,0.2,782,0.4342639875411987,1195.5527041783794,4.848655001789519,,0.0040555761237825675,0.17899921771517413,0.20103530968753572,0.028173201717436314,0.028682474828858107,0.09336908161640167,0.08315765857696533,0.9267578125,0.9551768898963928,0.7356770833333333,0.7197265625,0.07243560999631882,0.42783502737681073,0.4945010741551717,,,,,0.24134467542171478,0.2428818792104721,0.8973214030265808,0.9292410612106323,0.8616071428571429,0.9375,0.04037546366453171,0.6770575827012683,0.21831480662027994,,,,,0.5810421428571428
dense,muon,0.0001,muon-lr1e-4,2,0.4,1563,0.34961589574813845,1194.8275509150228,7.097799397819449,4.355509259022068,0.005940438343913155,0.17900509497818143,0.20033739448430385,0.028174172349792113,0.028658611665076432,0.10146130621433258,0.08651387691497803,0.9560546875,0.9735188484191895,0.7135416666666666,0.7216796875,0.08070815354585648,0.42627517382303876,0.48667414983113605,,,,,0.25027400255203247,0.259459525346756,0.9017857313156128,0.9305802583694458,0.8467261904761905,0.9196428656578064,0.0483735129237175,0.6770959691616452,0.21716606616973877,,,,,0.587565
dense,muon,0.0001,muon-lr1e-4,3,0.6,2345,0.31715381383895874,1194.3095939837317,8.172163455707885,3.022177666551792,0.006842583779678824,0.17900954562433583,0.19835613366654692,0.02817468201233582,0.02856550550705848,0.10586544871330261,0.09155821800231934,0.96484375,0.9791828989982605,0.7086588541666666,0.7216796875,0.08474268764257431,0.42507417996724445,0.48547446727752686,,,,,0.25479477643966675,0.26374390721321106,0.9017857313156128,0.9307290315628052,0.8526785714285714,0.9151785969734192,0.05115729197859764,0.6781761956321819,0.21737565596898398,,,,,0.589435
dense,muon,0.0001,muon-lr1e-4,4,0.8,3126,0.2903654217720032,1194.0001061227929,8.657412821540634,1.8151589240782822,0.007250763862704625,0.17901227268624434,0.19748378778623546,0.028174935202587417,0.028684656461949815,0.10790811479091644,0.09198884665966034,0.97265625,0.9833006858825684,0.7096354166666666,0.7197265625,0.08541826158761978,0.42705806096394855,0.4885717233022054,,,,,0.2563067078590393,0.264635294675827,0.8973214030265808,0.928390622138977,0.8526785714285714,0.9151785969734192,0.05158055201172829,0.6797492878319437,0.21821739276250204,,,,,0.5914042857142857
dense,muon,0.0001,muon-lr1e-4,5,1.0,3907,0.29984444856643677,1193.8895105100166,8.78594540658392,0.6763835416356851,0.0073590942287705165,0.17901352546949756,0.19723740567697243,0.028175095654027985,0.028766291577090077,0.10800685733556747,0.09223325550556183,0.9716796875,0.9829426407814026,0.7060546875,0.720703125,0.08563091605901718,0.4268656571706136,0.48713433742523193,,,,,0.2569233477115631,0.2678455114364624,0.8973214030265808,0.9282418489456177,0.8511904761904762,0.9151785969734192,0.052239324897527695,0.6793500960140485,0.2175387740135193,,,,,0.5910671428571429
dense,muon,0.003,muon-lr3e-3,1,0.2,782,0.6087094736099243,1180.873237643687,116.55506141218706,,0.0987024328240014,0.17688399079171094,0.17150524547971027,0.02802650873016387,0.020793184331732797,0.07855691760778427,0.07183286547660828,0.865234375,0.9158714413642883,0.59765625,0.66015625,0.15269659459590912,0.3669736385345459,0.3285331130027771,,,,,0.16453459858894348,0.17948293685913086,0.8660714030265808,0.9037733674049377,0.7142857142857143,0.8794642686843872,0.2270016223192215,0.625620478471833,0.16511129339536032,,,,,0.5284864285714286
dense,muon,0.003,muon-lr3e-3,2,0.4,1563,0.5675131607055663,1164.947840288064,164.1034339790859,114.58330495238646,0.14086762368562958,0.17497118212840454,0.16156084401742182,0.027877119016201102,0.020021365589417396,0.08601443469524384,0.08210544288158417,0.89453125,0.936819851398468,0.6002604166666666,0.6669921875,0.15562653541564941,0.3726209799448649,0.31759695212046307,,,,,0.16314418613910675,0.16137957572937012,0.8616071343421936,0.901796281337738,0.7261904761904762,0.8526785969734192,0.22565601766109467,0.6213420645538467,0.15965049465497336,,,,,0.5309371428571429
dense,muon,0.003,muon-lr3e-3,3,0.6,2345,0.4914026069641113,1152.9110500343472,184.30066501019758,82.79574495676924,0.15985679468048028,0.17405315882023326,0.1548380220338782,0.027802242180282738,0.01966269139977381,0.09868451207876205,0.09435608983039856,0.9189453125,0.9527751207351685,0.5970052083333333,0.671875,0.13159282505512238,0.37169551849365234,0.30869348843892414,,,,,0.17353340983390808,0.17718137800693512,0.84375,0.8940582275390625,0.7306547619047619,0.875,0.18014377355575562,0.6226823746890765,0.15884732206662497,,,,,0.542975
dense,muon,0.003,muon-lr3e-3,4,0.8,3126,0.40405524969100953,1145.2289233078393,191.63853448109015,50.75344239291717,0.16733644302972028,0.17377045573318067,0.15039134262637657,0.027775929030529,0.019458634963129613,0.1194688230752945,0.11041861772537231,0.953125,0.9723725914955139,0.6070963541666666,0.69140625,0.1117946207523346,0.3806111017862956,0.33797430992126465,,,,,0.1950872838497162,0.1964256465435028,0.8482142686843872,0.8992293477058411,0.7455357142857143,0.875,0.13147693872451782,0.6335042089624789,0.17120862007141113,,,,,0.5521057142857143
dense,muon,0.003,muon-lr3e-3,5,1.0,3907,0.3670259761810303,1142.5044834958965,192.8405742155307,19.44261584729566,0.1687875863956934,0.17376003034890972,0.14858307234723778,0.027773640432300413,0.019378783898477886,0.12838447093963623,0.1184907853603363,0.9853515625,0.9914876222610474,0.6116536458333333,0.7041015625,0.10787570476531982,0.3882286548614502,0.3506161371866862,,,,,0.20756851136684418,0.22344613075256348,0.84375,0.8948448300361633,0.744047619047619,0.8794642686843872,0.12103559076786041,0.6395130927252662,0.1742826302846273,,,,,0.560775
dense,muon,0.0003,muon-lr3e-4,1,0.2,782,0.3388431763648987,1194.2355500520448,12.943380305190995,,0.010838213872151874,0.17899423925315633,0.1823371351163655,0.0281732257226492,0.02350316070677603,0.10587124526500702,0.09334339201450348,0.9453125,0.9676187634468079,0.7001953125,0.712890625,0.08549971133470535,0.42714178562164307,0.4820547103881836,,,,,0.25351250171661377,0.2617075443267822,0.8928571343421936,0.9256004691123962,0.8333333333333333,0.9151785969734192,0.053200844675302505,0.680846073167741,0.21672497193018594,,,,,0.588225
dense,muon,0.0003,muon-lr3e-4,2,0.4,1563,0.28729246139526365,1192.1179979412057,18.525389401635348,12.187581808449348,0.015539895743230786,0.17899447556007356,0.17693066282725747,0.02817444176597391,0.022803272820391598,0.10986372828483582,0.09402765333652496,0.9716796875,0.983105480670929,0.6871744791666666,0.7109375,0.09229147434234619,0.4227338631947835,0.4712338447570801,,,,,0.25824928283691406,0.27281007170677185,0.8928571343421936,0.9246705174446106,0.84375,0.90625,0.060617513954639435,0.6769920314908562,0.2132148543993632,,,,,0.5920771428571429
dense,muon,0.0003,muon-lr3e-4,3,0.6,2345,0.26514577865600586,1190.606024268119,21.06721477303953,8.695361600539346,0.017694530637025647,0.17899821312191652,0.17249186129314217,0.028174540526009498,0.02250312953529989,0.11572122573852539,0.09954988956451416,0.984375,0.991162121295929,0.6881510416666666,0.716796875,0.09557186812162399,0.42550063133239746,0.47725828488667804,,,,,0.26388972997665405,0.2732403874397278,0.8928571343421936,0.9255207777023315,0.8467261904761905,0.8973214030265808,0.06153049319982529,0.6809178510588916,0.2146781881650289,,,,,0.5912285714285714
dense,muon,0.0003,muon-lr3e-4,4,0.8,3126,0.23670892477035524,1189.6964832673516,22.135353429015666,5.288649380574583,0.0186058828788194,0.17900228032214757,0.16972097186720309,0.028174991166607582,0.022384634084581214,0.11973293870687485,0.10234025120735168,0.98828125,0.9935709834098816,0.6826171875,0.712890625,0.09607226401567459,0.42919894059499103,0.4836041529973348,,,,,0.26640740036964417,0.2774859666824341,0.8883928656578064,0.9240327477455139,0.8333333333333333,0.8973214030265808,0.06161218509078026,0.6834365092050869,0.2160164713859558,,,,,0.5913478571428571
