model_family,optimizer,learning_rate,run_id,stage,fraction,checkpoint_step,observed_step,window_start_step,window_observations,mean_loss,loss_standard_deviation,median_grad_norm,end_learning_rate,end_epoch
dense,adamw,1e-06,adamw-lr1e-6,2,0.4,1563,1560,1470,10,0.6482533693313599,0.020292596261462563,1.256177306175232,6.678043230944254e-07,0.39936
dense,adamw,1e-06,adamw-lr1e-6,3,0.6,2345,2340,2250,10,0.5724812030792237,0.02815573505941325,1.1191264390945435,4.459613196814562e-07,0.59904
dense,adamw,1e-06,adamw-lr1e-6,4,0.8,3126,3120,3030,10,0.5357206583023071,0.018678319058278426,1.0611892342567444,2.241183162684869e-07,0.79872
dense,adamw,1e-06,adamw-lr1e-6,5,1.0,3907,3900,3810,10,0.5428408765792847,0.02766103392631574,1.051082730293274,2.2753128555176336e-09,0.9984
dense,adamw,3e-06,adamw-lr3e-6,1,0.2,782,780,690,10,0.5766511201858521,0.01585500530334054,1.114601492881775,2.6689419795221843e-06,0.19968
dense,adamw,3e-06,adamw-lr3e-6,2,0.4,1563,1560,1470,10,0.46317563533782957,0.012960544134966558,0.9601569771766663,2.0034129692832767e-06,0.39936
dense,adamw,3e-06,adamw-lr3e-6,3,0.6,2345,2340,2250,10,0.41634552001953123,0.022470600492033796,0.8426092267036438,1.3378839590443685e-06,0.59904
dense,adamw,3e-06,adamw-lr3e-6,4,0.8,3126,3120,3030,10,0.3901086187362671,0.021483491281590016,0.7995907068252563,6.723549488054607e-07,0.79872
dense,adamw,3e-06,adamw-lr3e-6,5,1.0,3907,3900,3810,10,0.3975953412055969,0.022049746527574226,0.8463875651359558,6.825938566552901e-09,0.9984
dense,adamw,1e-05,adamw-lr1e-5,1,0.2,782,780,690,10,0.4163963222503662,0.011526255579912258,0.842109352350235,8.896473265073948e-06,0.19968
dense,adamw,1e-05,adamw-lr1e-5,2,0.4,1563,1560,1470,10,0.35126471042633056,0.010832517367307913,0.8150576949119568,6.678043230944255e-06,0.39936
dense,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,2340,2250,10,0.3215904092788696,0.01818770357382631,0.7462594509124756,4.459613196814562e-06,0.59904
dense,adamw,1e-05,adamw-lr1e-5,4,0.8,3126,3120,3030,10,0.29618985176086426,0.021434452648476442,0.7173074781894684,2.2411831626848693e-06,0.79872
dense,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,3900,3810,10,0.3068313813209534,0.019665748805475773,0.722529262304306,2.2753128555176337e-08,0.9984
dense,adamw,3e-05,adamw-lr3e-5,1,0.2,782,780,690,10,0.34475807428359984,0.01225066919519015,0.7368581295013428,2.6689419795221844e-05,0.19968
dense,adamw,3e-05,adamw-lr3e-5,2,0.4,1563,1560,1470,10,0.29748628616333006,0.01173789099233191,0.6988524794578552,2.0034129692832765e-05,0.39936
dense,adamw,3e-05,adamw-lr3e-5,3,0.6,2345,2340,2250,10,0.2756471872329712,0.016348712482963518,0.6783149838447571,1.3378839590443686e-05,0.59904
dense,adamw,3e-05,adamw-lr3e-5,4,0.8,3126,3120,3030,10,0.24671382427215577,0.0181038936828546,0.6605776250362396,6.723549488054607e-06,0.79872
dense,adamw,3e-05,adamw-lr3e-5,5,1.0,3907,3900,3810,10,0.2572331738471985,0.019295301910326666,0.6477819681167603,6.8259385665529e-08,0.9984
dense,normuon,0.0001,normuon-lr1e-4,1,0.2,782,780,690,10,0.4468291473388672,0.010658638101684268,0.8946717083454132,8.896473265073949e-05,0.19968
dense,normuon,0.0001,normuon-lr1e-4,2,0.4,1563,1560,1470,10,0.3563749098777771,0.009671612174200872,0.8191555440425873,6.678043230944255e-05,0.39936
dense,normuon,0.0001,normuon-lr1e-4,3,0.6,2345,2340,2250,10,0.3226053786277771,0.017200270649819247,0.7529533803462982,4.4596131968145624e-05,0.59904
dense,normuon,0.0001,normuon-lr1e-4,4,0.8,3126,3120,3030,10,0.29629905939102175,0.020724900841296023,0.7209197878837585,2.2411831626848694e-05,0.79872
dense,normuon,0.0001,normuon-lr1e-4,5,1.0,3907,3900,3810,10,0.3052745771408081,0.019485431791060236,0.6887970566749573,2.2753128555176338e-07,0.9984
dense,normuon,0.0003,normuon-lr3e-4,1,0.2,782,780,690,10,0.3427032995223999,0.013572226728125247,0.7617266774177551,0.0002668941979522184,0.19968
dense,normuon,0.0003,normuon-lr3e-4,2,0.4,1563,1560,1470,10,0.2884157395362854,0.010779450050922068,0.7162207961082458,0.00020034129692832764,0.39936
dense,normuon,0.0003,normuon-lr3e-4,3,0.6,2345,2340,2250,10,0.2676014566421509,0.016099400563605853,0.6744736135005951,0.00013378839590443684,0.59904
dense,normuon,0.0003,normuon-lr3e-4,4,0.8,3126,3120,3030,10,0.2386872363090515,0.01836683456698324,0.643103688955307,6.723549488054606e-05,0.79872
dense,normuon,0.0003,normuon-lr3e-4,5,1.0,3907,3900,3810,10,0.24826036930084228,0.018670661090079522,0.6300455927848816,6.8259385665529e-07,0.9984
dense,normuon,0.001,normuon-lr1e-3,1,0.2,782,780,690,10,0.3465546631813049,0.01824105805740515,0.6912396848201752,0.0008896473265073947,0.19968
dense,normuon,0.001,normuon-lr1e-3,2,0.4,1563,1560,1470,10,0.3129616332054138,0.018018497835027993,0.6335065364837646,0.0006678043230944255,0.39936
dense,normuon,0.001,normuon-lr1e-3,3,0.6,2345,2340,2250,10,0.2800577998161316,0.01200562321830122,0.6186089217662811,0.0004459613196814562,0.59904
dense,normuon,0.001,normuon-lr1e-3,4,0.8,3126,3120,3030,10,0.24166203498840333,0.01667376959924818,0.5835085511207581,0.00022411831626848692,0.79872
dense,normuon,0.001,normuon-lr1e-3,5,1.0,3907,3900,3810,10,0.24268772363662722,0.016883597634154285,0.5218740999698639,2.2753128555176335e-06,0.9984
dense,normuon,0.003,normuon-lr3e-3,1,0.2,782,780,690,10,0.5693739604949951,0.02242402749455267,0.6741524934768677,0.0026689419795221845,0.19968
dense,normuon,0.003,normuon-lr3e-3,2,0.4,1563,1560,1470,10,0.5309138441085816,0.01959113448332926,0.6640121638774872,0.0020034129692832765,0.39936
dense,normuon,0.003,normuon-lr3e-3,3,0.6,2345,2340,2250,10,0.46436917781829834,0.022390313225392262,0.6092289388179779,0.0013378839590443687,0.59904
dense,normuon,0.003,normuon-lr3e-3,4,0.8,3126,3120,3030,10,0.3803320598602295,0.024450135487808628,0.56155925989151,0.0006723549488054607,0.79872
dense,normuon,0.003,normuon-lr3e-3,5,1.0,3907,3900,3810,10,0.35507649898529053,0.018611564368953035,0.5614540576934814,6.8259385665529e-06,0.9984
late,muon,0.0001,muon-lr1e-4,1,0.2,782,780,690,10,0.3923322582244873,0.02345050807490902,0.6925159394741058,8.896473265073949e-05,0.19968
late,muon,0.0001,muon-lr1e-4,2,0.4,1563,1560,1470,10,0.30790799856185913,0.016966258249565075,0.6423036456108093,6.678043230944255e-05,0.39936
late,muon,0.0001,muon-lr1e-4,3,0.6,2345,2340,2250,10,0.28146282196044925,0.015272921213575225,0.5901330411434174,4.4596131968145624e-05,0.59904
