model_family,optimizer,learning_rate,run_id,stage,step,hidden_tensors,hidden_parameters,weight_frobenius_norm,reference_displacement_frobenius_norm,previous_checkpoint_displacement_frobenius_norm,reference_displacement_to_weight_ratio,weight_row_cv_parameter_weighted,reference_delta_row_cv_parameter_weighted,weight_top_1pct_row_energy_parameter_weighted,reference_delta_top_1pct_row_energy_parameter_weighted
dense,adamw,3e-05,adamw-lr3e-5,1,782,88,110297088,1196.0329174524027,6.941996757068199,,0.005804185366281495,0.17900778578325388,0.11053487886599997,0.028178019952128597,0.022681181341469448
dense,adamw,3e-05,adamw-lr3e-5,2,1563,88,110297088,1195.821215521469,9.614720349005465,5.985734686589089,0.008040265738898699,0.17901644512094597,0.09510307058811507,0.028181709677857512,0.020620444866724034
dense,adamw,3e-05,adamw-lr3e-5,3,2345,88,110297088,1195.6648658077618,10.845064146813321,4.383586152716924,0.009070321004612495,0.17902247333789573,0.08969523769648954,0.02818330493880147,0.019913614924279923
dense,adamw,3e-05,adamw-lr3e-5,4,3126,88,110297088,1195.5710548631157,11.358123847676083,2.7358927008265064,0.009500166302517675,0.179026392183919,0.08871986148231488,0.02818444169021864,0.01986703499504191
dense,adamw,3e-05,adamw-lr3e-5,5,3907,88,110297088,1195.5435346046916,11.47092216641425,1.068742631765133,0.009594733971947855,0.17902849424371425,0.08905218667624627,0.028184923188970052,0.019936864717519858
dense,muon,0.0001,muon-lr1e-4,1,782,88,110297088,1195.5527041783794,4.848655001789519,,0.0040555761237825675,0.17899921771517413,0.20103530968753572,0.028173201717436314,0.028682474828858107
dense,muon,0.0001,muon-lr1e-4,2,1563,88,110297088,1194.8275509150228,7.097799397819449,4.355509259022068,0.005940438343913155,0.17900509497818143,0.20033739448430385,0.028174172349792113,0.028658611665076432
dense,muon,0.0001,muon-lr1e-4,3,2345,88,110297088,1194.3095939837317,8.172163455707885,3.022177666551792,0.006842583779678824,0.17900954562433583,0.19835613366654692,0.02817468201233582,0.02856550550705848
dense,muon,0.0001,muon-lr1e-4,4,3126,88,110297088,1194.0001061227929,8.657412821540634,1.8151589240782822,0.007250763862704625,0.17901227268624434,0.19748378778623546,0.028174935202587417,0.028684656461949815
dense,muon,0.0001,muon-lr1e-4,5,3907,88,110297088,1193.8895105100166,8.78594540658392,0.6763835416356851,0.0073590942287705165,0.17901352546949756,0.19723740567697243,0.028175095654027985,0.028766291577090077
dense,muon,0.0003,muon-lr3e-4,1,782,88,110297088,1194.2355500520448,12.943380305190995,,0.010838213872151874,0.17899423925315633,0.1823371351163655,0.0281732257226492,0.02350316070677603
dense,muon,0.0003,muon-lr3e-4,2,1563,88,110297088,1192.1179979412057,18.525389401635348,12.187581808449348,0.015539895743230786,0.17899447556007356,0.17693066282725747,0.02817444176597391,0.022803272820391598
dense,muon,0.0003,muon-lr3e-4,3,2345,88,110297088,1190.606024268119,21.06721477303953,8.695361600539346,0.017694530637025647,0.17899821312191652,0.17249186129314217,0.028174540526009498,0.02250312953529989
dense,muon,0.0003,muon-lr3e-4,4,3126,88,110297088,1189.6964832673516,22.135353429015666,5.288649380574583,0.0186058828788194,0.17900228032214757,0.16972097186720309,0.028174991166607582,0.022384634084581214
dense,muon,0.0003,muon-lr3e-4,5,3907,88,110297088,1189.3888733372978,22.377398140504052,1.991864900369523,0.01881419831826362,0.1790054134705806,0.16869763267490476,0.028175312487836827,0.022371091048188387
dense,muon,0.001,muon-lr1e-3,1,782,88,110297088,1189.9884581504762,40.142250793117434,,0.03373331104026672,0.17880126690482073,0.176183279429408,0.028161147031634248,0.021551848630754548
dense,muon,0.001,muon-lr1e-3,2,1563,88,110297088,1183.403823291974,56.9042480053044,39.176750997068254,0.04808523251767859,0.17861533110194347,0.1681716227156912,0.02814779337993599,0.020889310597038684
dense,muon,0.001,muon-lr1e-3,3,2345,88,110297088,1178.651806468317,64.25932067271945,28.278774724627457,0.054519341776825915,0.17853444177199174,0.1618952919445175,0.0281400244961926,0.020469698898075896
dense,muon,0.001,muon-lr1e-3,4,3126,88,110297088,1175.7580541768932,67.11712841239304,17.334667644271143,0.05708413238077232,0.17851726467756027,0.15760024083668694,0.02813843899172417,0.02023557471709057
dense,muon,0.001,muon-lr1e-3,5,3907,88,110297088,1174.7774064728083,67.66152058869916,6.586815016032457,0.057595183747913926,0.1785218375411263,0.15594676727638207,0.02813858487070563,0.020161881609595714
dense,muon,0.003,muon-lr3e-3,1,782,88,110297088,1180.873237643687,116.55506141218706,,0.0987024328240014,0.17688399079171094,0.17150524547971027,0.02802650873016387,0.020793184331732797
dense,muon,0.003,muon-lr3e-3,2,1563,88,110297088,1164.947840288064,164.1034339790859,114.58330495238646,0.14086762368562958,0.17497118212840454,0.16156084401742182,0.027877119016201102,0.020021365589417396
dense,muon,0.003,muon-lr3e-3,3,2345,88,110297088,1152.9110500343472,184.30066501019758,82.79574495676924,0.15985679468048028,0.17405315882023326,0.1548380220338782,0.027802242180282738,0.01966269139977381
dense,muon,0.003,muon-lr3e-3,4,3126,88,110297088,1145.2289233078393,191.63853448109015,50.75344239291717,0.16733644302972028,0.17377045573318067,0.15039134262637657,0.027775929030529,0.019458634963129613
dense,muon,0.003,muon-lr3e-3,5,3907,88,110297088,1142.5044834958965,192.8405742155307,19.44261584729566,0.1687875863956934,0.17376003034890972,0.14858307234723778,0.027773640432300413,0.019378783898477886
dense,normuon,0.0001,normuon-lr1e-4,1,782,88,110297088,1195.5494774441356,4.8273551646677495,,0.004037771130131515,0.1789969590636976,0.08226879695081775,0.02817257470326787,0.019750939970985454
dense,normuon,0.0001,normuon-lr1e-4,2,1563,88,110297088,1194.8214106706062,7.089533347950005,4.355160080608268,0.005933550641656923,0.17900229248412472,0.08521906731719958,0.02817382248626514,0.0203379768290542
dense,normuon,0.0001,normuon-lr1e-4,3,2345,88,110297088,1194.301519567302,8.172898746203119,3.0175915025384494,0.006843245706632089,0.17900654745293174,0.08656549126029334,0.028174384014013617,0.02049352077488354
dense,normuon,0.0001,normuon-lr1e-4,4,3126,88,110297088,1193.9911220697131,8.66236528510254,1.8112224458154351,0.007254966243037755,0.17900943219223442,0.08844638078966562,0.02817479666461919,0.0207374421207304
dense,normuon,0.0001,normuon-lr1e-4,5,3907,88,110297088,1193.8804244920475,8.79275890675097,0.6745335438870541,0.007364857255693733,0.1790107294000725,0.0894318120902713,0.02817499354720753,0.02086244247365683
dense,normuon,0.0003,normuon-lr3e-4,1,782,88,110297088,1194.2279750103742,12.931362397670865,,0.010828219291679658,0.178993768382439,0.04643149442851225,0.028172885222151316,0.014886738595497958
dense,normuon,0.0003,normuon-lr3e-4,2,1563,88,110297088,1192.1053712638206,18.530470283561232,12.169867986755342,0.015544322448539928,0.1789957459936327,0.04524456945193164,0.02817463018199339,0.014724536993127455
dense,normuon,0.0003,normuon-lr3e-4,3,2345,88,110297088,1190.5890196597682,21.091873066283025,8.677880813251369,0.017715494362874604,0.17899984042633343,0.04613253323829429,0.028174572634226815,0.014836024607526746
dense,normuon,0.0003,normuon-lr3e-4,4,3126,88,110297088,1189.677384203441,22.16984144508605,5.27181747463085,0.01863517096269764,0.17900459215363718,0.047703922860682965,0.028175255507828397,0.0150492789876214
dense,normuon,0.0003,normuon-lr3e-4,5,3907,88,110297088,1189.3688452794786,22.41529996781682,1.9832406364592472,0.01884638231174591,0.17900789106752782,0.048457204931998316,0.028175768875741067,0.015136617569521787
dense,normuon,0.001,normuon-lr1e-3,1,782,88,110297088,1189.9774655412282,40.17975980705533,,0.033765143433855435,0.178844319905508,0.030906106260689823,0.028161102552265727,0.01261015660702226
dense,normuon,0.001,normuon-lr1e-3,2,1563,88,110297088,1183.3809223710323,57.03948796904235,39.19273536374082,0.0482004457658127,0.1786913168541888,0.03242417491155672,0.028146766923009395,0.012864147766149617
dense,normuon,0.001,normuon-lr1e-3,3,2345,88,110297088,1178.6202318905025,64.46287662059095,28.232040772197667,0.054693509305531546,0.17862813341067754,0.03480717670770093,0.028139390917943125,0.013207724429965815
dense,normuon,0.001,normuon-lr1e-3,4,3126,88,110297088,1175.7194076853589,67.36347323481237,17.288858024018523,0.057295535647770734,0.17861592705874518,0.036829625246398906,0.028139223065725305,0.013475422356476918
dense,normuon,0.001,normuon-lr1e-3,5,3907,88,110297088,1174.735873636365,67.92396441081374,6.561750835397653,0.05782062669164672,0.1786218088339357,0.037698533216660675,0.028139863865459986,0.013587935914828337
dense,normuon,0.003,normuon-lr3e-3,1,782,88,110297088,1180.8589005194665,116.42295718164354,,0.09859175988801747,0.17728409065521336,0.0295112487874965,0.028029694027680765,0.012361391833460427
dense,normuon,0.003,normuon-lr3e-3,2,1563,88,110297088,1164.8833972074701,164.15166511308468,114.54213219311467,0.140916820951006,0.17569423701992648,0.03270894819920395,0.027892837121604598,0.012746025875390053
dense,normuon,0.003,normuon-lr3e-3,3,2345,88,110297088,1152.8070221315816,184.3250100865618,82.57289158587217,0.1598923380478185,0.17492899027737704,0.03594303259596149,0.027817461256156948,0.013182560763854713
dense,normuon,0.003,normuon-lr3e-3,4,3126,88,110297088,1145.0955172877902,191.7342179699939,50.66787158442533,0.1674394974701542,0.17469608465976574,0.03833171158511052,0.027795048619814734,0.013488758616846673
dense,normuon,0.003,normuon-lr3e-3,5,3907,88,110297088,1142.3613198939227,192.96933155382465,19.387940880002926,0.1689214508521204,0.17469103980988743,0.03933363479567084,0.02779367648284225,0.013614783770738438
late,adamw,1e-06,adamw-lr1e-6,1,782,88,110297088,1158.5187925237697,0.6648023654152936,,0.0005738382231737977,0.18699762500065534,0.29233935220356294,0.02890376966536284,0.0462043326507437
late,adamw,1e-06,adamw-lr1e-6,2,1563,88,110297088,1158.5183371821674,1.1377851576587592,0.5312185030549278,0.0009821037105257765,0.18699970386205192,0.3102490681218591,0.02890459173184665,0.04911335406297031
late,adamw,1e-06,adamw-lr1e-6,3,2345,88,110297088,1158.5176458889314,1.3906387674463683,0.3126991030490854,0.0012003604540518934,0.18700091956173354,0.31553924661428534,0.02890505619785365,0.050041259560275844
late,adamw,1e-06,adamw-lr1e-6,4,3126,88,110297088,1158.517382427927,1.5194994958983323,0.16985818147247683,0.0013115897257526582,0.18700153427447547,0.31716759502887726,0.02890528102758973,0.05015107350832319
late,adamw,1e-06,adamw-lr1e-6,5,3907,88,110297088,1158.517246677936,1.5617686910546513,0.05938500760825731,0.0013480754779724206,0.187001719074772,0.3181725671504908,0.02890534740050926,0.05028844764207136
late,adamw,3e-06,adamw-lr3e-6,1,782,88,110297088,1158.517543705138,1.5267162221833956,,0.0013178188198175187,0.18700109805692644,0.2618669950786759,0.028905090390341007,0.04295769851794217
late,adamw,3e-06,adamw-lr3e-6,2,1563,88,110297088,1158.5155871663826,2.2243587413498136,0.9553745085408214,0.0019200076080032556,0.1870038070999843,0.2637564314798238,0.02890607132949931,0.042653105236629754
late,adamw,3e-06,adamw-lr3e-6,3,2345,88,110297088,1158.5143282804731,2.588129129042599,0.6063541200543807,0.0022340070086867498,0.18700497008780426,0.2603317711522235,0.02890645090570265,0.04179795052019511
late,adamw,3e-06,adamw-lr3e-6,4,3126,88,110297088,1158.5138536089848,2.7781195453394156,0.3592231757036317,0.0023980028695255217,0.18700552872197831,0.25895566284098726,0.028906621427379826,0.04132458671210284
late,adamw,3e-06,adamw-lr3e-6,5,3907,88,110297088,1158.5136964150595,2.84117175472982,0.1350810135707882,0.002452428282480932,0.18700571714795847,0.2592975475929956,0.028906676223511524,0.04131974374008848
late,adamw,1e-05,adamw-lr1e-5,1,782,88,110297088,1158.4525412819103,3.1156847496533904,,0.0026895229960872315,0.18700512084253332,0.19196414812044663,0.02890655434974295,0.03282376167608455
late,adamw,1e-05,adamw-lr1e-5,2,1563,88,110297088,1158.3733366423867,4.396758877691714,2.2778102392674664,0.0037956319768512443,0.18700721066066606,0.17679131693420883,0.028907329030832984,0.030574393478585756
late,adamw,1e-05,adamw-lr1e-5,3,2345,88,110297088,1158.308098538556,5.0915994709834695,1.639857937899635,0.004395721205271353,0.18700842049351352,0.17059506379306955,0.028907627992849936,0.02965534147482744
late,adamw,1e-05,adamw-lr1e-5,4,3126,88,110297088,1158.2950688800063,5.41854952738537,1.0045847310228047,0.004678039018697321,0.18700956798253213,0.1698664627909501,0.028907896111654566,0.029467768456667345
late,adamw,1e-05,adamw-lr1e-5,5,3907,88,110297088,1158.2949507348912,5.514847982724048,0.3912321655443198,0.004761177607849452,0.1870098640933075,0.1703630415174891,0.02890797002978105,0.02951762634005776
late,adamw,3e-05,adamw-lr3e-5,1,782,88,110297088,1158.3256679106175,6.592262841524759,,0.005691199827606214,0.18700692553650886,0.11518662297391,0.028907964810390364,0.022659296065290026
late,adamw,3e-05,adamw-lr3e-5,2,1563,88,110297088,1158.1269538007043,9.488650136892868,6.006651102929896,0.008193100165533077,0.18700733409327938,0.10105830653107421,0.028908825297665627,0.020928943529725075
late,adamw,3e-05,adamw-lr3e-5,3,2345,88,110297088,1157.979818373965,10.879919911558304,4.467459703954733,0.009395604084737752,0.1870085400414658,0.0976553161772974,0.028909577345624965,0.02064297537762612
late,adamw,3e-05,adamw-lr3e-5,4,3126,88,110297088,1157.890409245414,11.458741105260247,2.8183464992841176,0.009896222486830853,0.18701126654557684,0.09726106604551249,0.02891031584209379,0.020644353675272537
late,adamw,3e-05,adamw-lr3e-5,5,3907,88,110297088,1157.8651791784278,11.593518638178233,1.1101943647300576,0.010012839876922894,0.18701173939846735,0.09773577937985806,0.0289104004081757,0.020710437424122333
late,muon,0.0001,muon-lr1e-4,1,782,88,110297088,1157.8554624967046,4.976491254186563,,0.004298024594067782,0.1869965994899923,0.20413051742343183,0.028903665616211886,0.028370778424974114
