baseline,conditioned_on_displacement,feature,fold,status,baseline_mse_exact,feature_mse_exact,baseline_rmse,feature_rmse,improves,training_residual_energy_exact,train_rows,test_rows
B0_original,False,cumulative_displacement_to_weight_ratio,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,69682787800618894825907287091494408204152917372226275759536956682311969669286901131158303202194910151775776780744424145832497126004563146566027772635123316473923/575358028046048808579659657857295307168179603633927044743088230358398200818664194041725389005917960835200452337537460491950442327683474106431224906658185167429959680,0.03227045896603462,0.01100509180899501,True,66164008864093235724978767882149540785197178034123941934446635899/1778385219748104988616296693863684112527039558764479756866693365760,45,15
B0_original,False,cumulative_displacement_to_weight_ratio,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,69399758086815819947563430217775992373263434195305476788987416231143800428028920887933829302097269555134952785801292072793827530815101638399473226577835576144639/2101955077115671276936358045244096334565580409912613471008463797111843299973494369785210753356909343691822096635763606506030502669609851042901817595429466304067665920,0.012096372185435933,0.0057460217195798085,True,252926557624900022877555221686265636832501963503595774287557573001/5385984257295777825671725399748859535654895126371948091870847959040,45,15
B0_original,False,cumulative_displacement_to_weight_ratio,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,6036915602491626958235070865622284949568123640487928320266954260344201614988909353345157102446626942517006287956028617261922857521637712375003575021661396587753/174722236919382434292778949069456208236977297811123149710021363846377549655680317643728908512651429730151081726164199923587136003903933061047042771394447748848680960,0.017876202144836942,0.005878052512254087,True,7016894244137743389305683719436609458353699076597336607379456419/149610673813771606268659038881912764879302642399220780329745776640,45,15
B0_original,False,cumulative_displacement_to_weight_ratio,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,5989911663761218660682828850736310509828666472817018191085316334050369785865568419072051918316377080621683013729234073528331288348252003596823434051907902256921/27924246730468570189694086548126012626538624148025560252046491459979407074382899111496648222743548804095896034620428960890765614458164675933140728921966260015595520,0.043233766395369064,0.014646015031075292,True,29152342086504157175239886700129857212852029326461931479049762891/7113540878992419954465186775454736450108158235057919027466773463040,45,15
B0_original,False,cumulative_stable_rank_fraction,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,1489915184409015498731318983465706542486392525138069013735671869304508027423390640001502558478213833347659758091317717843047195999493423259290243893848745539/1388375835593091124890509883564305209406086976829661912792797049971904922625721117032468349010520932762253088114063432928342543195144619584226612245624468275200,0.03227045896603462,0.03275874459172295,False,238837834895892337186188200078581405634877405755667756753534541/9262423019521380149043211947206688086078331035231665400347361280,45,15
B0_original,False,cumulative_stable_rank_fraction,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,1666252914847895308254898481635922326305983079043247310449647654606993137189648452623743691318817774193542444573790107821944028093400773201411890000379920540001/10507869279962039690798032278637505851101550595021746310955993072501220196982563485608610982222423681515184801129678344808146267504158703483709948469343216572825600,0.012096372185435933,0.012592533948578927,False,7997514695037284895485977227059378129705398578757585487449646569/84156004020246528526120709371075930244607736349561688935481999360,45,15
B0_original,False,cumulative_stable_rank_fraction,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,1166320836772105455161675086244739820870053312478833757354125187778210498048652132792576155198881613616141347164674712698958167133513549905080300227801941924313/1333735634772410244686733157766517442884136794289626968854676809166619024178989444234545546664404901972023262764136066045397138444544800607335300393549862377881600,0.017876202144836942,0.029571553478474434,False,1424631680370287447355302854598595711429166974817359283252993693/21039001005061632131530177342768982561151934087390422233870499840,45,15
B0_original,False,cumulative_stable_rank_fraction,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,5630798924333287002464839280077495874655694764733129178651583665448419287333556968645188905881544314284610783901142883580609834745864605288897703346790786673389/2635809393941259355062478487932119647133620974906419242279359454422799941708342414434652987209459195079863776557443168281398837519344606546505770400810418778931200,0.043233766395369064,0.04621979434517548,False,770855250215717305698685269245657069823312779501287378455416219/12349897359361840198724282596275584114771108046975553867129815040,45,15
B0_original,False,mean_saved_segment_subspace_overlap_to_adamw,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,5752730876021099003424478331280858683879006513551494507375880535801859733093649595251793269225133277454961426815364252659062040858636353156739371013537/3520135450707444700976940242068339933589114145837192656335717775855213060200134343277171977299673334617536582807321158477513231256259825445083229181706240,0.03227045896603462,0.04042568067975955,False,33328049676785164131326191292175963932123484364654369765637261/578901438720086259315200746700418005379895689701979087521710080,45,15
B0_original,False,mean_saved_segment_subspace_overlap_to_adamw,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,3435851017835372813774978855134639974460364495088355239551000386026414694291199036636223268891284822989726924732584361886017515908913856678621868402949585577/18128215599173458155535790116165526247961573195704322708227655206687400601316065589857693782499026725857688960416415411759907129247226529868946230281905792614400,0.012096372185435933,0.013767010169981513,False,996544047906091510005596237448154991385498590415931581874654001/5259750251265408032882544335692245640287983521847605558467624960,45,15
