family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensor,rows,columns,rank,frobenius_norm,spectral_norm,stable_rank,nuclear_norm,entropy_effective_rank,condition_number
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,0.layers.0.attn.Wqkv.weight,2304,768,768,81.91328430175781,18.168848037719727,20.326093673706055,1598.844482421875,544.5523071289062,56.74641799926758
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,0.layers.0.mlp.Wi.weight,2304,768,768,153.3946533203125,38.65682601928711,15.745919227600098,2989.989501953125,547.2117309570312,41.27397155761719
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,0.layers.10.attn.Wqkv.weight,2304,768,768,151.80897521972656,41.7348518371582,13.231136322021484,2849.02001953125,529.1087646484375,47.779571533203125
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,0.layers.10.mlp.Wi.weight,2304,768,768,156.16331481933594,39.202232360839844,15.868520736694336,3088.1025390625,556.0721435546875,72.90821838378906
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,0.layers.21.attn.Wqkv.weight,2304,768,768,136.229248046875,39.96757888793945,11.617830276489258,2239.67626953125,465.4123840332031,66.61461639404297
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,0.layers.21.mlp.Wi.weight,2304,768,768,153.16554260253906,60.43788528442383,6.422492980957031,1950.6729736328125,382.6101989746094,324.5281066894531
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.91791534423828,3.8833651542663574,444.9808349609375,2209.45263671875,745.2000732421875,1142.995849609375
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,0.layers.0.mlp.Wi.weight,2304,768,768,153.4020538330078,7.012261390686035,478.5707702636719,4179.8251953125,754.5075073242188,21.28038787841797
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.8158721923828,7.1392107009887695,452.2035217285156,4106.47119140625,748.3964233398438,10.172542572021484
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,0.layers.10.mlp.Wi.weight,2304,768,768,156.1711883544922,7.116960048675537,481.518310546875,4255.78369140625,754.6507568359375,12.096152305603027
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.23622131347656,7.772716045379639,307.2129821777344,3368.37890625,664.261474609375,12.571107864379883
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,0.layers.21.mlp.Wi.weight,2304,768,768,153.16819763183594,20.34978485107422,56.652305603027344,2036.8763427734375,280.72320556640625,107.43099212646484
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.9168930053711,4.399021148681641,346.76470947265625,2189.568359375,738.381591796875,1246.1658935546875
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,0.layers.0.mlp.Wi.weight,2304,768,768,153.4022674560547,8.095588684082031,359.0597229003906,4146.501953125,748.2286987304688,24.29261589050293
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.81483459472656,8.54152774810791,315.9056091308594,4054.273681640625,738.9588623046875,12.912985801696777
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,0.layers.10.mlp.Wi.weight,2304,768,768,156.16966247558594,8.670463562011719,324.4208068847656,4203.732421875,745.1644897460938,14.786349296569824
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.2354736328125,15.85161018371582,73.8641357421875,3160.4306640625,629.650634765625,24.415069580078125
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,0.layers.21.mlp.Wi.weight,2304,768,768,153.1678009033203,24.494998931884766,39.100303649902344,2023.3974609375,292.0894470214844,90.40188598632812
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,0.layers.0.attn.Wqkv.weight,2304,768,768,81.909423828125,18.40028190612793,19.81612777709961,1596.7076416015625,544.6836547851562,55.6706657409668
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,0.layers.0.mlp.Wi.weight,2304,768,768,153.3914337158203,39.71913528442383,14.914291381835938,2982.59130859375,547.471923828125,42.58918762207031
