seed,model_family,optimizer,learning_rate,aux_learning_rate,run_id,stage,fraction,checkpoint_step,task,ndcg_at_10,subsets,result_path
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ClimateFEVER,0.4054,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,DBPedia,0.2226,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/DBPediaDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FEVER,0.92228,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FEVERDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FiQA2018,0.50302,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,HotpotQA,0.62435,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/HotpotQADecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,MSMARCO,0.55981,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/MSMARCODecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,NFCorpus,0.24638,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,NQ,0.89477,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/NQDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,QuoraRetrieval,0.88817,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,SCIDOCS,0.10047,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,SciFact,0.80641,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/SciFactDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,TRECCOVID,0.8029,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,Touche2020,0.30425,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/Touche2020Decontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,ArguAna,0.56246,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,ClimateFEVER,0.40375,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,DBPedia,0.27637,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/DBPediaDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,FEVER,0.92109,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/FEVERDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,FiQA2018,0.53958,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,HotpotQA,0.67725,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/HotpotQADecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,MSMARCO,0.56869,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/MSMARCODecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,NFCorpus,0.28722,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,NQ,0.93964,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/NQDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,QuoraRetrieval,0.91227,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,SCIDOCS,0.14996,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,SciFact,0.87106,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/SciFactDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,TRECCOVID,0.82252,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
161803,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,Touche2020,0.3321,1,results/confirmatory-beir/seed161803/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/Touche2020Decontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,ArguAna,0.50541,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,ClimateFEVER,0.41421,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,DBPedia,0.22447,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/DBPediaDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,FEVER,0.91666,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/FEVERDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,FiQA2018,0.51536,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,HotpotQA,0.61462,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/HotpotQADecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,MSMARCO,0.55399,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/MSMARCODecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,NFCorpus,0.24158,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,NQ,0.93796,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/NQDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,QuoraRetrieval,0.88138,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,SCIDOCS,0.11807,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,SciFact,0.85683,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/SciFactDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,TRECCOVID,0.75697,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
161803,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,Touche2020,0.33442,1,results/confirmatory-beir/seed161803/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/Touche2020Decontaminated.json
161803,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ArguAna,0.52163,1,results/confirmatory-beir/seed161803/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
161803,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ClimateFEVER,0.4131,1,results/confirmatory-beir/seed161803/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
161803,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,DBPedia,0.22828,1,results/confirmatory-beir/seed161803/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/DBPediaDecontaminated.json
161803,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FEVER,0.92214,1,results/confirmatory-beir/seed161803/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FEVERDecontaminated.json
161803,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FiQA2018,0.48498,1,results/confirmatory-beir/seed161803/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
