family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,frobenius_norm,top_1pct_row_energy,top_10pct_row_energy,spectral_norm,approx_stable_rank,sketched_nuclear_norm,sketched_entropy_effective_rank,sketched_condition_number,captured_frobenius_energy,sketch_algorithm,sketch_rank,row_norm_mean,row_norm_cv,row_norm_gini,row_norm_max_to_median,column_norm_mean,column_norm_cv,column_norm_gini,column_norm_max_to_median
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.15.mlp.Wi.weight,2304,768,1769472,8,145.966552734375,0.04956045374274254,0.18453319370746613,0.5574625134468079,0.031531933695077896,2.4707791805267334,0.24682939052581787,39.87730026245117,36.04488754272461,0.9886602759361267,randomized,64,0.000799346889834851,0.8177499175071716,0.39059170897108847,9.427764892578125,0.0015266946284100413,0.6102167963981628,0.1662381286703808,11.545429229736328
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.15.mlp.Wo.weight,768,1152,884736,8,109.81195068359375,0.03706251457333565,0.055241454392671585,0.22306807339191437,0.016227446496486664,5.216621398925781,0.20066604018211365,41.75041961669922,25.017847061157227,0.9900268316268921,randomized,64,0.0012930239317938685,0.26425695419311523,0.1292706656292413,5.018985271453857,0.0008162122685462236,0.8887684941291809,0.39214157565364127,19.525772094726562
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.16.attn.Wo.weight,768,768,589824,8,90.6717529296875,0.028361311182379723,0.06035644933581352,0.2655376195907593,0.01596321351826191,3.1565799713134766,0.1231267973780632,31.733795166015625,60.111000061035156,0.9976769685745239,randomized,64,0.0009706341661512852,0.33420586585998535,0.1732033015160212,4.998729705810547,0.0009637749753892422,0.3571745753288269,0.19742217902055,2.324737548828125
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.16.attn.Wqkv.weight,2304,768,1769472,8,136.2113800048828,0.0522930771112442,0.11618295311927795,0.4786214232444763,0.03624938800930977,2.0812108516693115,0.2500323951244354,38.871707916259766,42.197025299072266,0.9903697967529297,randomized,64,0.0008908777963370085,0.7039475440979004,0.36069478341250405,8.582037925720215,0.0014926547883078456,0.7734491229057312,0.1644899041668374,20.467317581176758
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.16.mlp.Wi.weight,2304,768,1769472,8,145.51123046875,0.050300415605306625,0.2754906117916107,0.657761812210083,0.03345165774226189,2.261444091796875,0.23624193668365479,36.82724380493164,45.74660873413086,0.9932507872581482,randomized,64,0.0007369263330474496,1.011191964149475,0.44153860132443024,18.55315589904785,0.0015567560913041234,0.5996862053871155,0.17872081405401127,11.438652992248535
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.16.mlp.Wo.weight,768,1152,884736,8,114.62164306640625,0.033215492963790894,0.06310644000768661,0.23432448506355286,0.015006542205810547,4.899393081665039,0.17300453782081604,39.54622268676758,29.293272018432617,0.9934821128845215,randomized,64,0.0011538636172190309,0.2811220586299896,0.1364916778967162,5.1698713302612305,0.0006944909691810608,0.9928340911865234,0.43918813816820196,13.95421028137207
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.17.attn.Wo.weight,768,768,589824,8,90.89928436279297,0.02880651131272316,0.06983406841754913,0.2704378664493561,0.016691874712705612,2.9783549308776855,0.12438110262155533,31.342294692993164,65.56285095214844,0.9979591965675354,randomized,64,0.0009839391568675637,0.340681254863739,0.17334208013019825,5.076694488525391,0.0009630157728679478,0.4063098728656769,0.21635148593618814,3.2886803150177
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.17.attn.Wqkv.weight,2304,768,1769472,8,136.04275512695312,0.05037935823202133,0.10955739766359329,0.48351311683654785,0.03514539450407028,2.0549538135528564,0.23732057213783264,37.87577438354492,46.252891540527344,0.9931281208992004,randomized,64,0.0008405063999816775,0.7479708790779114,0.3917077467775514,6.536718845367432,0.001398248947225511,0.8309481143951416,0.17161483754414536,20.2039737701416
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.17.mlp.Wi.weight,2304,768,1769472,8,146.3334503173828,0.04917934164404869,0.29585832357406616,0.7108795642852783,0.03314737230539322,2.2017219066619873,0.2189245969057083,34.2534065246582,61.30453109741211,0.9962973594665527,randomized,64,0.0006880124565213919,1.103685975074768,0.4616144942131668,27.756080627441406,0.0014987984905019403,0.6341997981071472,0.1888659927120283,12.304911613464355
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,0.layers.17.mlp.Wo.weight,768,1152,884736,8,117.45487976074219,0.036389146000146866,0.0829540342092514,0.28640511631965637,0.022604241967201233,2.5917372703552246,0.16607511043548584,33.908416748046875,60.642555236816406,0.9973785281181335,randomized,64,0.0012389918556436896,0.3510562479496002,0.17269605203217228,4.588094234466553,0.0006480047013610601,1.3181614875793457,0.46613491501241133,36.23295593261719
