family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,update_operator,frobenius_norm,top_1pct_row_energy,top_10pct_row_energy,spectral_norm,approx_stable_rank,sketched_nuclear_norm,sketched_entropy_effective_rank,sketched_condition_number,captured_frobenius_energy,sketch_algorithm,sketch_rank,row_norm_mean,row_norm_cv,row_norm_gini,row_norm_max_to_median,column_norm_mean,column_norm_cv,column_norm_gini,column_norm_max_to_median,cosine_with_final_gradient,cosine_with_weight,per_unit_lr_update_to_weight,matched_frobenius_norm
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.attn.Wo.weight,768,768,589824,8,93.43264770507812,normuon,22.444149017333984,0.011295800097286701,0.10596141219139099,1.1843527555465698,359.12542724609375,72.03205108642578,63.97046661376953,1.1169118881225586,0.16108813881874084,randomized,64,0.8097801804542542,0.016112878918647766,0.00902374372752736,1.0463584661483765,0.8066098690032959,0.09021113067865372,0.044377124512996795,1.1142727136611938,0.24122899770736694,0.00024307897547259927,0.24021798372268677,93.43264770507812
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.attn.Wqkv.weight,2304,768,1769472,8,142.5530548095703,adamw,491.5455322265625,0.015210716053843498,0.12672589719295502,123.65982055664062,15.801111221313477,3015.075927734375,58.48352813720703,4.7854156494140625,0.7109006643295288,randomized,64,10.21601390838623,0.06961261481046677,0.038983590706402546,1.3524856567382812,17.728130340576172,0.032473210245370865,0.018311017581014662,1.1186720132827759,0.3643173575401306,0.003151958342641592,3.448227643966675,142.5530548095703
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.attn.Wqkv.weight,2304,768,1769472,8,142.5530548095703,muon,43.07136154174805,0.024585643783211708,0.18216824531555176,2.035388231277466,447.79217529296875,125.14057922363281,63.978824615478516,1.097209095954895,0.1319872885942459,randomized,64,0.8808928728103638,0.19398362934589386,0.10791777416934409,1.694430947303772,1.554003119468689,0.015580350533127785,0.008251106959858446,1.138224482536316,0.22519926726818085,0.00214628828689456,0.3021405041217804,142.5530548095703
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.attn.Wqkv.weight,2304,768,1769472,8,142.5530548095703,normuon,43.07004928588867,0.013813461177051067,0.11860288679599762,2.4544677734375,307.9330139160156,133.81515502929688,63.89918899536133,1.2779587507247925,0.15130147337913513,randomized,64,0.8963705897331238,0.04588043689727783,0.025555181589135816,1.21697199344635,1.553935170173645,0.018202252686023712,0.00918364407668099,1.2063325643539429,0.21280114352703094,0.0025174864567816257,0.3021405041217804,142.5530548095703
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.mlp.Wi.weight,2304,768,1769472,8,151.31427001953125,adamw,488.8238525390625,0.015185165219008923,0.12768277525901794,122.73808288574219,15.862204551696777,2921.10400390625,59.54741668701172,4.626485824584961,0.6509507298469543,randomized,64,10.156055450439453,0.07428006082773209,0.04174197993593606,1.3747525215148926,17.633384704589844,0.025824496522545815,0.014604397186829654,1.0756884813308716,0.4310067594051361,-0.0010846257209777832,3.2305853366851807,151.31427001953125
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.mlp.Wi.weight,2304,768,1769472,8,151.31427001953125,muon,45.19226837158203,0.024121452122926712,0.18509985506534576,2.0302958488464355,495.4521789550781,124.88259887695312,63.981082916259766,1.0917435884475708,0.11938785761594772,randomized,64,0.910462498664856,0.2633155882358551,0.14785399196369708,1.593811273574829,1.630594253540039,0.01247048657387495,0.006418928675498288,1.0352429151535034,0.2825731635093689,-0.00028381854644976556,0.2986622452735901,151.31427001953125
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.mlp.Wi.weight,2304,768,1769472,8,151.31427001953125,normuon,45.190826416015625,0.018328486010432243,0.12930861115455627,2.5682618618011475,309.6291198730469,138.6802978515625,63.8824348449707,1.3048595190048218,0.14768700301647186,randomized,64,0.9393516182899475,0.06762704253196716,0.033722682096897445,1.8340859413146973,1.6304882764816284,0.016887392848730087,0.008946166908511773,1.1092307567596436,0.2609933614730835,-0.00015746911230962723,0.2986622452735901,151.31427001953125
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.mlp.Wo.weight,768,1152,884736,8,118.52323150634766,adamw,344.5439453125,0.012770678848028183,0.11373112350702286,86.74674987792969,15.77570915222168,2126.91943359375,59.01618576049805,4.788252830505371,0.7066993117332458,randomized,64,12.42483139038086,0.03569786995649338,0.020041529607916227,1.1462607383728027,10.127193450927734,0.069032222032547,0.03836339592043629,1.2768195867538452,0.45290106534957886,-0.0015645732637494802,2.906994581222534,118.52323150634766
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.mlp.Wo.weight,768,1152,884736,8,118.52323150634766,muon,24.889915466308594,0.011290972121059895,0.10497201234102249,1.173462152481079,449.86517333984375,72.02586364746094,63.97812271118164,1.094918131828308,0.13094018399715424,randomized,64,0.8980183005332947,0.01430517341941595,0.00766899178387039,1.1031811237335205,0.7235143184661865,0.1650555282831192,0.08819350026861618,1.2399802207946777,0.27301621437072754,-0.002237436594441533,0.20999395847320557,118.52323150634766
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,0.layers.16.mlp.Wo.weight,768,1152,884736,8,118.52323150634766,normuon,24.888948440551758,0.011221418157219887,0.10471804440021515,1.1755234003067017,448.28887939453125,72.08686065673828,63.97800064086914,1.097440242767334,0.13116243481636047,randomized,64,0.8980385661125183,0.012635608203709126,0.007052811260660889,1.0615886449813843,0.7235287427902222,0.16493424773216248,0.08811273045018261,1.2302371263504028,0.27227917313575745,-0.00226754997856915,0.20999394357204437,118.52323150634766
