family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensors,parameters,weight_frobenius_norm,direction_frobenius_norm,global_per_unit_lr_update_to_weight,row_norm_cv_parameter_weighted,row_norm_gini_parameter_weighted,row_norm_max_to_median_parameter_weighted,column_norm_cv_parameter_weighted,column_norm_gini_parameter_weighted,column_norm_max_to_median_parameter_weighted,top_1pct_row_energy_parameter_weighted,top_10pct_row_energy_parameter_weighted,spectral_norm_parameter_weighted,approx_stable_rank_parameter_weighted,sketched_nuclear_norm_parameter_weighted,sketched_entropy_effective_rank_parameter_weighted,captured_frobenius_energy_parameter_weighted,cosine_with_final_gradient_parameter_weighted,cosine_with_weight_parameter_weighted,per_unit_lr_update_to_weight_parameter_weighted
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,normuon,88,110297088,1158.3201615370792,307.94975388777027,0.26585892580780435,0.04761797736055232,0.025395970903583708,1.3160259149928781,0.06548285493278568,0.03533763521944565,1.1789962620658672,0.014777688730388561,0.12033167150728205,2.143019460101816,291.3741711295225,118.43381844994856,63.86919970180899,0.18580148592192858,0.1931401193540364,-0.0007820252500706486,0.2740464792810978
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,adamw,88,110297088,1152.5233084674264,3941.6793953135953,3.420043105726914,0.06718772918703084,0.037527232280353984,1.2863088441405066,0.04150274844172804,0.023278528824305412,1.141072504341921,0.015060126285920327,0.12616495278111117,126.21839537595045,13.03151624215478,2784.0562920391876,57.834330574076446,0.7466587370092218,0.3846295487912581,4.40323404140349e-05,3.5433194885916888
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,muon,88,110297088,1152.5233084674264,307.2337303668994,0.2665748519875446,0.214785891540229,0.12112906382902046,1.6623584631292578,0.06680060726874333,0.035879730112035,1.2013751912244501,0.024213364985298344,0.18215707807059595,1.785614216072674,386.5178957648456,109.08700563563383,63.96701365996172,0.1633368854854196,0.20768301141134557,-0.001550656165249467,0.27448693796354817
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,normuon,88,110297088,1152.5233084674264,307.22647232107636,0.2665685544612649,0.04671059435801232,0.024978711062789028,1.3188886518146903,0.06765336724107757,0.03641777309499158,1.182057128870551,0.014661134041367686,0.11995139212053728,2.1430660849586527,288.8944859020213,118.74085729262409,63.8681993637493,0.1892409963722535,0.19281447124991188,-0.0015276905964089764,0.27448693712685196
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,adamw,88,110297088,1141.4947767098197,3778.7589901527367,3.310360298839403,0.07966187218811742,0.04492484457029266,1.2811001800598307,0.05058637613998378,0.02850507031734658,1.1661373023043342,0.015443788091826408,0.130983922072751,143.36508427584235,9.63660249225596,2578.489009102398,55.99897087831548,0.7519789827379951,0.48081200438387256,-0.00010441412124883964,3.4300476669627713
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,muon,88,110297088,1141.4947767098197,298.6729669393818,0.2616507521832557,0.22504574008644584,0.12680754025876084,1.7199312094698616,0.07348228773889057,0.03981396353782742,1.2393746873274207,0.025143063231246834,0.18622311549311016,1.7881851696713085,364.3513579343092,109.16568515389999,63.964842821824995,0.17365243891503085,0.20641545760121574,-0.0012577646625990587,0.2690473437946748
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,normuon,88,110297088,1141.4947767098197,298.66735319232254,0.26164583429210647,0.04914174025708979,0.02617374273087457,1.3203666917780503,0.07386312536636298,0.04016779591119589,1.2129353842633293,0.014965510264756208,0.12080572830403552,2.1381975045816146,274.65129197472555,117.84741751522941,63.86108157723983,0.19848442113495127,0.19185083008864345,-0.0012229553572142516,0.26904734459152835
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,adamw,88,110297088,1137.6976367828233,3719.9135992832785,3.2696856168238466,0.07690868119305787,0.04321380106648228,1.3009258594742432,0.04853761532807095,0.027276673580108483,1.1725094509634741,0.01548478073306023,0.13011018184815498,129.4962047842097,11.367258139472595,2572.044696665065,56.98926682905717,0.7397597420980586,0.41173093499028107,2.7308004748159484e-05,3.3883588141936034
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,muon,88,110297088,1137.6976367828233,306.6683414495359,0.2695517082348271,0.21585735781267684,0.12169624057909519,1.656934974346569,0.06731756551460148,0.03619115845470853,1.2122765728496612,0.02419676763916956,0.18171164369519383,1.7862715144208408,384.7619355961601,109.16237252791298,63.96735733970601,0.16486594523178702,0.20437231349116342,-0.0011737478219883463,0.27728431317258007
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,normuon,88,110297088,1137.6976367828233,306.66111037823924,0.2695453523533847,0.045494070413577205,0.02414708615573216,1.3051431115298349,0.06811543811550912,0.036714820350382635,1.1889250686461912,0.014676239563122312,0.11967968586135037,2.140570555778748,288.0379575841567,118.65641986622529,63.86790336772082,0.19054880303973182,0.18996412219370112,-0.0010694713421599545,0.27728431313273744
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,adamw,88,110297088,1152.5287649423756,3887.336059163786,3.372875521556415,0.06904066134901608,0.03863940362641234,1.2887398568704167,0.043078635893961326,0.02419370133451551,1.1461760366664213,0.01516866658809271,0.12685413045041702,125.59223674835368,12.75731309594955,2750.1946819121827,57.73177372325551,0.7514024217498494,0.3517473662361742,0.00016492784256271192,3.4962826826993156
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,muon,88,110297088,1152.5287649423756,305.97599874524786,0.26548230990186705,0.21573557618029296,0.12163169264539005,1.6720161517673635,0.06699863344650059,0.0360343798704544,1.2046390835614127,0.024336837080212677,0.1827120963025858,1.7857233534522234,383.3288180917342,109.0415748351398,63.96678444153485,0.16351105308628336,0.20516022254917074,-0.0012203720424413453,0.2734627748396307
