family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,direction_frobenius_norm_to_gradient_ratio,row_norm_cv_to_gradient_ratio,row_norm_gini_to_gradient_ratio,top_1pct_row_energy_to_gradient_ratio,approx_stable_rank_to_gradient_ratio,sketched_entropy_effective_rank_to_gradient_ratio,spectral_norm_to_gradient_ratio,cosine_with_final_gradient_parameter_weighted
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,muon,359.0008499282735,0.2849488547204019,0.34595951256195284,0.14829079580864446,137.3535478254578,1.5575592783800853,30.055796491033547,0.23165610426648414
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,normuon,358.9906603710575,0.0684096866386918,0.08090953179514335,0.08915572091498843,104.15024422340038,1.5548549772226667,36.17507381526561,0.2144780822377154
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,adamw,4317.919630779596,0.10518060856934819,0.12450790763934308,0.10564409194550878,4.224113044581832,1.3370756028108906,2034.365848592601,0.47726153430932344
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,muon,359.2943450180021,0.31204116353139205,0.3675176747091467,0.17000884624556145,131.3876013976223,1.4747668647056384,29.759613948116083,0.26406435441365217
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,normuon,359.2839133505278,0.07587276378792626,0.08624020178132201,0.1048961885921328,100.06638269368247,1.4721984533221895,35.71297999649474,0.24713916315592546
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,adamw,4389.580153629961,0.10174684583966627,0.12296884701416615,0.09796324365060981,4.738656322491275,1.3154329225793264,1936.7303366689137,0.4446930684906276
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,muon,360.43419259974377,0.3078806170940309,0.36968919823405444,0.1604152493091049,121.01371825576165,1.4453374752685084,30.776239758177734,0.2724459083641277
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,normuon,360.42385208701415,0.07645782927322894,0.08913977671362835,0.09854352552953657,91.97115557150472,1.4427010188706775,37.02835374072964,0.2534176043887189
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,adamw,4773.426258308449,0.10458559560133353,0.11954166121158019,0.11848735847747009,5.046701666609573,1.4111304805925922,2092.5400352842366,0.38373946573804407
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,muon,398.0496425533459,0.30813828611649996,0.35357786786776885,0.1796879982276628,126.45220945211243,1.5312430527418257,34.35877329144487,0.20589382452442045
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,normuon,398.0376334847884,0.0688051818896976,0.07553324466292996,0.11542856896582047,95.9319634343335,1.5292155042810425,40.85980952080672,0.19387741004400713
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,adamw,4602.267079232015,0.09507158310534536,0.11267216078606433,0.09997092642277974,5.916002818657313,1.4853930616290745,1897.9043793977864,0.34785365946790114
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,muon,384.6767603437738,0.2819663085657655,0.3373468310240236,0.14817519233055118,166.72208106592547,1.6126205368686055,29.539944794704912,0.19530155378229477
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,normuon,384.66529240169814,0.058311596904490996,0.06626494837759919,0.09323551652748868,125.06069242086713,1.6103985202221127,35.44714190501676,0.1834296761827673
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,adamw,4787.045436421704,0.0928315303609094,0.11052943834658914,0.09589915388919297,5.244060425386991,1.5082772621099696,2091.777310287949,0.3897875397600592
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,muon,370.23337216425097,0.2948765651881732,0.35412003455963625,0.15363266409543266,163.93396561093905,1.6660832167131636,28.72104390082079,0.2037129842820652
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,normuon,370.2240200014502,0.06422378672812235,0.07286090497501195,0.09457670317580531,123.1407655044967,1.6636103841712462,34.45748700421352,0.19046214298609107
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,adamw,4790.076191445034,0.09737953333301684,0.11572460872129092,0.09839406946304398,4.853800843618697,1.5169983908771851,2172.34453947486,0.40680613739286514
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,muon,369.1369402551538,0.30001290488241905,0.3586756185467562,0.15897248509094664,158.5665994869981,1.6869658453591707,29.009107559104546,0.20688772388798668
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,normuon,369.12816889707796,0.06748013234176473,0.07627417479354964,0.09770341867696089,118.96258594211095,1.6843663715167962,34.81599342416175,0.1931401193540364
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,adamw,6001.982725380835,0.09636792571126257,0.11380875728829148,0.10323425870920548,4.86593120996475,1.4983191756808538,2723.812552336423,0.3846295487912581
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,muon,467.823827708782,0.30806921278969923,0.3673478534970957,0.16597794318960138,144.32468618870988,1.657199144978437,38.53383178325393,0.20768301141134557
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,normuon,467.8127759054056,0.06699739880315456,0.07575288375869808,0.10049924388827253,107.87238178701189,1.6546391541671515,46.247698564935874,0.19281447124991188
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,adamw,4596.735815247149,0.1100023637541322,0.13179063995598542,0.09786037973120285,3.771970398804014,1.552067381819887,2486.3551713918614,0.48081200438387256
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,muon,363.3258241010207,0.3107579910229591,0.3720001046591847,0.1593203494366566,142.61484148554175,1.772849475086227,31.012177521997053,0.20641545760121574
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,normuon,363.31899516267555,0.06785815395483265,0.07678277660255485,0.0948297469942207,107.50433507602509,1.7699736286074117,37.08237922662383,0.19185083008864345
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,adamw,7366.744083459686,0.10700583732195998,0.1280844165137782,0.09985933376213331,4.51040284011275,1.5081526968392436,3592.2292139690417,0.41173093499028107
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,muon,607.3117371309476,0.3003301702296819,0.3607040246821463,0.15604180241867044,152.66929859311858,1.692819505310229,49.55123379002451,0.20437231349116342
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,normuon,607.297417053271,0.06329755005899718,0.07157124262238969,0.0946451570849735,114.29028935628037,1.6901875750467505,59.37950149074938,0.18996412219370112
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,adamw,7196.176976186779,0.09850284153940418,0.11681911655863748,0.10204418670069083,4.814450788496887,1.4878795942881036,3280.0047107427035,0.3517473662361742
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,muon,566.4180826985033,0.307797852159513,0.3677310089396295,0.1637212297003742,144.66351312654402,1.648570053278081,46.63648934879989,0.20516022254917074
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,normuon,566.4051393065458,0.06668874793992542,0.07569914080538005,0.09862483978182746,107.51583893373392,1.6459497152389642,56.19160930118218,0.19049160804021806
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,adamw,4555.203654382823,0.10725291440997888,0.12839550658885723,0.09872086045340976,3.896218072566182,1.5690790248235755,2414.7355602825146,0.47550600352771777
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,muon,365.08835406317513,0.30409456571888377,0.3644640557053557,0.1576385492318188,143.66100139074075,1.7748558968857222,30.69868756288558,0.20560203743650313
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,normuon,365.0807573248179,0.06909623718411134,0.07808067471974632,0.09642266457089363,108.03349721870708,1.7719641292359567,36.75700139077897,0.19102038925184922
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,adamw,4818.242723995063,0.10321533819493012,0.12407564419128393,0.0952817946726926,3.8898388435494606,1.5286316248772522,2536.854663143652,0.4660891123155859
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,muon,361.6267747391677,0.31095167541976104,0.3736467237810252,0.16194855299459782,142.25405551098075,1.7451927976837343,30.54914949425418,0.21551380382183402
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,normuon,361.6202868494953,0.07330312562203793,0.08333992185522628,0.0976315644306301,106.9501302543375,1.7423112806583165,36.5622685555787,0.19977209816641986
