family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,operator_pair,cosine
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.attn.Wo.weight,768,768,589824,8,83.0160140991211,muon__normuon,0.9998275637626648
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.attn.Wqkv.weight,2304,768,1769472,8,147.376708984375,adamw__muon,0.5219408869743347
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.attn.Wqkv.weight,2304,768,1769472,8,147.376708984375,adamw__normuon,0.5280612111091614
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.attn.Wqkv.weight,2304,768,1769472,8,147.376708984375,muon__normuon,0.9831527471542358
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.mlp.Wi.weight,2304,768,1769472,8,153.02268981933594,adamw__muon,0.5515581965446472
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.mlp.Wi.weight,2304,768,1769472,8,153.02268981933594,adamw__normuon,0.5570333003997803
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.mlp.Wi.weight,2304,768,1769472,8,153.02268981933594,muon__normuon,0.9783859252929688
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.mlp.Wo.weight,768,1152,884736,8,114.65158081054688,adamw__muon,0.52765291929245
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.mlp.Wo.weight,768,1152,884736,8,114.65158081054688,adamw__normuon,0.5276100635528564
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.14.mlp.Wo.weight,768,1152,884736,8,114.65158081054688,muon__normuon,0.9999644756317139
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.attn.Wo.weight,768,768,589824,8,82.3828353881836,adamw__muon,0.4682987630367279
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.attn.Wo.weight,768,768,589824,8,82.3828353881836,adamw__normuon,0.46824145317077637
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.attn.Wo.weight,768,768,589824,8,82.3828353881836,muon__normuon,0.999800980091095
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.attn.Wqkv.weight,2304,768,1769472,8,135.763427734375,adamw__muon,0.5078679919242859
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.attn.Wqkv.weight,2304,768,1769472,8,135.763427734375,adamw__normuon,0.515437662601471
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.attn.Wqkv.weight,2304,768,1769472,8,135.763427734375,muon__normuon,0.975069522857666
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.mlp.Wi.weight,2304,768,1769472,8,152.17886352539062,adamw__muon,0.5427250862121582
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.mlp.Wi.weight,2304,768,1769472,8,152.17886352539062,adamw__normuon,0.5486327409744263
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.mlp.Wi.weight,2304,768,1769472,8,152.17886352539062,muon__normuon,0.9775973558425903
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.mlp.Wo.weight,768,1152,884736,8,113.80013275146484,adamw__muon,0.5580439567565918
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.mlp.Wo.weight,768,1152,884736,8,113.80013275146484,adamw__normuon,0.5579785108566284
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.15.mlp.Wo.weight,768,1152,884736,8,113.80013275146484,muon__normuon,0.9998759031295776
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.attn.Wo.weight,768,768,589824,8,93.45389556884766,adamw__muon,0.45806384086608887
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.attn.Wo.weight,768,768,589824,8,93.45389556884766,adamw__normuon,0.45800167322158813
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.attn.Wo.weight,768,768,589824,8,93.45389556884766,muon__normuon,0.9998414516448975
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.attn.Wqkv.weight,2304,768,1769472,8,142.58680725097656,adamw__muon,0.5260052680969238
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.attn.Wqkv.weight,2304,768,1769472,8,142.58680725097656,adamw__normuon,0.5291492342948914
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.attn.Wqkv.weight,2304,768,1769472,8,142.58680725097656,muon__normuon,0.9874836206436157
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.mlp.Wi.weight,2304,768,1769472,8,151.3421630859375,adamw__muon,0.5404592156410217
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.mlp.Wi.weight,2304,768,1769472,8,151.3421630859375,adamw__normuon,0.5480061769485474
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.mlp.Wi.weight,2304,768,1769472,8,151.3421630859375,muon__normuon,0.970467746257782
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.mlp.Wo.weight,768,1152,884736,8,118.5451889038086,adamw__muon,0.5187737345695496
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.mlp.Wo.weight,768,1152,884736,8,118.5451889038086,adamw__normuon,0.5187079906463623
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.16.mlp.Wo.weight,768,1152,884736,8,118.5451889038086,muon__normuon,0.9999627470970154
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.attn.Wo.weight,768,768,589824,8,93.11888885498047,adamw__muon,0.4684228301048279
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.attn.Wo.weight,768,768,589824,8,93.11888885498047,adamw__normuon,0.468291312456131
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.attn.Wo.weight,768,768,589824,8,93.11888885498047,muon__normuon,0.9998099207878113
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.attn.Wqkv.weight,2304,768,1769472,8,142.69451904296875,adamw__muon,0.5183349847793579
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.attn.Wqkv.weight,2304,768,1769472,8,142.69451904296875,adamw__normuon,0.5305071473121643
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.attn.Wqkv.weight,2304,768,1769472,8,142.69451904296875,muon__normuon,0.9660470485687256
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.mlp.Wi.weight,2304,768,1769472,8,152.59014892578125,adamw__muon,0.5277516841888428
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.mlp.Wi.weight,2304,768,1769472,8,152.59014892578125,adamw__normuon,0.5346782803535461
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.mlp.Wi.weight,2304,768,1769472,8,152.59014892578125,muon__normuon,0.9729212522506714
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.mlp.Wo.weight,768,1152,884736,8,121.40139770507812,adamw__muon,0.5032974481582642
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.mlp.Wo.weight,768,1152,884736,8,121.40139770507812,adamw__normuon,0.5031803250312805
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.17.mlp.Wo.weight,768,1152,884736,8,121.40139770507812,muon__normuon,0.9998959302902222
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.attn.Wo.weight,768,768,589824,8,110.52703857421875,adamw__muon,0.41179388761520386
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.attn.Wo.weight,768,768,589824,8,110.52703857421875,adamw__normuon,0.41167211532592773
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.attn.Wo.weight,768,768,589824,8,110.52703857421875,muon__normuon,0.999594509601593
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.attn.Wqkv.weight,2304,768,1769472,8,139.40750122070312,adamw__muon,0.5012515187263489
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.attn.Wqkv.weight,2304,768,1769472,8,139.40750122070312,adamw__normuon,0.5068022608757019
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.attn.Wqkv.weight,2304,768,1769472,8,139.40750122070312,muon__normuon,0.9788291454315186
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.mlp.Wi.weight,2304,768,1769472,8,150.54563903808594,adamw__muon,0.49652862548828125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.mlp.Wi.weight,2304,768,1769472,8,150.54563903808594,adamw__normuon,0.503435492515564
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.mlp.Wi.weight,2304,768,1769472,8,150.54563903808594,muon__normuon,0.974509596824646
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.mlp.Wo.weight,768,1152,884736,8,122.41370391845703,adamw__muon,0.4779931604862213
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.mlp.Wo.weight,768,1152,884736,8,122.41370391845703,adamw__normuon,0.4779421389102936
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.18.mlp.Wo.weight,768,1152,884736,8,122.41370391845703,muon__normuon,0.9999078512191772
