family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensors,parameters,weight_frobenius_norm,gradient_frobenius_norm,global_gradient_to_weight,row_norm_cv_parameter_weighted,row_norm_gini_parameter_weighted,row_norm_max_to_median_parameter_weighted,column_norm_cv_parameter_weighted,column_norm_gini_parameter_weighted,column_norm_max_to_median_parameter_weighted,top_1pct_row_energy_parameter_weighted,top_10pct_row_energy_parameter_weighted,spectral_norm_parameter_weighted,approx_stable_rank_parameter_weighted,sketched_nuclear_norm_parameter_weighted,sketched_entropy_effective_rank_parameter_weighted,captured_frobenius_energy_parameter_weighted
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,88,110297088,1158.5445461291922,0.8092006133914522,0.0006984630984583792,0.6064527470638408,0.29771676188027624,8.357780097640134,0.6974057975937339,0.19954249439486152,15.147027186531433,0.1223215994619351,0.4262453845956109,0.05187311903747884,3.3698122976298,0.4403452140622757,41.77777557067055,0.9820838301258291
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,88,110297088,1158.477674063596,0.8406638660068207,0.0007256625525272502,0.687502605352491,0.32396101262638033,10.46879654262155,0.8007872291108503,0.2198628836175996,18.039309502922915,0.1500206727554454,0.46919362804787684,0.06035862293313531,2.572971873104891,0.41988590640578677,39.670060897255965,0.981354264014545
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,88,110297088,1158.3333543152469,0.8391500446421702,0.00072444606858294,0.7081240883724574,0.3327153274477148,11.108664529846314,0.8310833598840683,0.22548526840473382,19.04841312112655,0.15414341629786607,0.4802849354511276,0.062142025786427094,2.412749677737129,0.41294683110626307,38.3946134036875,0.9854258166596214
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,88,110297088,1158.3201615370792,0.8342624048657589,0.0007202347266050355,0.705659217136429,0.332956350852994,11.01597509282158,0.8359289784482457,0.22652280225587004,19.211301373925437,0.1512504775216554,0.478426268473666,0.06155273049352641,2.4492925134572117,0.40557184651055755,37.91882857664384,0.9857197762491868
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,88,110297088,1152.5233084674264,0.6567295468287923,0.0005698188852267826,0.6972001181008981,0.32973940823633563,10.624354919010305,0.7925193241254531,0.22160226963352908,18.01325139769896,0.14588302831080827,0.46996970642059244,0.04633886985640156,2.67811353671997,0.32991332595640005,38.59947300467262,0.9835375684467866
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,88,110297088,1141.4947767098197,0.8220526786896861,0.0007201545687831568,0.7241832763355046,0.3408803886626271,12.002519167680791,0.7870516303707572,0.23388745543990563,17.663760019496163,0.15781451220858225,0.4853719554961046,0.05766074208761839,2.554792713991461,0.36861702486035974,36.08024466866478,0.9891598508319753
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,88,110297088,1137.6976367828233,0.50496034029952,0.00044384406187872967,0.7187335113471842,0.3373853138631718,11.534500681142756,0.7942758460733342,0.23005452527612605,17.799007159503386,0.15506593274440675,0.4836409593568766,0.0360489815852062,2.520231239298448,0.23709440447967797,37.787464723230045,0.9842890330495682
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,88,110297088,1152.5287649423756,0.5401946161173579,0.00046870380379995693,0.7009002001368426,0.3307626762184702,10.911759493185237,0.8016700452980511,0.2222922591456817,18.17946616086093,0.14864802276865047,0.47432900088674884,0.038290261089263915,2.6497961359228044,0.2692773323804937,38.80137475161629,0.982844570422555
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,88,110297088,1141.4981833651816,0.8238932422975953,0.0007217648300312889,0.7264128422593688,0.3415589861608553,11.926406813177833,0.7947421327313,0.2346294707109752,17.85897553540806,0.15701359872990114,0.48737857813503654,0.058228610723433806,2.5741840473470843,0.36509355318976594,36.04004161753119,0.9885310482851324
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,88,110297088,1137.699297748932,0.818582498246259,0.0007195069029803552,0.7280474852192849,0.3412732038849337,11.606207533953661,0.8049216440973435,0.23414727698572965,18.060776757683982,0.1573022003957932,0.48798293978932067,0.058545841770694856,2.515831169597605,0.36822636559964184,36.65150079370182,0.9870949368425869
