family,anchor,condition,algorithm,direction,relative_scale,samples,contrastive_loss,delta_contrastive_loss,positive_score,delta_positive_score,hardest_negative_score,delta_hardest_negative_score,positive_margin,delta_positive_margin,reciprocal_rank,delta_reciprocal_rank,top1_accuracy,delta_top1_accuracy,loss_improvement_rate
dense,dense/adamw-lr1e-5/checkpoint-3907,normuon-sign-reversal-1e-03,normuon,sign_reversal,0.001,224,0.6431208250317013,0.005774416030882483,0.6261073521205357,0.002650669642857143,0.5904279436383929,0.0031040736607142855,0.035679408482142856,-0.00045340401785714287,0.8688988104196531,-0.0023065475480897085,0.7857142857142857,0.0,0.41517857142857145
dense,dense/muon-lr1e-3/checkpoint-782,adamw-descent-1e-04,adamw,descent,0.0001,224,0.6192099291482529,0.0030964093969357365,0.6710553850446429,3.487723214285714e-05,0.6393083844866071,0.00018310546875,0.03174700055803571,-0.00014822823660714285,0.8740327386850757,-0.002232142923665898,0.78125,-0.004464285714285714,0.36160714285714285
dense,dense/muon-lr1e-3/checkpoint-782,adamw-descent-3e-04,adamw,descent,0.0003,224,0.6153853165837323,-0.0007282031675848495,0.67138671875,0.0003662109375,0.6393955775669643,0.00027029854910714287,0.03199114118303571,9.591238839285714e-05,0.877380952904267,0.0011160712955253465,0.7857142857142857,0.0,0.44642857142857145
dense,dense/muon-lr1e-3/checkpoint-782,adamw-descent-1e-03,adamw,descent,0.001,224,0.6135065376205863,-0.002606982130730882,0.6727643694196429,0.0017438616071428572,0.6407209123883929,0.0015956333705357143,0.03204345703125,0.00014822823660714285,0.8767857149110309,0.0005208333022892475,0.7857142857142857,0.0,0.4375
dense,dense/muon-lr1e-3/checkpoint-782,adamw-sign-reversal-1e-03,adamw,sign_reversal,0.001,224,0.635091992326904,0.018978472575586887,0.6700962611607143,-0.0009242466517857143,0.6391775948660714,5.231584821428571e-05,0.030918666294642856,-0.0009765625,0.866071429236659,-0.010193452372082643,0.7678571428571429,-0.017857142857142856,0.39732142857142855
dense,dense/muon-lr1e-3/checkpoint-782,muon-descent-1e-04,muon,descent,0.0001,224,0.6186109655263863,0.0024974457750691465,0.6712995256696429,0.00027901785714285713,0.6394130161830357,0.00028773716517857144,0.031886509486607144,-8.719308035714285e-06,0.8792410719740603,0.002976190365318741,0.7901785714285714,0.004464285714285714,0.32142857142857145
dense,dense/muon-lr1e-3/checkpoint-782,muon-descent-3e-04,muon,descent,0.0003,224,0.611966507535856,-0.004147012215461083,0.6709333147321429,-8.719308035714286e-05,0.6390206473214286,-0.00010463169642857142,0.03191266741071429,1.743861607142857e-05,0.8807291672565043,0.0044642856477626735,0.7901785714285714,0.004464285714285714,0.4732142857142857
dense,dense/muon-lr1e-3/checkpoint-782,muon-descent-1e-03,muon,descent,0.001,224,0.6218191094711594,0.005705589719842205,0.6703055245535714,-0.0007149832589285714,0.6384102957589286,-0.0007149832589285714,0.031895228794642856,0.0,0.8729166671899813,-0.003348214418760368,0.7767857142857143,-0.008928571428571428,0.4642857142857143
dense,dense/muon-lr1e-3/checkpoint-782,muon-sign-reversal-1e-03,muon,sign_reversal,0.001,224,0.6273789949947448,0.011265475243427707,0.6716831752232143,0.0006626674107142857,0.6405378069196429,0.0014125279017857143,0.031145368303571428,-0.0007498604910714286,0.873139881595437,-0.003125000013304608,0.7767857142857143,-0.008928571428571428,0.35714285714285715
dense,dense/muon-lr1e-3/checkpoint-782,normuon-descent-1e-04,normuon,descent,0.0001,224,0.6204296484515258,0.004316128700208667,0.6710379464285714,1.743861607142857e-05,0.6392996651785714,0.00017438616071428572,0.03173828125,-0.00015694754464285715,0.8755208339675197,-0.0007440476412219661,0.78125,-0.004464285714285714,0.3392857142857143
dense,dense/muon-lr1e-3/checkpoint-782,normuon-descent-3e-04,normuon,descent,0.0003,224,0.614355815619092,-0.0017577041322251066,0.6712995256696429,0.00027901785714285713,0.6392560686383929,0.00013078962053571428,0.03204345703125,0.00014822823660714285,0.8784970243993614,0.002232142790619816,0.7857142857142857,0.0,0.39732142857142855
dense,dense/muon-lr1e-3/checkpoint-782,normuon-descent-1e-03,normuon,descent,0.001,224,0.6168466947154749,0.0007331749641577647,0.6706717354910714,-0.00034877232142857144,0.6385846819196429,-0.0005405970982142857,0.03208705357142857,0.00019182477678571428,0.8771577385653343,0.000892856956592628,0.7857142857142857,0.0,0.48660714285714285
dense,dense/muon-lr1e-3/checkpoint-782,normuon-sign-reversal-1e-03,normuon,sign_reversal,0.001,224,0.6236795737485019,0.0075660539971847485,0.6713344029017857,0.0003138950892857143,0.6399623325892857,0.0008370535714285714,0.0313720703125,-0.0005231584821428571,0.8688244053295681,-0.007440476279173579,0.7678571428571429,-0.017857142857142856,0.38392857142857145
dense,dense/muon-lr1e-3/checkpoint-2345,adamw-descent-1e-04,adamw,descent,0.0001,224,0.58468631573617,-0.0021801790997934794,0.6559622628348214,-0.00027901785714285713,0.6202043805803571,-0.00034005301339285713,0.03575788225446429,6.103515625e-05,0.8860969395110649,-0.0003720237208264215,0.8080357142857143,0.0,0.5178571428571429
dense,dense/muon-lr1e-3/checkpoint-2345,adamw-descent-3e-04,adamw,descent,0.0003,224,0.581171026202875,-0.0056954686330884996,0.6554129464285714,-0.0008283342633928571,0.61920166015625,-0.0013427734375,0.03621128627232143,0.0005144391741071429,0.8857249156571925,-0.000744047574698925,0.8080357142857143,0.0,0.5758928571428571
dense,dense/muon-lr1e-3/checkpoint-2345,adamw-descent-1e-03,adamw,descent,0.001,224,0.5699494899645288,-0.016917004871434722,0.6539393833705357,-0.0023018973214285715,0.6169172014508929,-0.003627232142857143,0.037022181919642856,0.0013253348214285715,0.8857249156571925,-0.000744047574698925,0.8080357142857143,0.0,0.65625
dense,dense/muon-lr1e-3/checkpoint-2345,adamw-sign-reversal-1e-03,adamw,sign_reversal,0.001,224,0.6175667413143466,0.030700246478383115,0.6595197405133929,0.0032784598214285715,0.6260463169642857,0.005501883370535714,0.033473423549107144,-0.002223423549107143,0.8749362253583968,-0.011532737873494625,0.7901785714285714,-0.017857142857142856,0.24107142857142858
dense,dense/muon-lr1e-3/checkpoint-2345,muon-descent-1e-04,muon,descent,0.0001,224,0.5874609088711752,0.0005944140352117497,0.6560756138392857,-0.00016566685267857144,0.6203090122767857,-0.00023542131696428572,0.0357666015625,6.975446428571428e-05,0.8860969395110649,-0.0003720237208264215,0.8080357142857143,0.0,0.45535714285714285
dense,dense/muon-lr1e-3/checkpoint-2345,muon-descent-3e-04,muon,descent,0.0003,224,0.5852865276510784,-0.0015799671848851307,0.6554914202008929,-0.0007498604910714286,0.6197073800223214,-0.0008370535714285714,0.03578404017857143,8.719308035714286e-05,0.8831207490792232,-0.0033482141526682036,0.8035714285714286,-0.004464285714285714,0.5357142857142857
dense,dense/muon-lr1e-3/checkpoint-2345,muon-descent-1e-03,muon,descent,0.001,224,0.5785693344775739,-0.008297160358389582,0.6547415597098214,-0.0014997209821428572,0.6185564313616071,-0.001988002232142857,0.03618512834821429,0.00048828125,0.8909332489461771,0.004464285714285714,0.8169642857142857,0.008928571428571428,0.6205357142857143
dense,dense/muon-lr1e-3/checkpoint-2345,muon-sign-reversal-1e-03,muon,sign_reversal,0.001,224,0.6021572113824212,0.015290716546457719,0.6586390904017857,0.0023978097098214285,0.6239449637276786,0.0034005301339285715,0.034694126674107144,-0.0010027204241071428,0.8771683680824935,-0.00930059514939785,0.7901785714285714,-0.017857142857142856,0.28125
dense,dense/muon-lr1e-3/checkpoint-2345,normuon-descent-1e-04,normuon,descent,0.0001,224,0.5827437095766592,-0.004122785259304302,0.6561104910714286,-0.00013078962053571428,0.6204310825892857,-0.00011335100446428572,0.035679408482142856,-1.743861607142857e-05,0.8868409870857639,0.00037202385387250355,0.8080357142857143,0.0,0.4419642857142857
dense,dense/muon-lr1e-3/checkpoint-2345,normuon-descent-3e-04,normuon,descent,0.0003,224,0.5873346433318147,0.0004681484958512426,0.6557878766741071,-0.00045340401785714287,0.6200997488839286,-0.00044468470982142856,0.03568812779017857,-8.719308035714285e-06,0.8838647966539221,-0.0026041665779692785,0.8035714285714286,-0.004464285714285714,0.4955357142857143
