family,anchor,challenger,reference,direction,relative_scale,samples,delta_delta_contrastive_loss,delta_delta_positive_score,delta_delta_hardest_negative_score,delta_delta_positive_margin,delta_delta_reciprocal_rank,delta_delta_top1_accuracy
dense,dense/adamw-lr1e-5/checkpoint-3907,muon,adamw,descent,0.001,224,-0.0015669150674771767,0.0023978097098214285,0.0023890904017857145,8.719308035714285e-06,-0.005208333155938557,-0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-3907,muon,adamw,sign_reversal,0.001,224,-0.01112623314497796,-0.0024501255580357145,-0.002711704799107143,0.00026157924107142856,-0.0041666664848370215,-0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-3907,normuon,adamw,descent,0.0001,224,0.004598681661280223,0.00015694754464285715,0.00030517578125,-0.00014822823660714285,-0.0031994047042514595,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,normuon,adamw,descent,0.0003,224,0.005679503135005299,0.0005057198660714286,0.0008283342633928571,-0.00032261439732142856,0.0010416667376245772,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,normuon,adamw,descent,0.001,224,0.002341023975402225,0.003173828125,0.0033656529017857145,-0.00019182477678571428,-0.002232142857142857,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,normuon,adamw,sign_reversal,0.001,224,-0.011944053147203704,-0.002903529575892857,-0.00347900390625,0.0005754743303571429,-0.003273809461721352,-0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-782,muon,adamw,descent,0.0001,224,-0.0005989636218665899,0.000244140625,0.00010463169642857142,0.00013950892857142856,0.005208333288984639,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-782,muon,adamw,descent,0.0003,224,-0.0034188090478762334,-0.00045340401785714287,-0.0003749302455357143,-7.847377232142858e-05,0.003348214352237327,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-782,muon,adamw,descent,0.001,224,0.008312571850573087,-0.0024588448660714285,-0.0023106166294642855,-0.00014822823660714285,-0.0038690477210496154,-0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-782,muon,adamw,sign_reversal,0.001,224,-0.0077129973321591805,0.0015869140625,0.0013602120535714285,0.00022670200892857144,0.0070684523587780336,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.0001,224,0.0012197193032729306,-1.743861607142857e-05,-8.719308035714285e-06,-8.719308035714285e-06,0.0014880952824439322,0.0
dense,dense/muon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.0003,224,-0.0010295009646402572,-8.719308035714286e-05,-0.00013950892857142856,5.231584821428571e-05,0.0011160714950944697,0.0
dense,dense/muon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.001,224,0.0033401570948886467,-0.0020926339285714285,-0.00213623046875,4.359654017857143e-05,0.00037202365430338044,0.0
dense,dense/muon-lr1e-3/checkpoint-782,normuon,adamw,sign_reversal,0.001,224,-0.01141241857840214,0.0012381417410714285,0.0007847377232142857,0.00045340401785714287,0.0027529760929090635,0.0
