family,algorithm,direction,relative_scale,anchors,mean_anchor_delta_contrastive_loss,median_anchor_delta_contrastive_loss,mean_anchor_delta_positive_score,median_anchor_delta_positive_score,mean_anchor_delta_hardest_negative_score,median_anchor_delta_hardest_negative_score,mean_anchor_delta_positive_margin,median_anchor_delta_positive_margin,mean_anchor_delta_reciprocal_rank,median_anchor_delta_reciprocal_rank,mean_anchor_delta_top1_accuracy,median_anchor_delta_top1_accuracy,anchors_with_lower_loss_fraction,mean_sample_loss_improvement_rate
dense,normuon,sign_reversal,0.001,10,0.008769390530833985,0.006934352554513421,0.0012747628348214286,0.0013514927455357143,0.0018668038504464283,0.002262660435267857,-0.000592041015625,-0.0005841936383928572,-0.002120535681024194,-0.002083333275680031,-0.003125,-0.002232142857142857,0.1,0.38973214285714286
late,adamw,descent,0.0001,10,0.0020380098654659744,0.002988330025642456,-0.00043747925332614354,-0.00039675712053264893,-0.0005158189418060439,-0.0004666693774717195,7.833968847990037e-05,8.086979921375002e-05,0.00011373299307056834,0.0,0.0004464285714285714,0.0,0.2,0.31160714285714286
late,adamw,descent,0.0003,10,0.007340447750097992,0.006306577761318107,-0.0013248928423438752,-0.0011681669524737767,-0.0015567334634917123,-0.00137106076415096,0.00023184062114783694,0.00021596186395202364,0.00026466835822377884,0.0,0.0004464285714285714,0.0,0.0,0.35580357142857144
late,adamw,descent,0.001,10,0.023101780602770926,0.01840582339842689,-0.004553667509130069,-0.0039006854806627545,-0.005337167930390153,-0.004594886409384864,0.0007835004212600844,0.0007290468950356757,-0.0001413690458450999,-0.00018601192693625177,-0.0013392857142857143,0.0,0.1,0.3772321428571429
late,adamw,sign_reversal,0.001,10,-0.020848662487119123,-0.01844957755857985,0.004230242275765964,0.003783550512577806,0.005006509939474719,0.00448381169033902,-0.000776267663708755,-0.0007429189447845731,0.0004257015484784331,-5.314628859715802e-05,0.0013392857142857143,0.0,0.9,0.14821428571428572
late,muon,descent,0.0001,10,0.0008583174220912276,0.0010622294639480564,-0.00022264474204608374,-0.00019697552280766625,-0.0002607048356107303,-0.00023326344255890165,3.806009356464658e-05,3.849794822079795e-05,-0.00017378824496907844,-1.3286547203149115e-05,0.0,0.0,0.4,0.278125
late,muon,descent,0.0003,10,0.004072599094774269,0.004035075705913802,-0.0006648366206458637,-0.0005843956023454666,-0.0007778967863747052,-0.0006824943370052747,0.0001130601657288415,0.00010297141437019621,-0.0005128614005765744,-5.31462553356375e-05,-0.0008928571428571428,0.0,0.1,0.31741071428571427
late,muon,descent,0.001,10,0.012406249346430042,0.011296313806232385,-0.0022396222023027285,-0.0019264979554074152,-0.0026255216981683456,-0.002278458060962813,0.0003858994958656175,0.0003563121759465762,9.619472548365589e-05,-0.00020461309967296465,-0.0004464285714285714,0.0,0.0,0.3633928571428572
late,muon,sign_reversal,0.001,10,-0.011037621739686334,-0.01006874592466473,0.002163158410361835,0.0018974275195172855,0.002546589502266475,0.0022543325488056454,-0.0003834310919046402,-0.00035690502928836007,-1.7538247630000093e-05,-7.440479073141302e-05,0.0004464285714285714,0.0,0.9,0.1549107142857143
late,normuon,descent,0.0001,10,0.0006235219534047789,0.0008491928883204,-0.0001953556335398129,-0.00018485848392759053,-0.00022726625736270634,-0.00020943661885602135,3.191062382289342e-05,2.923368343285152e-05,-0.0005755739685680184,-7.440472420837198e-05,-0.0008928571428571428,0.0,0.4,0.275
late,normuon,descent,0.0003,10,0.0034383536628846204,0.0035214142266624905,-0.000581659802368709,-0.0005036450124212674,-0.0006790315732359886,-0.0005866370296904019,9.73717708672796e-05,8.564748402152742e-05,-0.00019717262392597535,0.0,-0.0004464285714285714,0.0,0.2,0.3098214285714286
late,normuon,descent,0.001,10,0.011140831999603248,0.011268451580554704,-0.001982676557132176,-0.001694484879927976,-0.0023135150117533547,-0.0019873948767781258,0.0003308384546211788,0.0002966314288122314,0.00036458333155938555,-5.0488925938095364e-05,0.0,0.0,0.0,0.35714285714285715
late,normuon,sign_reversal,0.001,10,-0.00854631375746434,-0.008009896065474864,0.001916018926671573,0.0016571725053446634,0.0022472960342253957,0.0019611605842198643,-0.00033127710755382267,-0.0003039880788752011,-9.566325295184335e-05,-0.00018601186041321074,0.0004464285714285714,0.0,0.9,0.15714285714285714
