suite,model_family,optimizer,learning_rate,aux_learning_rate,run_id,training_seed,stage,fraction,checkpoint_step,tasks_completed,mean_ndcg_at_10,median_ndcg_at_10,standard_deviation_ndcg_at_10,minimum_ndcg_at_10,maximum_ndcg_at_10,source_partition,formal_source_stage5,joined_summary_role,joined_summary_used_for_formal_inference,source_result_set_sha256
confirmatory,dense,muon,0.003,3e-06,muon-selected,271828,3,0.6,2345,14,0.5376521428571429,0.500175,0.26705692529011144,0.08391,0.91842,dynamics-stage1-4,False,descriptive-only,False,2303f63378773882795e3341209e7360c106174f38e704a25d9580d1f105c7e0
confirmatory,dense,muon,0.003,3e-06,muon-selected,271828,4,0.8,3126,14,0.5516178571428572,0.5304850000000001,0.26270357149071955,0.09146,0.91931,dynamics-stage1-4,False,descriptive-only,False,09053a777e5ab825fe850cad578b54c1445b496ee5a8d6762cc760b5193bea12
confirmatory,dense,muon,0.003,3e-06,muon-selected,271828,5,1.0,3907,14,0.5606542857142857,0.5442549999999999,0.26549918925661214,0.09705,0.92193,formal-stage5,True,descriptive-only,False,42748a842305bfa1896cbf0cea266a43a9555ec7d8f83652046ece5a4e5dd5ce
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,271828,1,0.2,782,14,0.5333942857142857,0.49760000000000004,0.2544320669287436,0.10352,0.88906,dynamics-stage1-4,False,descriptive-only,False,ae51aa7b1f5bd65dcd079eea91f90c5ed9cf93e16a5e533504ed5a558e674d97
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,271828,2,0.4,1563,14,0.5311521428571429,0.50397,0.26048021688463274,0.10028,0.91555,dynamics-stage1-4,False,descriptive-only,False,ddc041642e89476c073e27fa64a9b5e8302e3889baac20407663bb151eb306fe
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,271828,3,0.6,2345,14,0.5365571428571428,0.508265,0.2654362676379229,0.0936,0.91525,dynamics-stage1-4,False,descriptive-only,False,792e97bc15f1bc6374ebff7c215984f1007a0c232575fc88015a9caf6f537163
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,271828,4,0.8,3126,14,0.5505914285714285,0.530545,0.25529364336155397,0.10318,0.91928,dynamics-stage1-4,False,descriptive-only,False,e14f09e5cd3b1f1d44fe8c64932c3aac9a25331cece2dfc98736d48d4b033182
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,271828,5,1.0,3907,14,0.5550621428571428,0.531415,0.2666381757357597,0.10047,0.92228,formal-stage5,True,descriptive-only,False,a5d789bf058ab55212f0dbe240c30d9875bf3ed67b8fce15fa0ca184ab1b551d
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,314159,1,0.2,782,14,0.5831235714285714,0.56021,0.2612603468246936,0.14971,0.91456,dynamics-stage1-4,False,descriptive-only,False,1fb23114e408110df91055368fcf872bf8a74463a6a6a3b45ef6f23894995246
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,314159,2,0.4,1563,14,0.5885607142857143,0.564875,0.2624999410466406,0.1474,0.93964,dynamics-stage1-4,False,descriptive-only,False,f2955a8e5cc3e1daf7b4a0df05bffb285224e68e48f6893220f8c5c3887683b9
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,314159,3,0.6,2345,14,0.59026,0.55949,0.26183873744839864,0.15171,0.93964,dynamics-stage1-4,False,descriptive-only,False,968111f236758eea6e4521d4163605727225716f4cc5f3cfeb33ab203dce5750
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,314159,4,0.8,3126,14,0.5918071428571429,0.563975,0.2598696455485923,0.15651,0.93964,dynamics-stage1-4,False,descriptive-only,False,1da655f45f3409460af8742f96b29072e4c28bccf0808b9a7377da8dd46b1e83
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,314159,5,1.0,3907,14,0.5912764285714286,0.563035,0.2609569390478914,0.15177,0.93964,formal-stage5,True,descriptive-only,False,9015e523b6c5a5e373a8addf8b1336338ca25ba03d6ae8f39c99e4a2bbbfb5ac
confirmatory,dense,muon,0.003,3e-06,muon-selected,314159,1,0.2,782,14,0.5365807142857143,0.49432,0.26725119086903687,0.1212,0.90942,dynamics-stage1-4,False,descriptive-only,False,bd02ab4168572b4ff254fbf4848a63432c8c0dacdc87af388831f7c3c0f77568
confirmatory,dense,muon,0.003,3e-06,muon-selected,314159,2,0.4,1563,14,0.5367342857142857,0.49302999999999997,0.27085810501637425,0.09573,0.90712,dynamics-stage1-4,False,descriptive-only,False,79f50225d582700d127c6852ef3a13ff26caf1d55fb06356637589f26b8d93bd
confirmatory,dense,muon,0.003,3e-06,muon-selected,314159,3,0.6,2345,14,0.5355871428571428,0.49799000000000004,0.2676826089774597,0.08761,0.91109,dynamics-stage1-4,False,descriptive-only,False,86a724a3c87f3b042144e05d0db8164ec1aec57e658b52f8b4ac1082ee9781ae
confirmatory,dense,muon,0.003,3e-06,muon-selected,314159,4,0.8,3126,14,0.5519157142857143,0.521455,0.2633945477989324,0.10246,0.92118,dynamics-stage1-4,False,descriptive-only,False,12f100af562b1c223a0a3256f308383c973fe6ce0016807f52f11f1bf5c6faad
confirmatory,dense,muon,0.003,3e-06,muon-selected,314159,5,1.0,3907,14,0.5568064285714286,0.5325150000000001,0.2622829289038609,0.10402,0.92203,formal-stage5,True,descriptive-only,False,1d34458f1013b138cfd093323b2340c76627fe292fe13b466d6bf86adcdd823b
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,314159,1,0.2,782,14,0.5494564285714286,0.50954,0.26759665408988587,0.13296,0.91348,dynamics-stage1-4,False,descriptive-only,False,d27488cdd19bd8d1dd076191a6e3ea770facbec8275ef27a16df557a3e6449f2
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,314159,2,0.4,1563,14,0.5380142857142857,0.49905,0.27229929034885453,0.09524,0.92545,dynamics-stage1-4,False,descriptive-only,False,f927b85cf7251efd6c76583475cc51e04fec3baffaece1a60471356a2822369e
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,314159,3,0.6,2345,14,0.5492007142857143,0.51451,0.26144326304639587,0.11766,0.91802,dynamics-stage1-4,False,descriptive-only,False,78daa43445d277a7245625540941f2016af43a077c2022b5563fae9bec3e3719
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,314159,4,0.8,3126,14,0.555915,0.526925,0.257128243815916,0.11363,0.92195,dynamics-stage1-4,False,descriptive-only,False,6eace74eafaf11ee87a4ed7702c0e6252ee2c39cac000f0548ae3b6189d63e87
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,314159,5,1.0,3907,14,0.5623407142857143,0.5369999999999999,0.26098253766061724,0.11413,0.92379,formal-stage5,True,descriptive-only,False,4c406fac5a418dadb650f880d86c2cd6278204ab28a3417c21ed759c3407abf6
