augmented_numeric_rank,baseline_mse_exact,baseline_rmse,exact_residual_energy,feature,feature_improves,feature_mse_exact,feature_rmse,held_out_dose_index,mse_reduction_exact,rmse_reduction,status,test_rows,train_rows,training_feature_mean,training_feature_scale
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,1226453305578748392530794581510942202299630950818096690658939/5427200988000808681080007000316418800436522090956053945516032,cumulative_displacement_to_weight_ratio,False,2444471704454870654100138279442604904056655348045699344994332448007766358198707643011109160594783970472890956091059624683707/4928922290634879083808720025673245001954119868597438957898981196446427425375043704113256612444983238299509489854121920826572800,0.022269810509536355,1,-32588973879130074709746206053302047324611319571783461435045061471870525229711371682030861254498879406389641740214663753754386565484686002775050059878367960995620829777571246537/4254805462173169063520036611785475783344711062033848445366362510225636935455660290994586172134661856510408146337521495855592812634182963165940978770713567150806784648784231664844800,-0.0001726358787836828,resolved,15,45,0.3016511953546,0.07292812078816852
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,1207323053877042138970304740870573082175986671587558451824409/5136474854751375032111859702824458633093733908054302303191040,cumulative_displacement_to_weight_ratio,False,58443284723475775056539498262925268931927314645244726066645666054670344322511037449923717170500796150617251432664659354549/764217370305095110718526642300427004383321028279120909421220347156005211989990125282858466107082233460909330525359020064636928,0.00874498071425974,2,-8401440173465953572625633990940414636319946477376435153714867885254019707636978883040272511053331747560143516770432953359731428946804835524802636095127011716723480866521728373/378183988611638480664858174843489651976301708983633429656996438101794670174239229240960641901615625053547147465357186446545515978695194399326388170151978573130898157548181138178048,-0.0013788780421546817,resolved,15,45,0.3018782984084882,0.07357332014539833
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,478311842699461395408292572229507717708269980736058715543333/2282877713222833347605270979033092725819437292468578801418240,cumulative_displacement_to_weight_ratio,False,5629040165160268561483119851673796396617952535563867610736577252280028623762784290862712502510877367142514930870866754817/89960828973831016171637742605124334728039450893003290467826757565818512571835722925898934576758943441478433461790604875137024,0.007910254371156044,3,-370066243529925525618290603462629420861136812568791016370021030963987051452326446762110313203248122990155978659058008544614313504474358277034420478362410905206254000615639459/44518413794429346327423837366457880645926985531345049526323260307937634423923341004844474516077242474764231498303816621044333555279398698583476959787875517744513295283179925929984,-0.0005441516990509861,resolved,15,45,0.31217448523012586,0.07161165518982256
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,2975608261267969769448310402833444215642064293976708361691129/13568002470002021702700017500791047001091305227390134863790080,cumulative_displacement_to_weight_ratio,True,559902855339145285879352176523331186809963507238205526086217200762672168962648534668719965119850262502063812423584977450107/1160543538318696807190904634299521363040077881759382532753291785251208947544826222848864831553435766005558577350154295003185152,0.021964717513531958,4,5846926261727315812446102699965588249014453880131220387008019101996245505106860770891245095705180128060517372833127605817934574418601228045486925609509593544505556196817171447/1001818794203820549878505416433734207048443341206816618948986887841364531726331457563871631366014857189521479988423917623051033335281351106355221109175912810934596505207096538693632,0.00013245711722071303,resolved,15,45,0.29892909105227733,0.0748951300002162
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,5810495299688144763047174832324929004308618407603099174751933/27136004940004043405400035001582094002182610454780269727580160,cumulative_stable_rank_fraction,True,1001226936127576386143672475015426452040803638389934260839124904186666373164708499687287776123199237785671528790745991073449/2212616970416817649936479012245961365042612632764664563489483528049709590009781129559586880621320927959313587828954709130543104,0.021272236021272907,1,133465545513203043591872723972989569612550830721055804236284702970696374683391974881908418148295460822677775570566007082986558696803877430646192977304928869922471418334612957/3730473979145252798243393162841439271726352257219888486118582073328119722228264997019132347404291246393890464531766416299262031075625427041639536482929760004293337281027750124672,0.0008249386094797652,resolved,15,45,0.30302513627802175,0.0721504468083453
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,19216846985828204571395764741927170926250042282705202975312009/82183597676022000513789755245191338129499742528868836851056640,cumulative_stable_rank_fraction,False,1705106314462850472255304889893439309036483208576379325220768540385679516440928575900037375331129239078965193227228988929703/24201606468516875551851528890445054462207041938682141271633065932760629262771306238480596840863392597351988328867489357239484416,0.008393703690812437,2,-96978583307850091583385627973521467245353145119295173469261453997623801901364940039702070928103733832545623542099593219769613324366026219874139810457963635125968073091028579603/5988257020001368442132343623565503769939452625006834953030928144576899189219933494614826449114936453248551964622375983952069866668758148030312152259985802639827789058136676346134528,-0.0010276010187073783,resolved,15,45,0.30931310090065184,0.07415061524761876
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,432163326026012809343076785946705537022725013676355471113873/2054589941900550012844743881129783453237493563221720921276416,cumulative_stable_rank_fraction,False,944637947336329783231529602535060356060313046725280209772041823783067299542037668459880937700531119308232460016162249047/13769820268599644681696320685960422945216269484328580316210941737095447794484285146859545951517397000579513114640363857190912,0.008282635663992828,3,-781865271234177410002667382325284163608168533240140983027305125833199284760075170188411711674379383429706825930064219053702852978778423066420800794413992418689266669034543239/54513553384063169603695115739515620953122130765608221121803950838413140868938054974845340600643704216701738766034861938751436769267373375774056424967581907347391889064077269467136,-0.0009165329918877695,resolved,15,45,0.2919752694103003,0.07140900017342258
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,23957181491729531588742984931108786228525863161219432823618883/108544019760016173621600140006328376008730441819121078910320640,cumulative_stable_rank_fraction,True,17032727912323973082122469790562359191949921805710038803638087654703089928897385652602895151443212850488154371469774615074885/37614160774933251649136147918636745410536194947513229350220102393434087549302642961992490443069558706105200267557367589613666304,0.02127974484144484,4,287824851249108664144172624687297280799830930924025511668551537696797306838244080544978662475106940424834189465707430236672844896843070541671437720867402556052659386056484181577/8117440653524250818464807850500603848092821162981380585165966652644044775433346950233833909912197479933880054299358285885499981820399291958808498277333309600882088847942007472930816,0.000817429789307832,resolved,15,45,0.3000989457568718,0.0729249286898285
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,61080650368983761744922106902051884140630995419107469518961/1696000308750252712837502187598880875136413153423766857973760,mean_saved_segment_subspace_overlap_to_adamw,False,16014962919268971988829275593200175477592866181585723242305978411857104923770745371070726851373297848992416644267388674251/31296603339866022030492833178836365077415817185029543187259277193647844335337157908737251314741885578053775177713614762016768,0.022621133665054163,1,-633005730020488755712533278652327314669307030507128368362915229938849191637160945803388702285419023914210750843911642997586105097479009342309289788774557557692705796008431835/27016242291127083121761030761736801293933837349875564859261422362859328417847652194786815569121738557785962732950743998605214701784818251569338158623357961668347226885282320089088,-0.0005239590343014924,resolved,15,45,0.29741334493145866,0.03005636680890829
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,952994412150647059180193119681576314871275625437622038170179/20545899419005500128447438811297834532374935632217209212764160,mean_saved_segment_subspace_overlap_to_adamw,False,11811849973424827435199224047474215692697312363342079514167183981748465642434862729700096821899809199834503585936573961921/119039374077507319259281388301768393089922482533450104501763837787296547601897823991328574002026011356819830294257977529597952,0.009961245503183684,2,-2648928496909916525800429417991692168071871005664024105943960792131363272288215275564611093409596155851118113559077273355905384554130985393496445297179137721356428701326462087/58908351262013255529898160406041215544060073443496811755672942562031673312280283374501570683598052134564768554391962854572290084763580518563559845484858140095881401041548958892032,-0.0025951428310786256,resolved,15,45,0.2941124940191678,0.03391935719431537
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,7302279721624612794480389195067284114052492929796793107101/160514839210980469753495615713264332284179184626696946974720,mean_saved_segment_subspace_overlap_to_adamw,False,1621956996841232244580952382893603455835030519350177303711880696008265099084949771620740643976867188771406041816572613689/28627722867592886121792232382623742051089192956792399629652133988365441553762922495454540810546164457997874302750913632141312,0.007527075384894017,3,-33963519053328430130156844144367082290332817890072327938081550414014658870372393323434872594516692668812890242121015752414902424587088936245096268021335025022961695400689505/14166841581489644042979499177307396852731521380726349855142077320735540052662277542863271504684647417595905764580362141943112010412145973578944671732520796332949296978679186849792,-0.00016097271278895834,resolved,15,45,0.2936917352258411,0.033058544761401694
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,242792882425434663129291974758342169831288521169121218342261/5427200988000808681080007000316418800436522090956053945516032,mean_saved_segment_subspace_overlap_to_adamw,True,3644614238657263494462207450369226300887310163228558688521278280308337912896640345657205458868157918712407569089475270737/7726482555725537621929430474297500283371522269508493183678998185378085184867673196089583621601024208474304479879311146483712,0.021718752164568148,4,110590667512039128683411239809912258063464017294138470926185625498341995142573681041368898836492724780498103712613016523799463990836587117276735061897120882277373702391957137/6669750148820512187753416859836645405897371652432410884805156956896074474868425589264319809970745469039239579394961307557377247319747700288871115443117443102963468292372189806592,0.00037842246618452236,resolved,15,45,0.29198389120867857,0.032692016977044
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,1588564591559936543895746029176552970651262104787755819374241/36181339920005391207200046668776125336243480606373692970106880,mean_cumulative_subspace_overlap_to_adamw,True,39304485754589584290746335293759540381382415934717159309232657503733884395471600904388938742058465550277333480762143470841/82691275540332151275288251863772777447209950941124340576320082559217356038195204243494254065743414725316110321477691837022208,0.021801742891457337,1,1851519909574665109804442860529650686188995804365172438011254114870147991187304033941832568860524202448287701151205814671211466384559049178698534086937981927013459948335801535/142763577957628138827648866309574404039661435577729859760051980940421122621107642108246134813531294385446482010265769695988340581719295428030842085396534470945067082587884848480256,0.00029543173929533315,resolved,15,45,0.2945723010737348,0.03260836337842261
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,3254367443494623546507149701028947342486256175306894388775593/82183597676022000513789755245191338129499742528868836851056640,mean_cumulative_subspace_overlap_to_adamw,False,263260126900763849855703606800569893544348741303208196808177360492895344396453120407712019633413306333545925082847823924231/3123385700040690435243869157537808755063337037477999613769936378887844598716174707065195784036216197363120649165583565286309888,0.009180783252827547,2,-92823579334300187995321023837390139277975240032061373675188150108038678413486445226003189654397013671838008596004569942259188462214502901152522880559784523284150606708065831005/3091304929492434712163382940058335798605435800567830214562631401995665075529793381076538022500571732526883347275008285095050254760624830955829915610082140111152358092777319070498816,-0.0018146805807224878,resolved,15,45,0.2907956093476514,0.031235466877626576
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,4135829577563431284545116688666857522455833669461108571185489/82183597676022000513789755245191338129499742528868836851056640,mean_cumulative_subspace_overlap_to_adamw,False,312936888021556087318798719462162016461558513954609798627516716678235259215624018906163952681408609821861130941794741596299/5044495209327381520252122954659327605796094217776819838937383995430851028413470796310907224315565125714281974608088187603812352,0.007876250546467277,3,-38822370118729639784597439885866330641788474413375418114644111048590722347844031272427343435764798744115136603290183682350992975651509950237613127436730822040621937318205847445/4992682430220369963758721519953190240597960598436500460960047206941408306113352341197388879674505980229929873109836815255524394910143942781742954412689355917188013533450170377764864,-0.0005101478743622196,resolved,15,45,0.29098198095709477,0.034745384103918676
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,603979361149370807526573033243059321454072961719075221938707/12060446640001797069066682222925375112081160202124564323368960,mean_cumulative_subspace_overlap_to_adamw,True,5651524125464365946410248420613415309236696990082243630034962437930611026718075078946504569391888432033775467270465116139/11953473738978167710882816996707204478764171652650096028081448206301874687898460393494531473665060726671105354618137210028032,0.021743814133894524,4,319705569260335800729511944923737441241610823041266463006395944737193170672432084353295527760883015499540110049931795146966812247678058701559890279276208081484680469772024515/20637251860587464182323986480958373462044770086327895558944660182484208511846475482847612696352915215880507438964818718013837206945184686128574512145868690147975083266587991015424,0.00035336049685814853,resolved,15,45,0.29338884396039727,0.03486026297615305
