optimizer,baseline,stage,fraction,task,corpus_rows,log10_corpus_rows,corpus_half,training_source_task,treatment_ndcg_at_10,baseline_ndcg_at_10,delta
normuon,adamw,1,0.2,Touche2020,378223,5.577747935057317,large,False,0.34461,0.33498,0.009630000000000027
normuon,adamw,2,0.4,ArguAna,8546,3.9317628884811775,small,False,0.56713,0.56495,0.0021800000000000708
normuon,adamw,2,0.4,ClimateFEVER,5117453,6.709053862681024,large,False,0.41248,0.40626,0.006220000000000003
normuon,adamw,2,0.4,DBPedia,1678309,6.2248719235012535,large,False,0.27397,0.27463,-0.0006599999999999939
normuon,adamw,2,0.4,FEVER,5117452,6.709053777815658,large,True,0.91971,0.91497,0.0047400000000000775
normuon,adamw,2,0.4,FiQA2018,47617,4.677762030201842,small,True,0.53391,0.53532,-0.0014100000000000223
normuon,adamw,2,0.4,HotpotQA,2314813,6.364515912698081,large,True,0.67377,0.67488,-0.0011100000000000554
normuon,adamw,2,0.4,MSMARCO,4036967,6.606055199304672,large,True,0.56529,0.5635,0.0017899999999999583
normuon,adamw,2,0.4,NFCorpus,912,2.959994838328416,small,False,0.28693,0.28919,-0.0022599999999999842
normuon,adamw,2,0.4,NQ,305674,5.485258500104112,small,True,0.93964,0.92545,0.014190000000000036
normuon,adamw,2,0.4,QuoraRetrieval,413157,5.616115115281062,large,False,0.91129,0.91135,-5.999999999994898e-05
normuon,adamw,2,0.4,SCIDOCS,5833,3.7658919764300154,small,False,0.14588,0.14681,-0.0009299999999999864
normuon,adamw,2,0.4,SciFact,858,2.9334872878487053,small,False,0.87982,0.86402,0.015800000000000036
normuon,adamw,2,0.4,TRECCOVID,99522,4.997919095042042,small,False,0.83426,0.83012,0.0041400000000000325
normuon,adamw,2,0.4,Touche2020,378223,5.577747935057317,large,False,0.34666,0.3467,-3.999999999998449e-05
normuon,adamw,3,0.6,ArguAna,8546,3.9317628884811775,small,False,0.56565,0.56731,-0.0016599999999999948
normuon,adamw,3,0.6,ClimateFEVER,5117453,6.709053862681024,large,False,0.41285,0.39934,0.013510000000000022
normuon,adamw,3,0.6,DBPedia,1678309,6.2248719235012535,large,False,0.27892,0.27616,0.0027599999999999847
normuon,adamw,3,0.6,FEVER,5117452,6.709053777815658,large,True,0.92029,0.91637,0.003920000000000035
normuon,adamw,3,0.6,FiQA2018,47617,4.677762030201842,small,True,0.55269,0.54382,0.008870000000000045
normuon,adamw,3,0.6,HotpotQA,2314813,6.364515912698081,large,True,0.67352,0.67178,0.0017399999999999638
normuon,adamw,3,0.6,MSMARCO,4036967,6.606055199304672,large,True,0.56745,0.56545,0.0020000000000000018
normuon,adamw,3,0.6,NFCorpus,912,2.959994838328416,small,False,0.28723,0.28775,-0.0005200000000000204
normuon,adamw,3,0.6,NQ,305674,5.485258500104112,small,True,0.93964,0.92545,0.014190000000000036
normuon,adamw,3,0.6,QuoraRetrieval,413157,5.616115115281062,large,False,0.91331,0.91176,0.0015499999999999403
normuon,adamw,3,0.6,SCIDOCS,5833,3.7658919764300154,small,False,0.14668,0.14696,-0.00028000000000000247
normuon,adamw,3,0.6,SciFact,858,2.9334872878487053,small,False,0.8775,0.87243,0.005069999999999908
normuon,adamw,3,0.6,TRECCOVID,99522,4.997919095042042,small,False,0.82786,0.82785,1.0000000000065512e-05
normuon,adamw,3,0.6,Touche2020,378223,5.577747935057317,large,False,0.33174,0.32104,0.010699999999999987
normuon,adamw,4,0.8,ArguAna,8546,3.9317628884811775,small,False,0.55285,0.5529,-4.999999999999449e-05
normuon,adamw,4,0.8,ClimateFEVER,5117453,6.709053862681024,large,False,0.42052,0.41085,0.009670000000000012
normuon,adamw,4,0.8,DBPedia,1678309,6.2248719235012535,large,False,0.27869,0.27603,0.0026599999999999957
normuon,adamw,4,0.8,FEVER,5117452,6.709053777815658,large,True,0.92249,0.91864,0.00385000000000002
normuon,adamw,4,0.8,FiQA2018,47617,4.677762030201842,small,True,0.54575,0.5371,0.008649999999999936
normuon,adamw,4,0.8,HotpotQA,2314813,6.364515912698081,large,True,0.67644,0.67493,0.0015100000000000113
normuon,adamw,4,0.8,MSMARCO,4036967,6.606055199304672,large,True,0.56931,0.56732,0.0019899999999999363
normuon,adamw,4,0.8,NFCorpus,912,2.959994838328416,small,False,0.28844,0.28805,0.00039000000000000146
normuon,adamw,4,0.8,NQ,305674,5.485258500104112,small,True,0.93964,0.92545,0.014190000000000036
normuon,adamw,4,0.8,QuoraRetrieval,413157,5.616115115281062,large,False,0.91134,0.91179,-0.00044999999999995044
normuon,adamw,4,0.8,SCIDOCS,5833,3.7658919764300154,small,False,0.14689,0.14771,-0.0008200000000000152
normuon,adamw,4,0.8,SciFact,858,2.9334872878487053,small,False,0.88071,0.88115,-0.00043999999999999595
normuon,adamw,4,0.8,TRECCOVID,99522,4.997919095042042,small,False,0.83085,0.81964,0.011209999999999942
normuon,adamw,4,0.8,Touche2020,378223,5.577747935057317,large,False,0.33722,0.32106,0.016160000000000008
normuon,adamw,5,1.0,ArguAna,8546,3.9317628884811775,small,False,0.56166,0.56,0.0016599999999999948
normuon,adamw,5,1.0,ClimateFEVER,5117453,6.709053862681024,large,False,0.41402,0.40586,0.00816
normuon,adamw,5,1.0,DBPedia,1678309,6.2248719235012535,large,False,0.28106,0.27755,0.0035099999999999576
normuon,adamw,5,1.0,FEVER,5117452,6.709053777815658,large,True,0.92348,0.92053,0.002950000000000008
normuon,adamw,5,1.0,FiQA2018,47617,4.677762030201842,small,True,0.54895,0.5421,0.006850000000000023
normuon,adamw,5,1.0,HotpotQA,2314813,6.364515912698081,large,True,0.67766,0.67496,0.0027000000000000357
normuon,adamw,5,1.0,MSMARCO,4036967,6.606055199304672,large,True,0.57072,0.56796,0.0027599999999999847
normuon,adamw,5,1.0,NFCorpus,912,2.959994838328416,small,False,0.28622,0.28744,-0.0012199999999999989
normuon,adamw,5,1.0,NQ,305674,5.485258500104112,small,True,0.93964,0.92545,0.014190000000000036
normuon,adamw,5,1.0,QuoraRetrieval,413157,5.616115115281062,large,False,0.91318,0.9118,0.0013799999999999368
normuon,adamw,5,1.0,SCIDOCS,5833,3.7658919764300154,small,False,0.14837,0.14774,0.0006299999999999917
normuon,adamw,5,1.0,SciFact,858,2.9334872878487053,small,False,0.87919,0.8804,-0.0012099999999999334
normuon,adamw,5,1.0,TRECCOVID,99522,4.997919095042042,small,False,0.82966,0.83044,-0.0007800000000000029
normuon,adamw,5,1.0,Touche2020,378223,5.577747935057317,large,False,0.3342,0.32591,0.00829000000000002
