family,anchor,layer,tensor,rotation_seed,optimizer,qk_role,head,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,singular_spectrum_relative_l2_error
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,query,11,0.9979783892631531,0.06355980783700943,0.9987980723381042,0.008254521526396275
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,key,0,0.9983890056610107,0.056788332760334015,1.0007497072219849,0.007664358709007502
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,key,5,0.9986918568611145,0.05115167424082756,1.000136137008667,0.00452573923394084
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,key,11,0.998035728931427,0.06265383958816528,0.9989542365074158,0.009182329289615154
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,query,0,0.9641916155815125,0.2677798867225647,1.0012264251708984,0.013794591650366783
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,query,5,0.9597648978233337,0.28398144245147705,1.002122163772583,0.02029230073094368
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,query,11,0.9695462584495544,0.24673569202423096,0.9995213747024536,0.017587436363101006
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,key,0,0.953859269618988,0.30391621589660645,1.000899076461792,0.04998137801885605
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,key,5,0.9560397267341614,0.29659149050712585,1.0005182027816772,0.02182835526764393
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,key,11,0.9697574377059937,0.2458246350288391,0.9990712404251099,0.036744698882102966
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,query,0,0.9994676113128662,0.03263171762228012,0.9999239444732666,0.0014029218582436442
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,query,5,0.9994632601737976,0.0327632911503315,0.9999507069587708,0.0013538750354200602
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,query,11,0.9994232058525085,0.033964697271585464,1.0001024007797241,0.0012337255757302046
