family,anchor,layer,tensor,rotation_seed,optimizer,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,original_predicted_descent_per_unit_lr,rotated_predicted_descent_per_unit_lr,predicted_descent_relative_error,mean_head_spectrum_relative_l2_error,maximum_head_spectrum_relative_l2_error,functional_invariance_max_abs_logit_error
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,0.9733853340148926,0.23071351647377014,0.9999911785125732,33.724056243896484,33.909217834472656,0.0054904899113280056,0.029093615400294464,0.045436933636665344,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,0.9995871186256409,0.028735511004924774,1.0000567436218262,2.3502163887023926,2.351205825805664,0.0004209982995726512,0.0013263260091965396,0.0014759632758796215,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,0.9985795617103577,0.05330134928226471,1.0000567436218262,2.2311947345733643,2.2399983406066895,0.003945691470542381,0.007591476275896032,0.010404985398054123,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,0.9756750464439392,0.2205391377210617,0.9997411370277405,33.724056243896484,33.8768310546875,0.004530143399303144,0.026829377748072147,0.04410325363278389,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082702,muon,0.9995899796485901,0.028634903952479362,0.9999527335166931,2.3502163887023926,2.350656509399414,0.00018726815927978655,0.0013068298576399684,0.001487083500251174,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,0.9987656474113464,0.04968529939651489,0.9999528527259827,2.2311947345733643,2.2382326126098633,0.003154309181284781,0.006187219405546784,0.008201533928513527,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,0.9757289886474609,0.22031421959400177,0.9999222159385681,33.724056243896484,33.843833923339844,0.00355169848422481,0.02135631504158179,0.026942221447825432,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,0.9995905756950378,0.02861304022371769,0.9998164772987366,2.3502163887023926,2.3499293327331543,0.00012214022956276435,0.001290179983091851,0.0014823166420683265,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,0.9987911581993103,0.049167174845933914,0.9998164772987366,2.2311947345733643,2.2361464500427246,0.002219311202483269,0.006323628127574921,0.007659444119781256,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,0.9766585230827332,0.2161053568124771,1.0003941059112549,17.97760009765625,17.9981689453125,0.001144137568113531,0.027447381832947332,0.044837627559900284,5.329070518200751e-15
